
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
10.3566,,Surface,2,Image 1,1,0,
11.8109,,Surface,2,Image 1,1,1,
12.8966,,Surface,2,Image 1,1,2,
17.9444,,Surface,2,Image 1,1,3,
17.2056,,Surface,2,Image 1,1,4,
22.2932,,Surface,2,Image 1,1,5,
13.8089,,Surface,2,Image 1,1,6,
13.3917,,Surface,2,Image 1,1,7,
12.5658,,Surface,2,Image 1,1,8,
12.8803,,Surface,2,Image 1,1,9,
12.2861,,Surface,2,Image 1,1,10,
14.8767,,Surface,2,Image 1,1,11,
14.4908,,Surface,2,Image 1,1,12,
12.6921,,Surface,2,Image 1,1,13,
16.8827,,Surface,2,Image 1,1,14,
17.188,,Surface,2,Image 1,1,15,
13.0352,,Surface,2,Image 1,1,16,
20.6474,,Surface,2,Image 1,1,17,
20.7883,,Surface,2,Image 1,1,18,
15.8139,,Surface,2,Image 1,1,19,
15.1122,,Surface,2,Image 1,1,20,
13.4177,,Surface,2,Image 1,1,21,
12.9581,,Surface,2,Image 1,1,22,
11.7772,,Surface,2,Image 1,1,23,
12.4141,,Surface,2,Image 1,1,24,
13.5261,,Surface,2,Image 1,1,25,
19.3287,,Surface,2,Image 1,1,26,
18.6191,,Surface,2,Image 1,1,27,
14.188,,Surface,2,Image 1,1,28,
16.1578,,Surface,2,Image 1,1,29,
14.1698,,Surface,2,Image 1,1,30,
12.2418,,Surface,2,Image 1,1,31,
13.4546,,Surface,2,Image 1,1,32,
15.1175,,Surface,2,Image 1,1,33,
14.8829,,Surface,2,Image 1,1,34,
15.5138,,Surface,2,Image 1,1,35,
16.6744,,Surface,2,Image 1,1,36,
15.916,,Surface,2,Image 1,1,37,
13.4335,,Surface,2,Image 1,1,38,
12.2854,,Surface,2,Image 1,1,39,
15.1618,,Surface,2,Image 1,1,40,
13.7984,,Surface,2,Image 1,1,41,
20.8942,,Surface,2,Image 1,1,42,
15.6825,,Surface,2,Image 1,1,43,
16.7799,,Surface,2,Image 1,1,44,
19.1977,,Surface,2,Image 1,1,45,
14.6671,,Surface,2,Image 1,1,46,
16.863,,Surface,2,Image 1,1,47,
15.9601,,Surface,2,Image 1,1,48,
19.8887,,Surface,2,Image 1,1,49,
20.0143,,Surface,2,Image 1,1,50,
17.1174,,Surface,2,Image 1,1,51,
15.9417,,Surface,2,Image 1,1,52,
15.4593,,Surface,2,Image 1,1,53,
15.549,,Surface,2,Image 1,1,54,
18.8256,,Surface,2,Image 1,1,55,
23.2111,,Surface,2,Image 1,1,56,
15.7392,,Surface,2,Image 1,1,57,
15.488,,Surface,2,Image 1,1,58,
19.1073,,Surface,2,Image 1,1,59,
28.1104,,Surface,2,Image 1,1,60,
21.2182,,Surface,2,Image 1,1,61,
17.8148,,Surface,2,Image 1,1,62,
24.3607,,Surface,2,Image 1,1,63,
15.706,,Surface,2,Image 1,1,64,
23.6579,,Surface,2,Image 1,1,65,
21.2409,,Surface,2,Image 1,1,66,
17.7745,,Surface,2,Image 1,1,67,
19.2596,,Surface,2,Image 1,1,68,
21.4003,,Surface,2,Image 1,1,69,
18.7975,,Surface,2,Image 1,1,70,
22.1887,,Surface,2,Image 1,1,71,
21.7437,,Surface,2,Image 1,1,72,
25.3069,,Surface,2,Image 1,1,73,
17.3996,,Surface,2,Image 1,1,74,
16.0886,,Surface,2,Image 1,1,75,
17.4913,,Surface,2,Image 1,1,76,
16.6593,,Surface,2,Image 1,1,77,
16.2123,,Surface,2,Image 1,1,78,
22.4396,,Surface,2,Image 1,1,79,
17.9282,,Surface,2,Image 1,1,80,
20.531,,Surface,2,Image 1,1,81,
18.4804,,Surface,2,Image 1,1,82,
11.4137,,Surface,2,Image 1,1,83,
15.4063,,Surface,2,Image 1,1,84,
15.7886,,Surface,2,Image 1,1,85,
15.5231,,Surface,2,Image 1,1,86,
15.7867,,Surface,2,Image 1,1,87,
12.8118,,Surface,2,Image 1,1,88,
15.4211,,Surface,2,Image 1,1,89,
