
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
434,,Surface,3,Image 1,1,0,
415,,Surface,3,Image 1,1,1,
354,,Surface,3,Image 1,1,2,
957,,Surface,3,Image 1,1,3,
407,,Surface,3,Image 1,1,4,
369,,Surface,3,Image 1,1,5,
352,,Surface,3,Image 1,1,6,
380,,Surface,3,Image 1,1,7,
422,,Surface,3,Image 1,1,8,
474,,Surface,3,Image 1,1,9,
352,,Surface,3,Image 1,1,10,
358,,Surface,3,Image 1,1,11,
375,,Surface,3,Image 1,1,12,
490,,Surface,3,Image 1,1,13,
372,,Surface,3,Image 1,1,14,
464,,Surface,3,Image 1,1,15,
561,,Surface,3,Image 1,1,16,
411,,Surface,3,Image 1,1,17,
639,,Surface,3,Image 1,1,18,
394,,Surface,3,Image 1,1,19,
527,,Surface,3,Image 1,1,20,
725,,Surface,3,Image 1,1,21,
399,,Surface,3,Image 1,1,22,
354,,Surface,3,Image 1,1,23,
419,,Surface,3,Image 1,1,24,
527,,Surface,3,Image 1,1,25,
645,,Surface,3,Image 1,1,26,
396,,Surface,3,Image 1,1,27,
897,,Surface,3,Image 1,1,28,
703,,Surface,3,Image 1,1,29,
563,,Surface,3,Image 1,1,30,
359,,Surface,3,Image 1,1,31,
945,,Surface,3,Image 1,1,32,
675,,Surface,3,Image 1,1,33,
1215,,Surface,3,Image 1,1,34,
627,,Surface,3,Image 1,1,35,
368,,Surface,3,Image 1,1,36,
705,,Surface,3,Image 1,1,37,
370,,Surface,3,Image 1,1,38,
393,,Surface,3,Image 1,1,39,
587,,Surface,3,Image 1,1,40,
520,,Surface,3,Image 1,1,41,
534,,Surface,3,Image 1,1,42,
408,,Surface,3,Image 1,1,43,
421,,Surface,3,Image 1,1,44,
850,,Surface,3,Image 1,1,45,
360,,Surface,3,Image 1,1,46,
508,,Surface,3,Image 1,1,47,
477,,Surface,3,Image 1,1,48,
505,,Surface,3,Image 1,1,49,
635,,Surface,3,Image 1,1,50,
405,,Surface,3,Image 1,1,51,
594,,Surface,3,Image 1,1,52,
518,,Surface,3,Image 1,1,53,
367,,Surface,3,Image 1,1,54,
552,,Surface,3,Image 1,1,55,
364,,Surface,3,Image 1,1,56,
465,,Surface,3,Image 1,1,57,
608,,Surface,3,Image 1,1,58,
446,,Surface,3,Image 1,1,59,
706,,Surface,3,Image 1,1,60,
479,,Surface,3,Image 1,1,61,
437,,Surface,3,Image 1,1,62,
513,,Surface,3,Image 1,1,63,
428,,Surface,3,Image 1,1,64,
368,,Surface,3,Image 1,1,65,
438,,Surface,3,Image 1,1,66,
407,,Surface,3,Image 1,1,67,
391,,Surface,3,Image 1,1,68,
485,,Surface,3,Image 1,1,69,
787,,Surface,3,Image 1,1,70,
482,,Surface,3,Image 1,1,71,
434,,Surface,3,Image 1,1,72,
433,,Surface,3,Image 1,1,73,
517,,Surface,3,Image 1,1,74,
458,,Surface,3,Image 1,1,75,
900,,Surface,3,Image 1,1,76,
712,,Surface,3,Image 1,1,77,
409,,Surface,3,Image 1,1,78,
437,,Surface,3,Image 1,1,79,
463,,Surface,3,Image 1,1,80,
787,,Surface,3,Image 1,1,81,
657,,Surface,3,Image 1,1,82,
749,,Surface,3,Image 1,1,83,
362,,Surface,3,Image 1,1,84,
535,,Surface,3,Image 1,1,85,
522,,Surface,3,Image 1,1,86,
427,,Surface,3,Image 1,1,87,
1235,,Surface,3,Image 1,1,88,
796,,Surface,3,Image 1,1,89,
422,,Surface,3,Image 1,1,90,
669,,Surface,3,Image 1,1,91,
857,,Surface,3,Image 1,1,92,
552,,Surface,3,Image 1,1,93,
564,,Surface,3,Image 1,1,94,
650,,Surface,3,Image 1,1,95,
375,,Surface,3,Image 1,1,96,
385,,Surface,3,Image 1,1,97,
859,,Surface,3,Image 1,1,98,
394,,Surface,3,Image 1,1,99,
407,,Surface,3,Image 1,1,100,
366,,Surface,3,Image 1,1,101,
433,,Surface,3,Image 1,1,102,
400,,Surface,3,Image 1,1,103,
359,,Surface,3,Image 1,1,104,
357,,Surface,3,Image 1,1,105,
668,,Surface,3,Image 1,1,106,
366,,Surface,3,Image 1,1,107,
357,,Surface,3,Image 1,1,108,
357,,Surface,3,Image 1,1,109,
496,,Surface,3,Image 1,1,110,
419,,Surface,3,Image 1,1,111,
478,,Surface,3,Image 1,1,112,
409,,Surface,3,Image 1,1,113,
399,,Surface,3,Image 1,1,114,
621,,Surface,3,Image 1,1,115,
385,,Surface,3,Image 1,1,116,
380,,Surface,3,Image 1,1,117,
381,,Surface,3,Image 1,1,118,
563,,Surface,3,Image 1,1,119,
474,,Surface,3,Image 1,1,120,
391,,Surface,3,Image 1,1,121,
488,,Surface,3,Image 1,1,122,
535,,Surface,3,Image 1,1,123,
616,,Surface,3,Image 1,1,124,
487,,Surface,3,Image 1,1,125,
727,,Surface,3,Image 1,1,126,
359,,Surface,3,Image 1,1,127,
387,,Surface,3,Image 1,1,128,
400,,Surface,3,Image 1,1,129,
920,,Surface,3,Image 1,1,130,
378,,Surface,3,Image 1,1,131,
574,,Surface,3,Image 1,1,132,
408,,Surface,3,Image 1,1,133,
572,,Surface,3,Image 1,1,134,
419,,Surface,3,Image 1,1,135,
725,,Surface,3,Image 1,1,136,
388,,Surface,3,Image 1,1,137,
495,,Surface,3,Image 1,1,138,
414,,Surface,3,Image 1,1,139,
362,,Surface,3,Image 1,1,140,
412,,Surface,3,Image 1,1,141,
495,,Surface,3,Image 1,1,142,
