
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
50.4469,,Surface,2,Image 1,1,0,
54.4595,,Surface,2,Image 1,1,1,
41.4345,,Surface,2,Image 1,1,2,
56.2688,,Surface,2,Image 1,1,3,
50.4615,,Surface,2,Image 1,1,4,
55.1528,,Surface,2,Image 1,1,5,
46.0712,,Surface,2,Image 1,1,6,
43.7846,,Surface,2,Image 1,1,7,
48.057,,Surface,2,Image 1,1,8,
41.8847,,Surface,2,Image 1,1,9,
47.33,,Surface,2,Image 1,1,10,
57.1308,,Surface,2,Image 1,1,11,
42.8658,,Surface,2,Image 1,1,12,
85.0288,,Surface,2,Image 1,1,13,
88.5677,,Surface,2,Image 1,1,14,
61.0691,,Surface,2,Image 1,1,15,
63.4402,,Surface,2,Image 1,1,16,
87.3138,,Surface,2,Image 1,1,17,
129.271,,Surface,2,Image 1,1,18,
83.0387,,Surface,2,Image 1,1,19,
125.643,,Surface,2,Image 1,1,20,
74.4193,,Surface,2,Image 1,1,21,
90.6763,,Surface,2,Image 1,1,22,
61.4504,,Surface,2,Image 1,1,23,
47.4335,,Surface,2,Image 1,1,24,
50.4412,,Surface,2,Image 1,1,25,
51.5166,,Surface,2,Image 1,1,26,
49.4545,,Surface,2,Image 1,1,27,
54.1012,,Surface,2,Image 1,1,28,
57.2059,,Surface,2,Image 1,1,29,
81.907,,Surface,2,Image 1,1,30,
46.9643,,Surface,2,Image 1,1,31,
78.6678,,Surface,2,Image 1,1,32,
97.0943,,Surface,2,Image 1,1,33,
92.1874,,Surface,2,Image 1,1,34,
83.44,,Surface,2,Image 1,1,35,
49.55,,Surface,2,Image 1,1,36,
132.935,,Surface,2,Image 1,1,37,
46.1009,,Surface,2,Image 1,1,38,
40.2941,,Surface,2,Image 1,1,39,
49.6556,,Surface,2,Image 1,1,40,
49.0433,,Surface,2,Image 1,1,41,
46.4715,,Surface,2,Image 1,1,42,
44.3818,,Surface,2,Image 1,1,43,
48.1776,,Surface,2,Image 1,1,44,
46.4412,,Surface,2,Image 1,1,45,
44.5101,,Surface,2,Image 1,1,46,
44.5637,,Surface,2,Image 1,1,47,
49.3722,,Surface,2,Image 1,1,48,
51.6458,,Surface,2,Image 1,1,49,
50.1885,,Surface,2,Image 1,1,50,
52.9592,,Surface,2,Image 1,1,51,
47.9425,,Surface,2,Image 1,1,52,
60.6568,,Surface,2,Image 1,1,53,
53.7401,,Surface,2,Image 1,1,54,
49.4049,,Surface,2,Image 1,1,55,
46.4819,,Surface,2,Image 1,1,56,
51.5066,,Surface,2,Image 1,1,57,
57.5517,,Surface,2,Image 1,1,58,
45.4626,,Surface,2,Image 1,1,59,
47.6916,,Surface,2,Image 1,1,60,
49.4651,,Surface,2,Image 1,1,61,
48.9247,,Surface,2,Image 1,1,62,
60.2924,,Surface,2,Image 1,1,63,
48.4794,,Surface,2,Image 1,1,64,
62.1827,,Surface,2,Image 1,1,65,
60.3474,,Surface,2,Image 1,1,66,
76.9796,,Surface,2,Image 1,1,67,
57.4312,,Surface,2,Image 1,1,68,
44.2557,,Surface,2,Image 1,1,69,
46.9234,,Surface,2,Image 1,1,70,
51.8964,,Surface,2,Image 1,1,71,
44.1007,,Surface,2,Image 1,1,72,
62.4947,,Surface,2,Image 1,1,73,
49.2333,,Surface,2,Image 1,1,74,
49.859,,Surface,2,Image 1,1,75,
49.6877,,Surface,2,Image 1,1,76,
49.3591,,Surface,2,Image 1,1,77,
51.2524,,Surface,2,Image 1,1,78,
67.6385,,Surface,2,Image 1,1,79,
58.6912,,Surface,2,Image 1,1,80,
60.6037,,Surface,2,Image 1,1,81,
57.4941,,Surface,2,Image 1,1,82,
56.4458,,Surface,2,Image 1,1,83,
41.9167,,Surface,2,Image 1,1,84,
52.2521,,Surface,2,Image 1,1,85,
46.9448,,Surface,2,Image 1,1,86,
51.6897,,Surface,2,Image 1,1,87,
54.5505,,Surface,2,Image 1,1,88,
72.8743,,Surface,2,Image 1,1,89,
54.3195,,Surface,2,Image 1,1,90,
110.028,,Surface,2,Image 1,1,91,
82.6626,,Surface,2,Image 1,1,92,
59.778,,Surface,2,Image 1,1,93,
113.33,,Surface,2,Image 1,1,94,
77.5376,,Surface,2,Image 1,1,95,
108.715,,Surface,2,Image 1,1,96,
137.736,,Surface,2,Image 1,1,97,
93.0534,,Surface,2,Image 1,1,98,
138.149,,Surface,2,Image 1,1,99,
169.554,,Surface,2,Image 1,1,100,
171.042,,Surface,2,Image 1,1,101,
143.392,,Surface,2,Image 1,1,102,
90.4909,,Surface,2,Image 1,1,103,
37.3698,,Surface,2,Image 1,1,104,
35.4317,,Surface,2,Image 1,1,105,
41.3608,,Surface,2,Image 1,1,106,
46.0367,,Surface,2,Image 1,1,107,
43.9095,,Surface,2,Image 1,1,108,
38.6805,,Surface,2,Image 1,1,109,
48.2708,,Surface,2,Image 1,1,110,
48.4056,,Surface,2,Image 1,1,111,
47.2795,,Surface,2,Image 1,1,112,
42.7598,,Surface,2,Image 1,1,113,
69.0155,,Surface,2,Image 1,1,114,
98.7877,,Surface,2,Image 1,1,115,
100.397,,Surface,2,Image 1,1,116,
167.406,,Surface,2,Image 1,1,117,
89.116,,Surface,2,Image 1,1,118,
169.799,,Surface,2,Image 1,1,119,
197.401,,Surface,2,Image 1,1,120,
47.1182,,Surface,2,Image 1,1,121,
45.0331,,Surface,2,Image 1,1,122,
56.0682,,Surface,2,Image 1,1,123,
48.8747,,Surface,2,Image 1,1,124,
45.3433,,Surface,2,Image 1,1,125,
53.3205,,Surface,2,Image 1,1,126,
45.8803,,Surface,2,Image 1,1,127,
48.891,,Surface,2,Image 1,1,128,
57.0272,,Surface,2,Image 1,1,129,
67.0275,,Surface,2,Image 1,1,130,
70.7031,,Surface,2,Image 1,1,131,
64.4555,,Surface,2,Image 1,1,132,
74.5952,,Surface,2,Image 1,1,133,
79.4622,,Surface,2,Image 1,1,134,
52.4098,,Surface,2,Image 1,1,135,
76.1625,,Surface,2,Image 1,1,136,
41.4441,,Surface,2,Image 1,1,137,
40.2208,,Surface,2,Image 1,1,138,
45.3341,,Surface,2,Image 1,1,139,
35.9561,,Surface,2,Image 1,1,140,
37.0397,,Surface,2,Image 1,1,141,
36.1229,,Surface,2,Image 1,1,142,
