
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
49.5027,,Surface,5,Image 1,1,0,
59.1317,,Surface,5,Image 1,1,1,
54.9506,,Surface,5,Image 1,1,2,
51.2571,,Surface,5,Image 1,1,3,
57.6326,,Surface,5,Image 1,1,4,
62.4137,,Surface,5,Image 1,1,5,
54.4369,,Surface,5,Image 1,1,6,
61.7593,,Surface,5,Image 1,1,7,
57.5958,,Surface,5,Image 1,1,8,
59.7181,,Surface,5,Image 1,1,9,
52.5683,,Surface,5,Image 1,1,10,
52.6732,,Surface,5,Image 1,1,11,
52.1319,,Surface,5,Image 1,1,12,
52.5261,,Surface,5,Image 1,1,13,
52.7056,,Surface,5,Image 1,1,14,
54.4108,,Surface,5,Image 1,1,15,
67.584,,Surface,5,Image 1,1,16,
53.6884,,Surface,5,Image 1,1,17,
54.5323,,Surface,5,Image 1,1,18,
52.6605,,Surface,5,Image 1,1,19,
62.312,,Surface,5,Image 1,1,20,
69.1953,,Surface,5,Image 1,1,21,
58.3342,,Surface,5,Image 1,1,22,
61.2926,,Surface,5,Image 1,1,23,
63.2499,,Surface,5,Image 1,1,24,
65.0088,,Surface,5,Image 1,1,25,
70.0074,,Surface,5,Image 1,1,26,
61.6506,,Surface,5,Image 1,1,27,
63.5413,,Surface,5,Image 1,1,28,
63.1368,,Surface,5,Image 1,1,29,
61.5952,,Surface,5,Image 1,1,30,
82.0011,,Surface,5,Image 1,1,31,
62.9508,,Surface,5,Image 1,1,32,
60.607,,Surface,5,Image 1,1,33,
91.4191,,Surface,5,Image 1,1,34,
50.1728,,Surface,5,Image 1,1,35,
42.1672,,Surface,5,Image 1,1,36,
49.2106,,Surface,5,Image 1,1,37,
42.0431,,Surface,5,Image 1,1,38,
42.3636,,Surface,5,Image 1,1,39,
51.5397,,Surface,5,Image 1,1,40,
52.5582,,Surface,5,Image 1,1,41,
36.9145,,Surface,5,Image 1,1,42,
40.7165,,Surface,5,Image 1,1,43,
45.1695,,Surface,5,Image 1,1,44,
48.3564,,Surface,5,Image 1,1,45,
48.5553,,Surface,5,Image 1,1,46,
36.8191,,Surface,5,Image 1,1,47,
49.7617,,Surface,5,Image 1,1,48,
50.361,,Surface,5,Image 1,1,49,
50.8528,,Surface,5,Image 1,1,50,
54.2306,,Surface,5,Image 1,1,51,
57.5533,,Surface,5,Image 1,1,52,
54.9967,,Surface,5,Image 1,1,53,
49.0224,,Surface,5,Image 1,1,54,
57.7075,,Surface,5,Image 1,1,55,
71.5341,,Surface,5,Image 1,1,56,
60.7259,,Surface,5,Image 1,1,57,
69.6585,,Surface,5,Image 1,1,58,
88.1836,,Surface,5,Image 1,1,59,
66.7016,,Surface,5,Image 1,1,60,
62.8112,,Surface,5,Image 1,1,61,
49.7216,,Surface,5,Image 1,1,62,
71.0878,,Surface,5,Image 1,1,63,
40.1445,,Surface,5,Image 1,1,64,
56.059,,Surface,5,Image 1,1,65,
72.6713,,Surface,5,Image 1,1,66,
43.2988,,Surface,5,Image 1,1,67,
38.7651,,Surface,5,Image 1,1,68,
48.6401,,Surface,5,Image 1,1,69,
51.3105,,Surface,5,Image 1,1,70,
62.5984,,Surface,5,Image 1,1,71,
45.5771,,Surface,5,Image 1,1,72,
45.0959,,Surface,5,Image 1,1,73,
73.8517,,Surface,5,Image 1,1,74,
45.3343,,Surface,5,Image 1,1,75,
37.4884,,Surface,5,Image 1,1,76,
60.5507,,Surface,5,Image 1,1,77,
74.0112,,Surface,5,Image 1,1,78,
49.4086,,Surface,5,Image 1,1,79,
46.7686,,Surface,5,Image 1,1,80,
52.7414,,Surface,5,Image 1,1,81,
40.3979,,Surface,5,Image 1,1,82,
42.1095,,Surface,5,Image 1,1,83,
40.4624,,Surface,5,Image 1,1,84,
43.235,,Surface,5,Image 1,1,85,
36.1352,,Surface,5,Image 1,1,86,
39.489,,Surface,5,Image 1,1,87,
39.1971,,Surface,5,Image 1,1,88,
37.9823,,Surface,5,Image 1,1,89,
38.0637,,Surface,5,Image 1,1,90,
42.7806,,Surface,5,Image 1,1,91,
38.8399,,Surface,5,Image 1,1,92,
40.1628,,Surface,5,Image 1,1,93,
44.0822,,Surface,5,Image 1,1,94,
36.8097,,Surface,5,Image 1,1,95,
40.691,,Surface,5,Image 1,1,96,
44.1454,,Surface,5,Image 1,1,97,
41.2787,,Surface,5,Image 1,1,98,
43.5538,,Surface,5,Image 1,1,99,
43.0097,,Surface,5,Image 1,1,100,
50.35,,Surface,5,Image 1,1,101,
47.027,,Surface,5,Image 1,1,102,
48.0363,,Surface,5,Image 1,1,103,
47.7211,,Surface,5,Image 1,1,104,
42.1567,,Surface,5,Image 1,1,105,
38.8593,,Surface,5,Image 1,1,106,
42.2887,,Surface,5,Image 1,1,107,
51.1624,,Surface,5,Image 1,1,108,
35.3319,,Surface,5,Image 1,1,109,
37.8678,,Surface,5,Image 1,1,110,
36.1542,,Surface,5,Image 1,1,111,
42.1568,,Surface,5,Image 1,1,112,
38.117,,Surface,5,Image 1,1,113,
41.648,,Surface,5,Image 1,1,114,
32.5343,,Surface,5,Image 1,1,115,
37.2519,,Surface,5,Image 1,1,116,
39.2668,,Surface,5,Image 1,1,117,
41.3854,,Surface,5,Image 1,1,118,
37.1651,,Surface,5,Image 1,1,119,
43.6507,,Surface,5,Image 1,1,120,
37.112,,Surface,5,Image 1,1,121,
42.3398,,Surface,5,Image 1,1,122,
40.3967,,Surface,5,Image 1,1,123,
38.5719,,Surface,5,Image 1,1,124,
41.443,,Surface,5,Image 1,1,125,
57.1515,,Surface,5,Image 1,1,126,
37.3488,,Surface,5,Image 1,1,127,
37.3976,,Surface,5,Image 1,1,128,
52.9876,,Surface,5,Image 1,1,129,
34.4955,,Surface,5,Image 1,1,130,
36.0145,,Surface,5,Image 1,1,131,
41.523,,Surface,5,Image 1,1,132,
36.672,,Surface,5,Image 1,1,133,
48.4192,,Surface,5,Image 1,1,134,
62.3554,,Surface,5,Image 1,1,135,
36.222,,Surface,5,Image 1,1,136,
39.1236,,Surface,5,Image 1,1,137,
36.6231,,Surface,5,Image 1,1,138,
35.6333,,Surface,5,Image 1,1,139,
31.1447,,Surface,5,Image 1,1,140,
30.171,,Surface,5,Image 1,1,141,
31.8686,,Surface,5,Image 1,1,142,
33.2594,,Surface,5,Image 1,1,143,
33.5152,,Surface,5,Image 1,1,144,
30.3771,,Surface,5,Image 1,1,145,
32.2663,,Surface,5,Image 1,1,146,
33.0782,,Surface,5,Image 1,1,147,
28.3421,,Surface,5,Image 1,1,148,
28.6762,,Surface,5,Image 1,1,149,
25.2656,,Surface,5,Image 1,1,150,
25.2803,,Surface,5,Image 1,1,151,
25.2225,,Surface,5,Image 1,1,152,
30.2206,,Surface,5,Image 1,1,153,
28.7045,,Surface,5,Image 1,1,154,
37.0317,,Surface,5,Image 1,1,155,
27.9279,,Surface,5,Image 1,1,156,
30.8289,,Surface,5,Image 1,1,157,
28.9918,,Surface,5,Image 1,1,158,
32.6536,,Surface,5,Image 1,1,159,
29.888,,Surface,5,Image 1,1,160,
32.5369,,Surface,5,Image 1,1,161,
35.5844,,Surface,5,Image 1,1,162,
31.4012,,Surface,5,Image 1,1,163,
34.6079,,Surface,5,Image 1,1,164,
41.8062,,Surface,5,Image 1,1,165,
37.7345,,Surface,5,Image 1,1,166,
34.3521,,Surface,5,Image 1,1,167,
28.697,,Surface,5,Image 1,1,168,
25.1877,,Surface,5,Image 1,1,169,
39.4708,,Surface,5,Image 1,1,170,
32.5836,,Surface,5,Image 1,1,171,
34.8318,,Surface,5,Image 1,1,172,
39.4867,,Surface,5,Image 1,1,173,
25.5655,,Surface,5,Image 1,1,174,
33.5728,,Surface,5,Image 1,1,175,
35.6281,,Surface,5,Image 1,1,176,
37.7868,,Surface,5,Image 1,1,177,
39.3566,,Surface,5,Image 1,1,178,
32.3828,,Surface,5,Image 1,1,179,
41.2932,,Surface,5,Image 1,1,180,
27.083,,Surface,5,Image 1,1,181,
43.0321,,Surface,5,Image 1,1,182,
38.902,,Surface,5,Image 1,1,183,
26.6093,,Surface,5,Image 1,1,184,
29.0593,,Surface,5,Image 1,1,185,
36.678,,Surface,5,Image 1,1,186,
28.4729,,Surface,5,Image 1,1,187,
28.0938,,Surface,5,Image 1,1,188,
25.6534,,Surface,5,Image 1,1,189,
24.7491,,Surface,5,Image 1,1,190,
20.5214,,Surface,5,Image 1,1,191,
24.3513,,Surface,5,Image 1,1,192,
23.1157,,Surface,5,Image 1,1,193,
23.9968,,Surface,5,Image 1,1,194,
21.5513,,Surface,5,Image 1,1,195,
21.0264,,Surface,5,Image 1,1,196,
23.2554,,Surface,5,Image 1,1,197,
25.4598,,Surface,5,Image 1,1,198,
23.0502,,Surface,5,Image 1,1,199,
22.0315,,Surface,5,Image 1,1,200,
24.0355,,Surface,5,Image 1,1,201,
21.8017,,Surface,5,Image 1,1,202,
21.9963,,Surface,5,Image 1,1,203,
26.6239,,Surface,5,Image 1,1,204,
24.7678,,Surface,5,Image 1,1,205,
27.6389,,Surface,5,Image 1,1,206,
27.8921,,Surface,5,Image 1,1,207,
28.8011,,Surface,5,Image 1,1,208,
28.2896,,Surface,5,Image 1,1,209,
25.8704,,Surface,5,Image 1,1,210,
23.2888,,Surface,5,Image 1,1,211,
26.0234,,Surface,5,Image 1,1,212,
29.3833,,Surface,5,Image 1,1,213,
58.2997,,Surface,5,Image 1,1,214,
30.0612,,Surface,5,Image 1,1,215,
30.4224,,Surface,5,Image 1,1,216,
26.943,,Surface,5,Image 1,1,217,
21.452,,Surface,5,Image 1,1,218,
29.1848,,Surface,5,Image 1,1,219,
25.1279,,Surface,5,Image 1,1,220,
25.1816,,Surface,5,Image 1,1,221,
25.1882,,Surface,5,Image 1,1,222,
31.2359,,Surface,5,Image 1,1,223,
39.6581,,Surface,5,Image 1,1,224,
21.9606,,Surface,5,Image 1,1,225,
26.5426,,Surface,5,Image 1,1,226,
30.1336,,Surface,5,Image 1,1,227,
36.3742,,Surface,5,Image 1,1,228,
27.1696,,Surface,5,Image 1,1,229,
26.3018,,Surface,5,Image 1,1,230,
28.7334,,Surface,5,Image 1,1,231,
30.0234,,Surface,5,Image 1,1,232,
24.6143,,Surface,5,Image 1,1,233,
20.7833,,Surface,5,Image 1,1,234,
23.1236,,Surface,5,Image 1,1,235,
24.8751,,Surface,5,Image 1,1,236,
21.8203,,Surface,5,Image 1,1,237,
21.6333,,Surface,5,Image 1,1,238,
22.0966,,Surface,5,Image 1,1,239,
24.0176,,Surface,5,Image 1,1,240,
24.0133,,Surface,5,Image 1,1,241,
21.7077,,Surface,5,Image 1,1,242,
20.8427,,Surface,5,Image 1,1,243,
23.6494,,Surface,5,Image 1,1,244,
20.492,,Surface,5,Image 1,1,245,
28.2178,,Surface,5,Image 1,1,246,
24.7386,,Surface,5,Image 1,1,247,
24.2257,,Surface,5,Image 1,1,248,
21.8821,,Surface,5,Image 1,1,249,
23.4996,,Surface,5,Image 1,1,250,
23.1022,,Surface,5,Image 1,1,251,
25.6974,,Surface,5,Image 1,1,252,
25.7325,,Surface,5,Image 1,1,253,
26.6062,,Surface,5,Image 1,1,254,
27.8035,,Surface,5,Image 1,1,255,
23.7153,,Surface,5,Image 1,1,256,
32.0343,,Surface,5,Image 1,1,257,
22.0224,,Surface,5,Image 1,1,258,
28.2508,,Surface,5,Image 1,1,259,
25.623,,Surface,5,Image 1,1,260,
22.1208,,Surface,5,Image 1,1,261,
22.5531,,Surface,5,Image 1,1,262,
20.1721,,Surface,5,Image 1,1,263,
24.3219,,Surface,5,Image 1,1,264,
22.6032,,Surface,5,Image 1,1,265,
20.4524,,Surface,5,Image 1,1,266,
19.5949,,Surface,5,Image 1,1,267,
25.6477,,Surface,5,Image 1,1,268,
19.2746,,Surface,5,Image 1,1,269,
20.0918,,Surface,5,Image 1,1,270,
21.1506,,Surface,5,Image 1,1,271,
20.4449,,Surface,5,Image 1,1,272,
25.0009,,Surface,5,Image 1,1,273,
20.5456,,Surface,5,Image 1,1,274,
21.6951,,Surface,5,Image 1,1,275,
24.5043,,Surface,5,Image 1,1,276,
19.6771,,Surface,5,Image 1,1,277,
21.3885,,Surface,5,Image 1,1,278,
21.4756,,Surface,5,Image 1,1,279,
20.5101,,Surface,5,Image 1,1,280,
19.1,,Surface,5,Image 1,1,281,
21.4292,,Surface,5,Image 1,1,282,
20.3406,,Surface,5,Image 1,1,283,
20.3693,,Surface,5,Image 1,1,284,
22.6788,,Surface,5,Image 1,1,285,
19.8222,,Surface,5,Image 1,1,286,
21.7817,,Surface,5,Image 1,1,287,
22.2026,,Surface,5,Image 1,1,288,
17.4371,,Surface,5,Image 1,1,289,
18.6342,,Surface,5,Image 1,1,290,
19.5073,,Surface,5,Image 1,1,291,
19.5015,,Surface,5,Image 1,1,292,
17.542,,Surface,5,Image 1,1,293,
18.13,,Surface,5,Image 1,1,294,
17.4785,,Surface,5,Image 1,1,295,
20.9214,,Surface,5,Image 1,1,296,
22.0001,,Surface,5,Image 1,1,297,
