
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
103.102,,Surface,4,Image 1,1,0,
100.822,,Surface,4,Image 1,1,1,
148.225,,Surface,4,Image 1,1,2,
94.3359,,Surface,4,Image 1,1,3,
108.111,,Surface,4,Image 1,1,4,
108.621,,Surface,4,Image 1,1,5,
105.491,,Surface,4,Image 1,1,6,
121.648,,Surface,4,Image 1,1,7,
136.906,,Surface,4,Image 1,1,8,
117.555,,Surface,4,Image 1,1,9,
160.715,,Surface,4,Image 1,1,10,
110.652,,Surface,4,Image 1,1,11,
104.899,,Surface,4,Image 1,1,12,
141.94,,Surface,4,Image 1,1,13,
155.481,,Surface,4,Image 1,1,14,
116.483,,Surface,4,Image 1,1,15,
143.225,,Surface,4,Image 1,1,17,
178.402,,Surface,4,Image 1,1,18,
134.125,,Surface,4,Image 1,1,19,
97.5044,,Surface,4,Image 1,1,20,
129.466,,Surface,4,Image 1,1,21,
92.034,,Surface,4,Image 1,1,22,
104.457,,Surface,4,Image 1,1,23,
107.082,,Surface,4,Image 1,1,24,
90.3504,,Surface,4,Image 1,1,25,
93.5302,,Surface,4,Image 1,1,26,
96.0156,,Surface,4,Image 1,1,27,
102.917,,Surface,4,Image 1,1,28,
88.9788,,Surface,4,Image 1,1,29,
131.819,,Surface,4,Image 1,1,30,
107.757,,Surface,4,Image 1,1,31,
105.495,,Surface,4,Image 1,1,32,
91.9691,,Surface,4,Image 1,1,33,
123.034,,Surface,4,Image 1,1,34,
94.2315,,Surface,4,Image 1,1,35,
100.566,,Surface,4,Image 1,1,36,
102.198,,Surface,4,Image 1,1,37,
124.915,,Surface,4,Image 1,1,38,
141.841,,Surface,4,Image 1,1,39,
133.516,,Surface,4,Image 1,1,40,
132.347,,Surface,4,Image 1,1,41,
111.821,,Surface,4,Image 1,1,42,
176.715,,Surface,4,Image 1,1,43,
157.995,,Surface,4,Image 1,1,44,
132.472,,Surface,4,Image 1,1,45,
133.35,,Surface,4,Image 1,1,46,
133.938,,Surface,4,Image 1,1,47,
136.26,,Surface,4,Image 1,1,48,
111.521,,Surface,4,Image 1,1,49,
143.022,,Surface,4,Image 1,1,50,
110.017,,Surface,4,Image 1,1,51,
105.778,,Surface,4,Image 1,1,52,
192.446,,Surface,4,Image 1,1,53,
136.686,,Surface,4,Image 1,1,54,
150.142,,Surface,4,Image 1,1,55,
105.918,,Surface,4,Image 1,1,56,
133.348,,Surface,4,Image 1,1,57,
102.708,,Surface,4,Image 1,1,58,
136.518,,Surface,4,Image 1,1,59,
102.934,,Surface,4,Image 1,1,60,
132.359,,Surface,4,Image 1,1,61,
196.89,,Surface,4,Image 1,1,62,
172.728,,Surface,4,Image 1,1,63,
157.672,,Surface,4,Image 1,1,64,
143.565,,Surface,4,Image 1,1,65,
155.545,,Surface,4,Image 1,1,66,
122.702,,Surface,4,Image 1,1,67,
179.745,,Surface,4,Image 1,1,68,
166.319,,Surface,4,Image 1,1,69,
183.893,,Surface,4,Image 1,1,70,
183.724,,Surface,4,Image 1,1,71,
169.442,,Surface,4,Image 1,1,72,
176.339,,Surface,4,Image 1,1,73,
179.333,,Surface,4,Image 1,1,74,
183.03,,Surface,4,Image 1,1,75,
159.033,,Surface,4,Image 1,1,76,
156.812,,Surface,4,Image 1,1,77,
131.552,,Surface,4,Image 1,1,78,
94.2314,,Surface,4,Image 1,1,79,
88.9463,,Surface,4,Image 1,1,80,
96.8466,,Surface,4,Image 1,1,81,
116.768,,Surface,4,Image 1,1,82,
93.2723,,Surface,4,Image 1,1,83,
98.4806,,Surface,4,Image 1,1,84,
132.579,,Surface,4,Image 1,1,85,
130.166,,Surface,4,Image 1,1,86,
98.5762,,Surface,4,Image 1,1,87,
119.396,,Surface,4,Image 1,1,88,
93.1755,,Surface,4,Image 1,1,89,
93.6539,,Surface,4,Image 1,1,90,
97.1551,,Surface,4,Image 1,1,91,
101.279,,Surface,4,Image 1,1,92,
100.907,,Surface,4,Image 1,1,93,
95.278,,Surface,4,Image 1,1,94,
94.5374,,Surface,4,Image 1,1,95,
105.502,,Surface,4,Image 1,1,96,
105.42,,Surface,4,Image 1,1,97,
116.054,,Surface,4,Image 1,1,98,
119.277,,Surface,4,Image 1,1,99,
138.51,,Surface,4,Image 1,1,100,
133.02,,Surface,4,Image 1,1,101,
136.443,,Surface,4,Image 1,1,102,
105.516,,Surface,4,Image 1,1,103,
123.23,,Surface,4,Image 1,1,104,
130.699,,Surface,4,Image 1,1,105,
133.335,,Surface,4,Image 1,1,106,
133.187,,Surface,4,Image 1,1,107,
167.131,,Surface,4,Image 1,1,108,
129.619,,Surface,4,Image 1,1,109,
155.429,,Surface,4,Image 1,1,110,
157.288,,Surface,4,Image 1,1,111,
151.069,,Surface,4,Image 1,1,112,
102.442,,Surface,4,Image 1,1,113,
125.235,,Surface,4,Image 1,1,114,
99.2594,,Surface,4,Image 1,1,115,
113.501,,Surface,4,Image 1,1,116,
96.1355,,Surface,4,Image 1,1,117,
107.677,,Surface,4,Image 1,1,118,
123.709,,Surface,4,Image 1,1,119,
123.537,,Surface,4,Image 1,1,120,
201.968,,Surface,4,Image 1,1,121,
90.2879,,Surface,4,Image 1,1,122,
164.36,,Surface,4,Image 1,1,123,
104.275,,Surface,4,Image 1,1,124,
103.603,,Surface,4,Image 1,1,125,
103.407,,Surface,4,Image 1,1,126,
106.011,,Surface,4,Image 1,1,127,
230.409,,Surface,4,Image 1,1,128,
244.974,,Surface,4,Image 1,1,129,
107.589,,Surface,4,Image 1,1,130,
138.267,,Surface,4,Image 1,1,131,
153.423,,Surface,4,Image 1,1,132,
188.629,,Surface,4,Image 1,1,133,
136.338,,Surface,4,Image 1,1,134,
141.541,,Surface,4,Image 1,1,135,
233.871,,Surface,4,Image 1,1,136,
141.775,,Surface,4,Image 1,1,137,
185.165,,Surface,4,Image 1,1,138,
182.44,,Surface,4,Image 1,1,139,
204.331,,Surface,4,Image 1,1,140,
122.443,,Surface,4,Image 1,1,141,
139.123,,Surface,4,Image 1,1,142,
177.096,,Surface,4,Image 1,1,143,
167.962,,Surface,4,Image 1,1,144,
150.21,,Surface,4,Image 1,1,145,
174.228,,Surface,4,Image 1,1,146,
118.125,,Surface,4,Image 1,1,147,
139.387,,Surface,4,Image 1,1,148,
140.818,,Surface,4,Image 1,1,149,
182.556,,Surface,4,Image 1,1,150,
116.547,,Surface,4,Image 1,1,151,
109.089,,Surface,4,Image 1,1,152,
140.86,,Surface,4,Image 1,1,153,
138.862,,Surface,4,Image 1,1,154,
173.299,,Surface,4,Image 1,1,155,
167.573,,Surface,4,Image 1,1,156,
139.822,,Surface,4,Image 1,1,157,
192.515,,Surface,4,Image 1,1,158,
165.314,,Surface,4,Image 1,1,159,
190.636,,Surface,4,Image 1,1,160,
166.953,,Surface,4,Image 1,1,161,
192.003,,Surface,4,Image 1,1,162,
137.347,,Surface,4,Image 1,1,163,
152.984,,Surface,4,Image 1,1,164,
208.857,,Surface,4,Image 1,1,165,
165.904,,Surface,4,Image 1,1,166,
191.088,,Surface,4,Image 1,1,167,
160.854,,Surface,4,Image 1,1,168,
174.174,,Surface,4,Image 1,1,169,
144.469,,Surface,4,Image 1,1,170,
150.184,,Surface,4,Image 1,1,171,
139.495,,Surface,4,Image 1,1,172,
181.797,,Surface,4,Image 1,1,173,
173.51,,Surface,4,Image 1,1,174,
163.268,,Surface,4,Image 1,1,175,
139.662,,Surface,4,Image 1,1,176,
121.11,,Surface,4,Image 1,1,177,
199.474,,Surface,4,Image 1,1,178,
170.459,,Surface,4,Image 1,1,179,
117.934,,Surface,4,Image 1,1,180,
175.779,,Surface,4,Image 1,1,181,
91.2245,,Surface,4,Image 1,1,182,
93.5127,,Surface,4,Image 1,1,183,
106.281,,Surface,4,Image 1,1,184,
123.765,,Surface,4,Image 1,1,185,
121.796,,Surface,4,Image 1,1,186,
142.984,,Surface,4,Image 1,1,187,
99.4603,,Surface,4,Image 1,1,188,
89.3588,,Surface,4,Image 1,1,189,
116.363,,Surface,4,Image 1,1,190,
105.501,,Surface,4,Image 1,1,191,
238.721,,Surface,4,Image 1,1,192,
147.524,,Surface,4,Image 1,1,193,
134.48,,Surface,4,Image 1,1,194,
133.875,,Surface,4,Image 1,1,195,
148.049,,Surface,4,Image 1,1,196,
135.24,,Surface,4,Image 1,1,197,
142.903,,Surface,4,Image 1,1,198,
109.216,,Surface,4,Image 1,1,199,
159.847,,Surface,4,Image 1,1,200,
215.54,,Surface,4,Image 1,1,201,
139.763,,Surface,4,Image 1,1,202,
126.154,,Surface,4,Image 1,1,203,
122.395,,Surface,4,Image 1,1,204,
153.639,,Surface,4,Image 1,1,205,
138.364,,Surface,4,Image 1,1,206,
143.518,,Surface,4,Image 1,1,207,
97.1247,,Surface,4,Image 1,1,208,
220.049,,Surface,4,Image 1,1,209,
180.116,,Surface,4,Image 1,1,210,
155.215,,Surface,4,Image 1,1,211,
104.909,,Surface,4,Image 1,1,212,
140.736,,Surface,4,Image 1,1,213,
94.2459,,Surface,4,Image 1,1,214,
89.0163,,Surface,4,Image 1,1,215,
106.579,,Surface,4,Image 1,1,216,
104.063,,Surface,4,Image 1,1,217,
134.708,,Surface,4,Image 1,1,218,
170.825,,Surface,4,Image 1,1,219,
115.649,,Surface,4,Image 1,1,220,
152.862,,Surface,4,Image 1,1,221,
114.526,,Surface,4,Image 1,1,222,
137.691,,Surface,4,Image 1,1,223,
172.788,,Surface,4,Image 1,1,224,
169.833,,Surface,4,Image 1,1,225,
176.153,,Surface,4,Image 1,1,226,
177.395,,Surface,4,Image 1,1,227,
124.994,,Surface,4,Image 1,1,228,
259.144,,Surface,4,Image 1,1,229,
228.839,,Surface,4,Image 1,1,230,
193.196,,Surface,4,Image 1,1,231,
152.133,,Surface,4,Image 1,1,232,
223.697,,Surface,4,Image 1,1,233,
177.793,,Surface,4,Image 1,1,234,
149.266,,Surface,4,Image 1,1,235,
172.528,,Surface,4,Image 1,1,236,
215.519,,Surface,4,Image 1,1,237,
147.789,,Surface,4,Image 1,1,238,
172.607,,Surface,4,Image 1,1,239,
159.36,,Surface,4,Image 1,1,240,
179.453,,Surface,4,Image 1,1,241,
181.557,,Surface,4,Image 1,1,242,
196.598,,Surface,4,Image 1,1,243,
134.704,,Surface,4,Image 1,1,244,
143.518,,Surface,4,Image 1,1,245,
143.001,,Surface,4,Image 1,1,246,
154.121,,Surface,4,Image 1,1,247,
196.236,,Surface,4,Image 1,1,248,
110.836,,Surface,4,Image 1,1,249,
202.286,,Surface,4,Image 1,1,250,
145.352,,Surface,4,Image 1,1,251,
144.463,,Surface,4,Image 1,1,252,
152.921,,Surface,4,Image 1,1,253,
179.848,,Surface,4,Image 1,1,254,
173.007,,Surface,4,Image 1,1,255,
169.376,,Surface,4,Image 1,1,256,
163.919,,Surface,4,Image 1,1,257,
136.536,,Surface,4,Image 1,1,258,
184.622,,Surface,4,Image 1,1,259,
150.117,,Surface,4,Image 1,1,260,
216.528,,Surface,4,Image 1,1,261,
169.441,,Surface,4,Image 1,1,262,
145.553,,Surface,4,Image 1,1,263,
195.365,,Surface,4,Image 1,1,264,
173.602,,Surface,4,Image 1,1,265,
152.027,,Surface,4,Image 1,1,266,
141.098,,Surface,4,Image 1,1,267,
209.359,,Surface,4,Image 1,1,268,
146.2,,Surface,4,Image 1,1,269,
180.24,,Surface,4,Image 1,1,270,
147.896,,Surface,4,Image 1,1,271,
146.29,,Surface,4,Image 1,1,272,
167.283,,Surface,4,Image 1,1,273,
157.436,,Surface,4,Image 1,1,274,
100.537,,Surface,4,Image 1,1,275,
154.083,,Surface,4,Image 1,1,276,
174.628,,Surface,4,Image 1,1,277,
109.473,,Surface,4,Image 1,1,278,
99.3279,,Surface,4,Image 1,1,279,
128.591,,Surface,4,Image 1,1,280,
88.491,,Surface,4,Image 1,1,281,
103.866,,Surface,4,Image 1,1,282,
196.003,,Surface,4,Image 1,1,283,
116.004,,Surface,4,Image 1,1,284,
140.339,,Surface,4,Image 1,1,285,
98.8408,,Surface,4,Image 1,1,286,
127.457,,Surface,4,Image 1,1,287,
95.7666,,Surface,4,Image 1,1,288,
107.004,,Surface,4,Image 1,1,289,
122.748,,Surface,4,Image 1,1,290,
124.97,,Surface,4,Image 1,1,291,
155.607,,Surface,4,Image 1,1,292,
148.987,,Surface,4,Image 1,1,293,
135.93,,Surface,4,Image 1,1,294,
120.3,,Surface,4,Image 1,1,295,
114.273,,Surface,4,Image 1,1,296,
160.11,,Surface,4,Image 1,1,297,
120.668,,Surface,4,Image 1,1,298,
124.673,,Surface,4,Image 1,1,299,
140.584,,Surface,4,Image 1,1,300,
188.19,,Surface,4,Image 1,1,301,
174.954,,Surface,4,Image 1,1,302,
186.097,,Surface,4,Image 1,1,303,
119.655,,Surface,4,Image 1,1,304,
93.2796,,Surface,4,Image 1,1,305,
155.873,,Surface,4,Image 1,1,306,
106.976,,Surface,4,Image 1,1,307,
107.289,,Surface,4,Image 1,1,308,
137.592,,Surface,4,Image 1,1,309,
152.211,,Surface,4,Image 1,1,310,
101.707,,Surface,4,Image 1,1,311,
108.381,,Surface,4,Image 1,1,312,
155.834,,Surface,4,Image 1,1,313,
158.565,,Surface,4,Image 1,1,314,
176.949,,Surface,4,Image 1,1,315,
155.124,,Surface,4,Image 1,1,316,
150.533,,Surface,4,Image 1,1,317,
167.788,,Surface,4,Image 1,1,318,
210.025,,Surface,4,Image 1,1,319,
117.963,,Surface,4,Image 1,1,320,
102.833,,Surface,4,Image 1,1,321,
190.122,,Surface,4,Image 1,1,322,
108.256,,Surface,4,Image 1,1,323,
135.111,,Surface,4,Image 1,1,324,
88.8922,,Surface,4,Image 1,1,325,
161.057,,Surface,4,Image 1,1,326,
97.3797,,Surface,4,Image 1,1,327,
95.3111,,Surface,4,Image 1,1,328,
170.572,,Surface,4,Image 1,1,329,
99.291,,Surface,4,Image 1,1,330,
149.445,,Surface,4,Image 1,1,331,
186.469,,Surface,4,Image 1,1,332,
139.278,,Surface,4,Image 1,1,333,
155.201,,Surface,4,Image 1,1,334,
211.342,,Surface,4,Image 1,1,335,
193.883,,Surface,4,Image 1,1,336,
180.082,,Surface,4,Image 1,1,337,
181.716,,Surface,4,Image 1,1,338,
162.171,,Surface,4,Image 1,1,339,
232.555,,Surface,4,Image 1,1,340,
182.572,,Surface,4,Image 1,1,341,
192.532,,Surface,4,Image 1,1,342,
183.771,,Surface,4,Image 1,1,343,
203.542,,Surface,4,Image 1,1,344,
160.852,,Surface,4,Image 1,1,345,
115.278,,Surface,4,Image 1,1,346,
101.18,,Surface,4,Image 1,1,347,
104.18,,Surface,4,Image 1,1,348,
144.676,,Surface,4,Image 1,1,349,
96.3202,,Surface,4,Image 1,1,350,
93.0796,,Surface,4,Image 1,1,351,
112.674,,Surface,4,Image 1,1,352,
