
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
18,,Surface,2,Image 1,1,0,
57,,Surface,2,Image 1,1,1,
24,,Surface,2,Image 1,1,2,
165,,Surface,2,Image 1,1,3,
73,,Surface,2,Image 1,1,4,
33,,Surface,2,Image 1,1,5,
55,,Surface,2,Image 1,1,6,
24,,Surface,2,Image 1,1,7,
36,,Surface,2,Image 1,1,8,
54,,Surface,2,Image 1,1,9,
25,,Surface,2,Image 1,1,10,
75,,Surface,2,Image 1,1,11,
44,,Surface,2,Image 1,1,12,
130,,Surface,2,Image 1,1,13,
184,,Surface,2,Image 1,1,14,
134,,Surface,2,Image 1,1,15,
100,,Surface,2,Image 1,1,16,
86,,Surface,2,Image 1,1,17,
172,,Surface,2,Image 1,1,18,
160,,Surface,2,Image 1,1,19,
49,,Surface,2,Image 1,1,20,
62,,Surface,2,Image 1,1,21,
99,,Surface,2,Image 1,1,22,
129,,Surface,2,Image 1,1,23,
105,,Surface,2,Image 1,1,24,
67,,Surface,2,Image 1,1,25,
157,,Surface,2,Image 1,1,26,
155,,Surface,2,Image 1,1,27,
110,,Surface,2,Image 1,1,28,
40,,Surface,2,Image 1,1,29,
101,,Surface,2,Image 1,1,30,
26,,Surface,2,Image 1,1,31,
43,,Surface,2,Image 1,1,32,
28,,Surface,2,Image 1,1,33,
33,,Surface,2,Image 1,1,34,
65,,Surface,2,Image 1,1,35,
46,,Surface,2,Image 1,1,36,
55,,Surface,2,Image 1,1,37,
64,,Surface,2,Image 1,1,38,
108,,Surface,2,Image 1,1,39,
27,,Surface,2,Image 1,1,40,
119,,Surface,2,Image 1,1,41,
65,,Surface,2,Image 1,1,42,
153,,Surface,2,Image 1,1,43,
63,,Surface,2,Image 1,1,44,
166,,Surface,2,Image 1,1,45,
65,,Surface,2,Image 1,1,46,
20,,Surface,2,Image 1,1,47,
80,,Surface,2,Image 1,1,48,
80,,Surface,2,Image 1,1,49,
51,,Surface,2,Image 1,1,50,
188,,Surface,2,Image 1,1,51,
107,,Surface,2,Image 1,1,52,
28,,Surface,2,Image 1,1,53,
49,,Surface,2,Image 1,1,54,
96,,Surface,2,Image 1,1,55,
148,,Surface,2,Image 1,1,56,
85,,Surface,2,Image 1,1,57,
41,,Surface,2,Image 1,1,58,
24,,Surface,2,Image 1,1,59,
36,,Surface,2,Image 1,1,60,
20,,Surface,2,Image 1,1,61,
22,,Surface,2,Image 1,1,62,
16,,Surface,2,Image 1,1,63,
64,,Surface,2,Image 1,1,64,
43,,Surface,2,Image 1,1,65,
52,,Surface,2,Image 1,1,66,
24,,Surface,2,Image 1,1,67,
39,,Surface,2,Image 1,1,68,
21,,Surface,2,Image 1,1,69,
19,,Surface,2,Image 1,1,70,
23,,Surface,2,Image 1,1,71,
39,,Surface,2,Image 1,1,72,
133,,Surface,2,Image 1,1,73,
17,,Surface,2,Image 1,1,74,
40,,Surface,2,Image 1,1,75,
24,,Surface,2,Image 1,1,76,
24,,Surface,2,Image 1,1,77,
145,,Surface,2,Image 1,1,80,
84,,Surface,2,Image 1,1,81,
53,,Surface,2,Image 1,1,84,
77,,Surface,2,Image 1,1,85,
51,,Surface,2,Image 1,1,86,
20,,Surface,2,Image 1,1,87,
100,,Surface,2,Image 1,1,88,
42,,Surface,2,Image 1,1,89,
101,,Surface,2,Image 1,1,90,
51,,Surface,2,Image 1,1,91,
13,,Surface,2,Image 1,1,92,
41,,Surface,2,Image 1,1,93,
107,,Surface,2,Image 1,1,94,
29,,Surface,2,Image 1,1,95,
115,,Surface,2,Image 1,1,96,
32,,Surface,2,Image 1,1,97,
102,,Surface,2,Image 1,1,98,
98,,Surface,2,Image 1,1,99,
84,,Surface,2,Image 1,1,100,
96,,Surface,2,Image 1,1,101,
26,,Surface,2,Image 1,1,102,
46,,Surface,2,Image 1,1,103,
73,,Surface,2,Image 1,1,104,
21,,Surface,2,Image 1,1,105,
13,,Surface,2,Image 1,1,106,
33,,Surface,2,Image 1,1,107,
20,,Surface,2,Image 1,1,108,
14,,Surface,2,Image 1,1,109,
17,,Surface,2,Image 1,1,110,
15,,Surface,2,Image 1,1,111,
22,,Surface,2,Image 1,1,112,
42,,Surface,2,Image 1,1,113,
22,,Surface,2,Image 1,1,114,
31,,Surface,2,Image 1,1,115,
38,,Surface,2,Image 1,1,116,
14,,Surface,2,Image 1,1,119,
29,,Surface,2,Image 1,1,120,
11,,Surface,2,Image 1,1,121,
33,,Surface,2,Image 1,1,122,
30,,Surface,2,Image 1,1,123,
17,,Surface,2,Image 1,1,124,
15,,Surface,2,Image 1,1,125,
11,,Surface,2,Image 1,1,126,
22,,Surface,2,Image 1,1,127,
120,,Surface,2,Image 1,1,128,
