
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
1.4758,,Surface,4,Image 1,1,0,
2.42944,,Surface,4,Image 1,1,1,
1.95704,,Surface,4,Image 1,1,2,
1.77778,,Surface,4,Image 1,1,3,
1.87544,,Surface,4,Image 1,1,4,
1.76642,,Surface,4,Image 1,1,5,
2.31283,,Surface,4,Image 1,1,6,
2.47806,,Surface,4,Image 1,1,7,
2.4174,,Surface,4,Image 1,1,8,
2.28924,,Surface,4,Image 1,1,9,
1.87211,,Surface,4,Image 1,1,10,
1.75194,,Surface,4,Image 1,1,11,
1.28876,,Surface,4,Image 1,1,12,
1.60153,,Surface,4,Image 1,1,13,
1.55661,,Surface,4,Image 1,1,14,
1.72802,,Surface,4,Image 1,1,15,
1.99503,,Surface,4,Image 1,1,16,
1.37982,,Surface,4,Image 1,1,17,
1.46617,,Surface,4,Image 1,1,18,
1.68148,,Surface,4,Image 1,1,19,
1.54773,,Surface,4,Image 1,1,20,
2.44597,,Surface,4,Image 1,1,21,
1.34093,,Surface,4,Image 1,1,22,
1.76447,,Surface,4,Image 1,1,23,
2.00817,,Surface,4,Image 1,1,24,
1.92776,,Surface,4,Image 1,1,25,
2.02812,,Surface,4,Image 1,1,26,
1.9537,,Surface,4,Image 1,1,27,
2.63348,,Surface,4,Image 1,1,28,
1.25526,,Surface,4,Image 1,1,29,
1.4366,,Surface,4,Image 1,1,30,
1.64475,,Surface,4,Image 1,1,31,
1.69687,,Surface,4,Image 1,1,32,
1.26273,,Surface,4,Image 1,1,33,
1.69276,,Surface,4,Image 1,1,34,
1.84895,,Surface,4,Image 1,1,35,
1.60929,,Surface,4,Image 1,1,36,
2.12608,,Surface,4,Image 1,1,37,
2.06741,,Surface,4,Image 1,1,38,
1.75383,,Surface,4,Image 1,1,39,
1.28775,,Surface,4,Image 1,1,40,
1.69735,,Surface,4,Image 1,1,41,
1.41346,,Surface,4,Image 1,1,42,
2.22747,,Surface,4,Image 1,1,43,
1.90292,,Surface,4,Image 1,1,44,
1.75776,,Surface,4,Image 1,1,45,
2.07266,,Surface,4,Image 1,1,46,
1.50197,,Surface,4,Image 1,1,47,
1.52329,,Surface,4,Image 1,1,48,
1.87124,,Surface,4,Image 1,1,49,
1.84149,,Surface,4,Image 1,1,50,
1.90643,,Surface,4,Image 1,1,51,
2.20307,,Surface,4,Image 1,1,52,
1.65669,,Surface,4,Image 1,1,53,
1.74881,,Surface,4,Image 1,1,54,
1.9658,,Surface,4,Image 1,1,55,
3.88812,,Surface,4,Image 1,1,56,
1.90708,,Surface,4,Image 1,1,57,
1.44122,,Surface,4,Image 1,1,58,
1.41121,,Surface,4,Image 1,1,59,
1.21455,,Surface,4,Image 1,1,60,
1.28878,,Surface,4,Image 1,1,61,
1.14778,,Surface,4,Image 1,1,62,
1.18969,,Surface,4,Image 1,1,63,
1.1278,,Surface,4,Image 1,1,64,
1.4766,,Surface,4,Image 1,1,65,
1.49726,,Surface,4,Image 1,1,66,
1.50966,,Surface,4,Image 1,1,67,
1.84752,,Surface,4,Image 1,1,68,
1.20399,,Surface,4,Image 1,1,69,
1.23395,,Surface,4,Image 1,1,70,
1.25218,,Surface,4,Image 1,1,71,
1.23622,,Surface,4,Image 1,1,72,
1.44703,,Surface,4,Image 1,1,73,
1.33578,,Surface,4,Image 1,1,74,
2.64842,,Surface,4,Image 1,1,75,
3.87969,,Surface,4,Image 1,1,76,
1.29594,,Surface,4,Image 1,1,77,
1.28749,,Surface,4,Image 1,1,80,
1.50535,,Surface,4,Image 1,1,81,
2.83427,,Surface,4,Image 1,1,84,
1.93839,,Surface,4,Image 1,1,85,
0.955466,,Surface,4,Image 1,1,86,
1.6577,,Surface,4,Image 1,1,87,
1.27463,,Surface,4,Image 1,1,88,
1.04298,,Surface,4,Image 1,1,89,
1.31846,,Surface,4,Image 1,1,90,
1.59774,,Surface,4,Image 1,1,91,
1.19722,,Surface,4,Image 1,1,92,
1.56534,,Surface,4,Image 1,1,93,
1.11392,,Surface,4,Image 1,1,94,
1.46941,,Surface,4,Image 1,1,95,
1.3841,,Surface,4,Image 1,1,96,
1.45919,,Surface,4,Image 1,1,97,
1.70136,,Surface,4,Image 1,1,98,
1.1021,,Surface,4,Image 1,1,99,
1.51919,,Surface,4,Image 1,1,100,
1.82568,,Surface,4,Image 1,1,101,
3.07544,,Surface,4,Image 1,1,102,
1.44314,,Surface,4,Image 1,1,103,
0.930147,,Surface,4,Image 1,1,104,
1.00436,,Surface,4,Image 1,1,105,
0.944214,,Surface,4,Image 1,1,106,
0.992248,,Surface,4,Image 1,1,107,
1.08859,,Surface,4,Image 1,1,108,
1.01451,,Surface,4,Image 1,1,109,
1.11733,,Surface,4,Image 1,1,110,
0.977757,,Surface,4,Image 1,1,111,
1.46282,,Surface,4,Image 1,1,112,
1.73889,,Surface,4,Image 1,1,113,
1.22695,,Surface,4,Image 1,1,114,
1.64256,,Surface,4,Image 1,1,115,
1.52456,,Surface,4,Image 1,1,116,
1.0638,,Surface,4,Image 1,1,119,
1.1974,,Surface,4,Image 1,1,120,
0.87251,,Surface,4,Image 1,1,121,
1.65438,,Surface,4,Image 1,1,122,
0.894454,,Surface,4,Image 1,1,123,
1.11659,,Surface,4,Image 1,1,124,
1.09121,,Surface,4,Image 1,1,125,
0.833333,,Surface,4,Image 1,1,126,
0.845054,,Surface,4,Image 1,1,127,
0.98293,,Surface,4,Image 1,1,128,
