
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
6.06044,,Surface,4,Image 1,1,0,
2.48547,,Surface,4,Image 1,1,1,
3.57787,,Surface,4,Image 1,1,2,
5.09268,,Surface,4,Image 1,1,3,
4.42501,,Surface,4,Image 1,1,4,
4.1653,,Surface,4,Image 1,1,5,
3.14672,,Surface,4,Image 1,1,6,
5.73408,,Surface,4,Image 1,1,7,
6.71975,,Surface,4,Image 1,1,8,
2.9478,,Surface,4,Image 1,1,9,
2.25053,,Surface,4,Image 1,1,10,
3.30372,,Surface,4,Image 1,1,11,
2.68531,,Surface,4,Image 1,1,12,
4.68118,,Surface,4,Image 1,1,13,
4.70651,,Surface,4,Image 1,1,14,
3.43275,,Surface,4,Image 1,1,15,
5.66275,,Surface,4,Image 1,1,16,
3.67515,,Surface,4,Image 1,1,17,
3.06785,,Surface,4,Image 1,1,18,
3.03796,,Surface,4,Image 1,1,19,
2.89989,,Surface,4,Image 1,1,20,
3.72921,,Surface,4,Image 1,1,21,
2.34663,,Surface,4,Image 1,1,22,
2.72675,,Surface,4,Image 1,1,23,
2.56169,,Surface,4,Image 1,1,24,
3.87553,,Surface,4,Image 1,1,25,
2.46202,,Surface,4,Image 1,1,26,
