
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
7.48737,,Surface,4,Image 1,1,0,
7.64664,,Surface,4,Image 1,1,1,
7.25618,,Surface,4,Image 1,1,2,
13.9398,,Surface,4,Image 1,1,3,
10.7345,,Surface,4,Image 1,1,4,
9.11167,,Surface,4,Image 1,1,5,
8.17144,,Surface,4,Image 1,1,6,
7.72612,,Surface,4,Image 1,1,7,
7.91717,,Surface,4,Image 1,1,8,
10.6627,,Surface,4,Image 1,1,9,
14.9426,,Surface,4,Image 1,1,10,
9.26614,,Surface,4,Image 1,1,11,
10.3528,,Surface,4,Image 1,1,12,
9.68334,,Surface,4,Image 1,1,13,
7.21448,,Surface,4,Image 1,1,14,
16.5516,,Surface,4,Image 1,1,15,
14.1892,,Surface,4,Image 1,1,16,
8.25245,,Surface,4,Image 1,1,17,
13.3234,,Surface,4,Image 1,1,18,
7.38226,,Surface,4,Image 1,1,19,
11.9302,,Surface,4,Image 1,1,20,
8.48301,,Surface,4,Image 1,1,21,
7.33477,,Surface,4,Image 1,1,22,
10.8153,,Surface,4,Image 1,1,23,
10.2622,,Surface,4,Image 1,1,24,
10.6098,,Surface,4,Image 1,1,25,
9.08016,,Surface,4,Image 1,1,26,
7.33792,,Surface,4,Image 1,1,27,
8.20189,,Surface,4,Image 1,1,28,
12.0723,,Surface,4,Image 1,1,29,
18.5329,,Surface,4,Image 1,1,30,
9.78863,,Surface,4,Image 1,1,31,
10.9802,,Surface,4,Image 1,1,32,
7.95913,,Surface,4,Image 1,1,33,
12.401,,Surface,4,Image 1,1,34,
7.17627,,Surface,4,Image 1,1,35,
18.6649,,Surface,4,Image 1,1,36,
14.012,,Surface,4,Image 1,1,37,
23.9467,,Surface,4,Image 1,1,38,
8.58684,,Surface,4,Image 1,1,39,
10.8798,,Surface,4,Image 1,1,40,
7.93659,,Surface,4,Image 1,1,41,
7.74632,,Surface,4,Image 1,1,42,
11.5471,,Surface,4,Image 1,1,43,
14.7093,,Surface,4,Image 1,1,44,
19.5975,,Surface,4,Image 1,1,45,
7.17795,,Surface,4,Image 1,1,46,
6.97785,,Surface,4,Image 1,1,47,
6.85016,,Surface,4,Image 1,1,48,
12.424,,Surface,4,Image 1,1,49,
6.89685,,Surface,4,Image 1,1,50,
7.35143,,Surface,4,Image 1,1,51,
17.0085,,Surface,4,Image 1,1,52,
16.4023,,Surface,4,Image 1,1,53,
7.81513,,Surface,4,Image 1,1,54,
7.62202,,Surface,4,Image 1,1,55,
12.1109,,Surface,4,Image 1,1,56,
21.3767,,Surface,4,Image 1,1,57,
18.6046,,Surface,4,Image 1,1,58,
7.08328,,Surface,4,Image 1,1,59,
16.7373,,Surface,4,Image 1,1,60,
14.4919,,Surface,4,Image 1,1,61,
14.2224,,Surface,4,Image 1,1,62,
9.6473,,Surface,4,Image 1,1,63,
8.87147,,Surface,4,Image 1,1,64,
6.88485,,Surface,4,Image 1,1,66,
18.5956,,Surface,4,Image 1,1,67,
10.9487,,Surface,4,Image 1,1,69,
9.41512,,Surface,4,Image 1,1,70,
8.40415,,Surface,4,Image 1,1,71,
15.0979,,Surface,4,Image 1,1,72,
16.5222,,Surface,4,Image 1,1,73,
17.256,,Surface,4,Image 1,1,74,
8.48507,,Surface,4,Image 1,1,75,
10.9212,,Surface,4,Image 1,1,76,
8.90409,,Surface,4,Image 1,1,77,
12.2263,,Surface,4,Image 1,1,78,
12.8733,,Surface,4,Image 1,1,79,
16.4522,,Surface,4,Image 1,1,80,
9.00793,,Surface,4,Image 1,1,81,
6.72191,,Surface,4,Image 1,1,82,
8.6213,,Surface,4,Image 1,1,85,
10.9292,,Surface,4,Image 1,1,88,
8.32723,,Surface,4,Image 1,1,89,
7.18014,,Surface,4,Image 1,1,90,
9.86373,,Surface,4,Image 1,1,91,
8.37031,,Surface,4,Image 1,1,92,
7.65411,,Surface,4,Image 1,1,93,
16.0331,,Surface,4,Image 1,1,94,
7.25199,,Surface,4,Image 1,1,95,
7.62062,,Surface,4,Image 1,1,96,
8.18211,,Surface,4,Image 1,1,97,
9.69236,,Surface,4,Image 1,1,100,
3,,Surface,4,Image 1,1,102,
35,,Surface,4,Image 1,1,107,
54,,Surface,4,Image 1,1,108,
