
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
31.0655,,Surface,3,Image 1,1,0,
22.263,,Surface,3,Image 1,1,1,
36.6594,,Surface,3,Image 1,1,2,
31.625,,Surface,3,Image 1,1,3,
32.3129,,Surface,3,Image 1,1,4,
35.2285,,Surface,3,Image 1,1,5,
32.8442,,Surface,3,Image 1,1,6,
31.191,,Surface,3,Image 1,1,7,
33.2787,,Surface,3,Image 1,1,8,
29.4877,,Surface,3,Image 1,1,9,
28.2966,,Surface,3,Image 1,1,10,
35.0981,,Surface,3,Image 1,1,11,
24.8993,,Surface,3,Image 1,1,12,
24.2588,,Surface,3,Image 1,1,13,
27.9446,,Surface,3,Image 1,1,14,
24.5945,,Surface,3,Image 1,1,15,
25.0911,,Surface,3,Image 1,1,16,
29.4113,,Surface,3,Image 1,1,17,
21.8178,,Surface,3,Image 1,1,18,
31.8289,,Surface,3,Image 1,1,19,
27.0197,,Surface,3,Image 1,1,20,
35.3461,,Surface,3,Image 1,1,21,
40.3468,,Surface,3,Image 1,1,22,
28.8659,,Surface,3,Image 1,1,23,
33.1319,,Surface,3,Image 1,1,24,
26.3236,,Surface,3,Image 1,1,25,
29.4988,,Surface,3,Image 1,1,26,
24.571,,Surface,3,Image 1,1,27,
25.9917,,Surface,3,Image 1,1,28,
19.8226,,Surface,3,Image 1,1,29,
31.6287,,Surface,3,Image 1,1,30,
26.8033,,Surface,3,Image 1,1,31,
20.1726,,Surface,3,Image 1,1,32,
17.2386,,Surface,3,Image 1,1,33,
25.1643,,Surface,3,Image 1,1,34,
33.3639,,Surface,3,Image 1,1,35,
15.9662,,Surface,3,Image 1,1,36,
31.4871,,Surface,3,Image 1,1,37,
28.1619,,Surface,3,Image 1,1,38,
35.3241,,Surface,3,Image 1,1,39,
32.7604,,Surface,3,Image 1,1,40,
23.3362,,Surface,3,Image 1,1,41,
30.4756,,Surface,3,Image 1,1,42,
29.5362,,Surface,3,Image 1,1,43,
21.7589,,Surface,3,Image 1,1,44,
22.473,,Surface,3,Image 1,1,45,
29.4133,,Surface,3,Image 1,1,46,
20.7235,,Surface,3,Image 1,1,47,
21.414,,Surface,3,Image 1,1,48,
37.5855,,Surface,3,Image 1,1,49,
18.637,,Surface,3,Image 1,1,50,
27.1238,,Surface,3,Image 1,1,51,
31.4979,,Surface,3,Image 1,1,52,
22.5191,,Surface,3,Image 1,1,53,
34.1315,,Surface,3,Image 1,1,54,
28.5124,,Surface,3,Image 1,1,55,
26.1043,,Surface,3,Image 1,1,56,
15.7068,,Surface,3,Image 1,1,57,
16.6596,,Surface,3,Image 1,1,58,
34.9922,,Surface,3,Image 1,1,59,
20.5165,,Surface,3,Image 1,1,60,
26.9837,,Surface,3,Image 1,1,61,
31.4872,,Surface,3,Image 1,1,62,
34.8822,,Surface,3,Image 1,1,63,
29.6382,,Surface,3,Image 1,1,64,
23.7024,,Surface,3,Image 1,1,66,
31.0405,,Surface,3,Image 1,1,67,
18.9049,,Surface,3,Image 1,1,69,
27.2772,,Surface,3,Image 1,1,70,
24.0864,,Surface,3,Image 1,1,71,
22.6198,,Surface,3,Image 1,1,72,
29.537,,Surface,3,Image 1,1,73,
27.9776,,Surface,3,Image 1,1,74,
30.1728,,Surface,3,Image 1,1,75,
30.2758,,Surface,3,Image 1,1,76,
25.8447,,Surface,3,Image 1,1,77,
18.5976,,Surface,3,Image 1,1,78,
27.736,,Surface,3,Image 1,1,79,
29.601,,Surface,3,Image 1,1,80,
27.2293,,Surface,3,Image 1,1,81,
26.6359,,Surface,3,Image 1,1,82,
31.957,,Surface,3,Image 1,1,85,
18.4487,,Surface,3,Image 1,1,88,
24.4241,,Surface,3,Image 1,1,89,
19.8471,,Surface,3,Image 1,1,90,
21.3381,,Surface,3,Image 1,1,91,
29.8087,,Surface,3,Image 1,1,92,
22.9112,,Surface,3,Image 1,1,93,
24.1736,,Surface,3,Image 1,1,94,
33.7451,,Surface,3,Image 1,1,95,
36.1645,,Surface,3,Image 1,1,96,
32.5569,,Surface,3,Image 1,1,97,
25.9496,,Surface,3,Image 1,1,100,
42,,Surface,3,Image 1,1,102,
25,,Surface,3,Image 1,1,107,
20,,Surface,3,Image 1,1,108,
