
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
32.3451,74.598,41.5064,um,Surface,Position,1,0,
46.4695,40.3357,40.9933,um,Surface,Position,1,1,
27.5435,62.5797,37.5217,um,Surface,Position,1,2,
21.0075,66.923,39.7627,um,Surface,Position,1,3,
21.511,67.5558,33.9086,um,Surface,Position,1,4,
59.3858,55.4793,32.5065,um,Surface,Position,1,5,
64.1256,60.1327,36.2945,um,Surface,Position,1,6,
76.081,56.0698,33.1932,um,Surface,Position,1,7,
48.4733,87.9646,27.8929,um,Surface,Position,1,8,
32.0736,49.454,32.4337,um,Surface,Position,1,9,
24.834,50.9515,33.1205,um,Surface,Position,1,10,
27.6181,46.9093,33.7666,um,Surface,Position,1,11,
38.433,39.5462,33.1931,um,Surface,Position,1,12,
37.4888,35.6946,35.1507,um,Surface,Position,1,13,
32.9611,45.0299,27.7737,um,Surface,Position,1,14,
28.547,42.2358,29.9623,um,Surface,Position,1,15,
36.95,33.7519,28.6998,um,Surface,Position,1,16,
33.9646,39.857,28.6173,um,Surface,Position,1,17,
14.1424,67.3357,29.0132,um,Surface,Position,1,18,
28.9253,60.436,29.2872,um,Surface,Position,1,19,
15.0599,61.0382,27.8723,um,Surface,Position,1,20,
22.5108,58.1936,31.9231,um,Surface,Position,1,21,
46.6262,60.0345,30.0978,um,Surface,Position,1,22,
59.5298,61.3353,29.7686,um,Surface,Position,1,23,
74.1644,61.1601,31.6479,um,Surface,Position,1,24,
70.7606,55.5493,28.1948,um,Surface,Position,1,25,
22.34,69.9482,28.1281,um,Surface,Position,1,26,
46.6148,79.8158,27.7753,um,Surface,Position,1,27,
51.5177,77.141,30.4321,um,Surface,Position,1,28,
49.8743,93.1862,26.4482,um,Surface,Position,1,29,
28.2753,48.1903,23.6554,um,Surface,Position,1,30,
30.6681,41.6684,23.5387,um,Surface,Position,1,31,
19.5505,45.3827,23.9423,um,Surface,Position,1,32,
31.5851,34.4128,25.091,um,Surface,Position,1,33,
23.5285,39.8573,24.7682,um,Surface,Position,1,34,
70.0782,47.2573,24.365,um,Surface,Position,1,35,
10.9473,67.6442,23.6437,um,Surface,Position,1,36,
21.2381,59.1318,23.3141,um,Surface,Position,1,37,
22.0846,51.3938,26.5068,um,Surface,Position,1,38,
48.6442,62.3041,26.7275,um,Surface,Position,1,39,
59.0349,51.8543,25.567,um,Surface,Position,1,40,
62.8868,63.4441,28.5524,um,Surface,Position,1,41,
75.2286,51.9459,25.2447,um,Surface,Position,1,42,
74.4831,59.1267,25.5749,um,Surface,Position,1,43,
74.3687,65.2423,24.8201,um,Surface,Position,1,44,
78.0608,65.2433,26.7616,um,Surface,Position,1,45,
79.8074,53.6389,27.5419,um,Surface,Position,1,46,
15.9746,78.6352,26.254,um,Surface,Position,1,47,
50.1548,81.437,25.0655,um,Surface,Position,1,48,
48.8238,70.3698,26.023,um,Surface,Position,1,49,
31.3949,90.7122,18.614,um,Surface,Position,1,50,
46.5285,90.5695,19.5293,um,Surface,Position,1,51,
21.4617,42.2396,18.4221,um,Surface,Position,1,52,
36.95,32.9524,19.5099,um,Surface,Position,1,53,
35.2454,46.8963,18.9517,um,Surface,Position,1,54,
51.1578,34.613,21.3197,um,Surface,Position,1,55,
60.2104,46.554,21.7167,um,Surface,Position,1,56,
13.0543,63.9934,19.8273,um,Surface,Position,1,57,
10.8619,54.8252,21.3055,um,Surface,Position,1,58,
28.0672,54.5707,18.9079,um,Surface,Position,1,59,
17.4455,57.3221,18.4058,um,Surface,Position,1,60,
21.8108,52.8457,20.3456,um,Surface,Position,1,61,
19.4014,65.3977,21.4319,um,Surface,Position,1,62,
50.9689,57.5984,21.8981,um,Surface,Position,1,63,
59.1274,57.3636,21.9162,um,Surface,Position,1,64,
69.7322,59.6963,20.119,um,Surface,Position,1,66,
79.325,57.8285,22.2754,um,Surface,Position,1,67,
13.8148,72.437,23.4275,um,Surface,Position,1,69,
43.7019,80.6432,18.5276,um,Surface,Position,1,70,
49.971,92.0718,14.4709,um,Surface,Position,1,71,
17.0082,48.4661,13.7459,um,Surface,Position,1,72,
24.7559,47.4768,15.8437,um,Surface,Position,1,73,
19.5893,45.1788,17.0005,um,Surface,Position,1,74,
28.4303,43.6258,18.1768,um,Surface,Position,1,75,
46.3061,36.2439,15.7712,um,Surface,Position,1,76,
58.4502,46.2649,15.059,um,Surface,Position,1,77,
13.8372,62.6704,15.1206,um,Surface,Position,1,78,
23.7911,60.4169,17.5685,um,Surface,Position,1,79,
63.0662,56.1324,16.6579,um,Surface,Position,1,80,
66.61,50.6955,18.6489,um,Surface,Position,1,81,
56.463,53.2381,18.58,um,Surface,Position,1,82,
73.858,55.4167,17.9102,um,Surface,Position,1,85,
13.8561,80.8721,18.1604,um,Surface,Position,1,88,
24.7641,85.1972,17.2233,um,Surface,Position,1,89,
20.5111,78.2981,18.5724,um,Surface,Position,1,90,
20.0676,82.2871,13.6044,um,Surface,Position,1,91,
23.9541,49.7945,10.8745,um,Surface,Position,1,92,
22.0632,42.9657,11.5881,um,Surface,Position,1,93,
39.607,35.2084,12.181,um,Surface,Position,1,94,
19.6128,54.0377,11.7064,um,Surface,Position,1,95,
19.9717,67.0649,13.2093,um,Surface,Position,1,96,
68.7404,52.2128,13.8932,um,Surface,Position,1,97,
28.0339,72.1404,6.11447,um,Surface,Position,1,100,
91.9391,54.621,13.1363,um,Surface,Position,1,102,
89.637,66.1653,21.294,um,Surface,Position,1,107,
89.3212,66.3386,21.357,um,Surface,Position,1,108,
91.9323,54.6142,13.1985,um,Surface,Position,1,110,
