
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
202,,Surface,2,Image 1,1,0,
183,,Surface,2,Image 1,1,1,
180,,Surface,2,Image 1,1,2,
193,,Surface,2,Image 1,1,3,
190,,Surface,2,Image 1,1,4,
123,,Surface,2,Image 1,1,5,
148,,Surface,2,Image 1,1,6,
121,,Surface,2,Image 1,1,7,
254,,Surface,2,Image 1,1,8,
168,,Surface,2,Image 1,1,9,
208,,Surface,2,Image 1,1,10,
148,,Surface,2,Image 1,1,11,
117,,Surface,2,Image 1,1,12,
195,,Surface,2,Image 1,1,13,
183,,Surface,2,Image 1,1,14,
254,,Surface,2,Image 1,1,15,
208,,Surface,2,Image 1,1,16,
244,,Surface,2,Image 1,1,17,
252,,Surface,2,Image 1,1,18,
159,,Surface,2,Image 1,1,19,
230,,Surface,2,Image 1,1,20,
174,,Surface,2,Image 1,1,21,
137,,Surface,2,Image 1,1,22,
129,,Surface,2,Image 1,1,23,
150,,Surface,2,Image 1,1,24,
219,,Surface,2,Image 1,1,25,
219,,Surface,2,Image 1,1,26,
131,,Surface,2,Image 1,1,27,
137,,Surface,2,Image 1,1,28,
161,,Surface,2,Image 1,1,29,
217,,Surface,2,Image 1,1,30,
130,,Surface,2,Image 1,1,31,
245,,Surface,2,Image 1,1,32,
240,,Surface,2,Image 1,1,33,
239,,Surface,2,Image 1,1,34,
105,,Surface,2,Image 1,1,35,
251,,Surface,2,Image 1,1,36,
197,,Surface,2,Image 1,1,37,
207,,Surface,2,Image 1,1,38,
141,,Surface,2,Image 1,1,39,
195,,Surface,2,Image 1,1,40,
119,,Surface,2,Image 1,1,41,
162,,Surface,2,Image 1,1,42,
182,,Surface,2,Image 1,1,43,
120,,Surface,2,Image 1,1,44,
144,,Surface,2,Image 1,1,45,
168,,Surface,2,Image 1,1,46,
99,,Surface,2,Image 1,1,47,
126,,Surface,2,Image 1,1,48,
171,,Surface,2,Image 1,1,49,
223,,Surface,2,Image 1,1,50,
250,,Surface,2,Image 1,1,51,
198,,Surface,2,Image 1,1,52,
181,,Surface,2,Image 1,1,53,
188,,Surface,2,Image 1,1,54,
178,,Surface,2,Image 1,1,55,
255,,Surface,2,Image 1,1,56,
255,,Surface,2,Image 1,1,57,
255,,Surface,2,Image 1,1,58,
151,,Surface,2,Image 1,1,59,
205,,Surface,2,Image 1,1,60,
177,,Surface,2,Image 1,1,61,
250,,Surface,2,Image 1,1,62,
157,,Surface,2,Image 1,1,63,
185,,Surface,2,Image 1,1,64,
171,,Surface,2,Image 1,1,66,
248,,Surface,2,Image 1,1,67,
106,,Surface,2,Image 1,1,69,
183,,Surface,2,Image 1,1,70,
233,,Surface,2,Image 1,1,71,
172,,Surface,2,Image 1,1,72,
162,,Surface,2,Image 1,1,73,
190,,Surface,2,Image 1,1,74,
194,,Surface,2,Image 1,1,75,
137,,Surface,2,Image 1,1,76,
99,,Surface,2,Image 1,1,77,
200,,Surface,2,Image 1,1,78,
139,,Surface,2,Image 1,1,79,
154,,Surface,2,Image 1,1,80,
148,,Surface,2,Image 1,1,81,
143,,Surface,2,Image 1,1,82,
243,,Surface,2,Image 1,1,85,
160,,Surface,2,Image 1,1,88,
159,,Surface,2,Image 1,1,89,
150,,Surface,2,Image 1,1,90,
172,,Surface,2,Image 1,1,91,
134,,Surface,2,Image 1,1,92,
146,,Surface,2,Image 1,1,93,
223,,Surface,2,Image 1,1,94,
182,,Surface,2,Image 1,1,95,
185,,Surface,2,Image 1,1,96,
245,,Surface,2,Image 1,1,97,
242,,Surface,2,Image 1,1,100,
36,,Surface,2,Image 1,1,102,
20,,Surface,2,Image 1,1,107,
13,,Surface,2,Image 1,1,108,
