
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
207,,Surface,5,Image 1,1,0,
187,,Surface,5,Image 1,1,1,
253,,Surface,5,Image 1,1,2,
255,,Surface,5,Image 1,1,3,
235,,Surface,5,Image 1,1,4,
206,,Surface,5,Image 1,1,5,
210,,Surface,5,Image 1,1,6,
122,,Surface,5,Image 1,1,7,
201,,Surface,5,Image 1,1,8,
254,,Surface,5,Image 1,1,9,
206,,Surface,5,Image 1,1,10,
254,,Surface,5,Image 1,1,11,
217,,Surface,5,Image 1,1,12,
178,,Surface,5,Image 1,1,13,
252,,Surface,5,Image 1,1,14,
255,,Surface,5,Image 1,1,15,
232,,Surface,5,Image 1,1,16,
217,,Surface,5,Image 1,1,17,
237,,Surface,5,Image 1,1,18,
233,,Surface,5,Image 1,1,19,
254,,Surface,5,Image 1,1,20,
248,,Surface,5,Image 1,1,21,
244,,Surface,5,Image 1,1,22,
202,,Surface,5,Image 1,1,23,
139,,Surface,5,Image 1,1,24,
197,,Surface,5,Image 1,1,25,
248,,Surface,5,Image 1,1,26,
208,,Surface,5,Image 1,1,27,
208,,Surface,5,Image 1,1,28,
185,,Surface,5,Image 1,1,29,
246,,Surface,5,Image 1,1,30,
203,,Surface,5,Image 1,1,31,
225,,Surface,5,Image 1,1,32,
222,,Surface,5,Image 1,1,33,
196,,Surface,5,Image 1,1,34,
208,,Surface,5,Image 1,1,35,
231,,Surface,5,Image 1,1,36,
246,,Surface,5,Image 1,1,37,
237,,Surface,5,Image 1,1,38,
240,,Surface,5,Image 1,1,39,
206,,Surface,5,Image 1,1,40,
211,,Surface,5,Image 1,1,41,
138,,Surface,5,Image 1,1,42,
242,,Surface,5,Image 1,1,43,
175,,Surface,5,Image 1,1,44,
223,,Surface,5,Image 1,1,45,
222,,Surface,5,Image 1,1,46,
167,,Surface,5,Image 1,1,47,
232,,Surface,5,Image 1,1,48,
203,,Surface,5,Image 1,1,49,
193,,Surface,5,Image 1,1,50,
210,,Surface,5,Image 1,1,51,
192,,Surface,5,Image 1,1,52,
214,,Surface,5,Image 1,1,53,
210,,Surface,5,Image 1,1,54,
215,,Surface,5,Image 1,1,55,
211,,Surface,5,Image 1,1,56,
232,,Surface,5,Image 1,1,57,
216,,Surface,5,Image 1,1,58,
191,,Surface,5,Image 1,1,59,
212,,Surface,5,Image 1,1,60,
233,,Surface,5,Image 1,1,61,
200,,Surface,5,Image 1,1,62,
245,,Surface,5,Image 1,1,63,
212,,Surface,5,Image 1,1,64,
217,,Surface,5,Image 1,1,66,
181,,Surface,5,Image 1,1,67,
160,,Surface,5,Image 1,1,69,
186,,Surface,5,Image 1,1,70,
214,,Surface,5,Image 1,1,71,
254,,Surface,5,Image 1,1,72,
240,,Surface,5,Image 1,1,73,
221,,Surface,5,Image 1,1,74,
255,,Surface,5,Image 1,1,75,
175,,Surface,5,Image 1,1,76,
204,,Surface,5,Image 1,1,77,
233,,Surface,5,Image 1,1,78,
232,,Surface,5,Image 1,1,79,
253,,Surface,5,Image 1,1,80,
176,,Surface,5,Image 1,1,81,
243,,Surface,5,Image 1,1,82,
194,,Surface,5,Image 1,1,85,
180,,Surface,5,Image 1,1,88,
151,,Surface,5,Image 1,1,89,
239,,Surface,5,Image 1,1,90,
242,,Surface,5,Image 1,1,91,
232,,Surface,5,Image 1,1,92,
251,,Surface,5,Image 1,1,93,
218,,Surface,5,Image 1,1,94,
223,,Surface,5,Image 1,1,95,
221,,Surface,5,Image 1,1,96,
208,,Surface,5,Image 1,1,97,
249,,Surface,5,Image 1,1,100,
6,,Surface,5,Image 1,1,102,
9,,Surface,5,Image 1,1,107,
0,,Surface,5,Image 1,1,108,
