
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
114,,Surface,4,Image 1,1,0,
150,,Surface,4,Image 1,1,1,
202,,Surface,4,Image 1,1,2,
116,,Surface,4,Image 1,1,3,
98,,Surface,4,Image 1,1,4,
198,,Surface,4,Image 1,1,5,
128,,Surface,4,Image 1,1,6,
98,,Surface,4,Image 1,1,7,
130,,Surface,4,Image 1,1,8,
114,,Surface,4,Image 1,1,9,
121,,Surface,4,Image 1,1,10,
110,,Surface,4,Image 1,1,11,
215,,Surface,4,Image 1,1,12,
180,,Surface,4,Image 1,1,13,
184,,Surface,4,Image 1,1,14,
169,,Surface,4,Image 1,1,15,
127,,Surface,4,Image 1,1,16,
142,,Surface,4,Image 1,1,17,
155,,Surface,4,Image 1,1,18,
163,,Surface,4,Image 1,1,19,
131,,Surface,4,Image 1,1,20,
173,,Surface,4,Image 1,1,21,
143,,Surface,4,Image 1,1,22,
149,,Surface,4,Image 1,1,23,
128,,Surface,4,Image 1,1,24,
146,,Surface,4,Image 1,1,25,
123,,Surface,4,Image 1,1,26,
161,,Surface,4,Image 1,1,27,
128,,Surface,4,Image 1,1,28,
152,,Surface,4,Image 1,1,29,
239,,Surface,4,Image 1,1,30,
255,,Surface,4,Image 1,1,31,
233,,Surface,4,Image 1,1,32,
115,,Surface,4,Image 1,1,33,
112,,Surface,4,Image 1,1,34,
123,,Surface,4,Image 1,1,35,
125,,Surface,4,Image 1,1,36,
179,,Surface,4,Image 1,1,37,
115,,Surface,4,Image 1,1,38,
118,,Surface,4,Image 1,1,39,
121,,Surface,4,Image 1,1,40,
106,,Surface,4,Image 1,1,41,
