
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
137,,Surface,3,Image 1,1,0,
179,,Surface,3,Image 1,1,1,
157,,Surface,3,Image 1,1,2,
207,,Surface,3,Image 1,1,3,
129,,Surface,3,Image 1,1,4,
155,,Surface,3,Image 1,1,5,
138,,Surface,3,Image 1,1,6,
121,,Surface,3,Image 1,1,7,
170,,Surface,3,Image 1,1,8,
175,,Surface,3,Image 1,1,9,
143,,Surface,3,Image 1,1,10,
155,,Surface,3,Image 1,1,11,
200,,Surface,3,Image 1,1,12,
167,,Surface,3,Image 1,1,13,
181,,Surface,3,Image 1,1,14,
177,,Surface,3,Image 1,1,15,
215,,Surface,3,Image 1,1,16,
175,,Surface,3,Image 1,1,17,
168,,Surface,3,Image 1,1,18,
203,,Surface,3,Image 1,1,19,
171,,Surface,3,Image 1,1,20,
146,,Surface,3,Image 1,1,21,
148,,Surface,3,Image 1,1,22,
148,,Surface,3,Image 1,1,23,
156,,Surface,3,Image 1,1,24,
123,,Surface,3,Image 1,1,25,
158,,Surface,3,Image 1,1,26,
158,,Surface,3,Image 1,1,27,
141,,Surface,3,Image 1,1,28,
154,,Surface,3,Image 1,1,29,
163,,Surface,3,Image 1,1,30,
248,,Surface,3,Image 1,1,31,
135,,Surface,3,Image 1,1,32,
136,,Surface,3,Image 1,1,33,
185,,Surface,3,Image 1,1,34,
130,,Surface,3,Image 1,1,35,
161,,Surface,3,Image 1,1,36,
126,,Surface,3,Image 1,1,37,
137,,Surface,3,Image 1,1,38,
156,,Surface,3,Image 1,1,39,
176,,Surface,3,Image 1,1,40,
132,,Surface,3,Image 1,1,41,
