
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
8.42321,,Surface,3,Image 1,1,1,
9.52203,,Surface,3,Image 1,1,3,
6.91431,,Surface,3,Image 1,1,4,
8.83635,,Surface,3,Image 1,1,5,
5.57683,,Surface,3,Image 1,1,6,
5.3116,,Surface,3,Image 1,1,7,
6.58252,,Surface,3,Image 1,1,8,
9.48766,,Surface,3,Image 1,1,9,
7.17974,,Surface,3,Image 1,1,10,
8.91663,,Surface,3,Image 1,1,11,
8.5499,,Surface,3,Image 1,1,12,
10.4028,,Surface,3,Image 1,1,13,
7.27166,,Surface,3,Image 1,1,14,
7.23345,,Surface,3,Image 1,1,15,
11.5554,,Surface,3,Image 1,1,16,
11.0162,,Surface,3,Image 1,1,17,
7.65746,,Surface,3,Image 1,1,18,
5.32778,,Surface,3,Image 1,1,19,
8.50996,,Surface,3,Image 1,1,20,
5.51154,,Surface,3,Image 1,1,21,
8.69325,,Surface,3,Image 1,1,22,
10.6654,,Surface,3,Image 1,1,23,
