
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
35.7597,113.657,-14.1061,um,Surface,Position,1,1,
25.875,98.7717,-33.2636,um,Surface,Position,1,3,
25.8958,110.563,-33.405,um,Surface,Position,1,4,
26.0654,108.099,-27.6134,um,Surface,Position,1,5,
66.1113,111.915,-26.4067,um,Surface,Position,1,6,
11.4298,63.2065,-26.226,um,Surface,Position,1,7,
78.9469,60.9519,-20.5837,um,Surface,Position,1,8,
60.3154,79.5698,-22.4349,um,Surface,Position,1,9,
34.7196,129.762,-44.8943,um,Surface,Position,1,10,
34.8508,124.601,-40.5123,um,Surface,Position,1,11,
38.8472,121.84,-45.3551,um,Surface,Position,1,12,
39.4059,126.746,-44.4162,um,Surface,Position,1,13,
42.912,136.256,-39.726,um,Surface,Position,1,14,
32.1147,84.2481,-35.075,um,Surface,Position,1,15,
30.3362,101.948,-41.119,um,Surface,Position,1,16,
47.3599,107.389,-48.6502,um,Surface,Position,1,17,
32.7621,112.74,-43.9679,um,Surface,Position,1,18,
28.7607,114.618,-41.7162,um,Surface,Position,1,19,
34.9679,118.852,-41.6473,um,Surface,Position,1,20,
27.717,115.059,-36.7091,um,Surface,Position,1,21,
31.9206,120.083,-36.3333,um,Surface,Position,1,22,
42.6733,112.953,-48.3611,um,Surface,Position,1,23,
