
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
123,,Surface,2,Image 1,1,1,
180,,Surface,2,Image 1,1,3,
252,,Surface,2,Image 1,1,4,
176,,Surface,2,Image 1,1,5,
239,,Surface,2,Image 1,1,6,
128,,Surface,2,Image 1,1,7,
109,,Surface,2,Image 1,1,8,
114,,Surface,2,Image 1,1,9,
250,,Surface,2,Image 1,1,10,
251,,Surface,2,Image 1,1,11,
202,,Surface,2,Image 1,1,12,
188,,Surface,2,Image 1,1,13,
235,,Surface,2,Image 1,1,14,
98,,Surface,2,Image 1,1,15,
118,,Surface,2,Image 1,1,16,
191,,Surface,2,Image 1,1,17,
128,,Surface,2,Image 1,1,18,
91,,Surface,2,Image 1,1,19,
119,,Surface,2,Image 1,1,20,
197,,Surface,2,Image 1,1,21,
99,,Surface,2,Image 1,1,22,
162,,Surface,2,Image 1,1,23,
