
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
8.59568,,Surface,5,Image 1,1,1,
8.76766,,Surface,5,Image 1,1,3,
10.5454,,Surface,5,Image 1,1,4,
9.57325,,Surface,5,Image 1,1,5,
8.86426,,Surface,5,Image 1,1,6,
9.02082,,Surface,5,Image 1,1,7,
7.98581,,Surface,5,Image 1,1,8,
15.2605,,Surface,5,Image 1,1,9,
9.68424,,Surface,5,Image 1,1,10,
8.82507,,Surface,5,Image 1,1,11,
7.47634,,Surface,5,Image 1,1,12,
8.0656,,Surface,5,Image 1,1,13,
7.64503,,Surface,5,Image 1,1,14,
8.02085,,Surface,5,Image 1,1,15,
8.77343,,Surface,5,Image 1,1,16,
7.63064,,Surface,5,Image 1,1,17,
7.46869,,Surface,5,Image 1,1,18,
13.3198,,Surface,5,Image 1,1,19,
7.49236,,Surface,5,Image 1,1,20,
13.3033,,Surface,5,Image 1,1,21,
7.69211,,Surface,5,Image 1,1,22,
7.43349,,Surface,5,Image 1,1,23,
