
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
22.4488,,Surface,3,Image 1,1,0,
27.8554,,Surface,3,Image 1,1,1,
20.2954,,Surface,3,Image 1,1,2,
23.0335,,Surface,3,Image 1,1,3,
19.6032,,Surface,3,Image 1,1,4,
26.0827,,Surface,3,Image 1,1,5,
27.1778,,Surface,3,Image 1,1,6,
20.8057,,Surface,3,Image 1,1,7,
20.4399,,Surface,3,Image 1,1,8,
24.1371,,Surface,3,Image 1,1,9,
31.3431,,Surface,3,Image 1,1,10,
21.364,,Surface,3,Image 1,1,11,
29.4939,,Surface,3,Image 1,1,12,
35.8844,,Surface,3,Image 1,1,13,
34.9079,,Surface,3,Image 1,1,14,
36.7319,,Surface,3,Image 1,1,15,
28.2615,,Surface,3,Image 1,1,16,
21.3262,,Surface,3,Image 1,1,17,
29.4106,,Surface,3,Image 1,1,18,
29.3917,,Surface,3,Image 1,1,19,
28.4218,,Surface,3,Image 1,1,20,
26.8586,,Surface,3,Image 1,1,21,
25.3409,,Surface,3,Image 1,1,22,
23.6575,,Surface,3,Image 1,1,23,
23.7182,,Surface,3,Image 1,1,24,
29.9411,,Surface,3,Image 1,1,25,
32.0792,,Surface,3,Image 1,1,26,
29.9264,,Surface,3,Image 1,1,27,
21.2648,,Surface,3,Image 1,1,28,
25.212,,Surface,3,Image 1,1,29,
28.8797,,Surface,3,Image 1,1,30,
27.3488,,Surface,3,Image 1,1,31,
26.5571,,Surface,3,Image 1,1,32,
31.9163,,Surface,3,Image 1,1,33,
30.3108,,Surface,3,Image 1,1,34,
20.776,,Surface,3,Image 1,1,35,
24.4768,,Surface,3,Image 1,1,36,
32.1574,,Surface,3,Image 1,1,37,
34.2393,,Surface,3,Image 1,1,38,
19.7288,,Surface,3,Image 1,1,39,
40.443,,Surface,3,Image 1,1,40,
35.8496,,Surface,3,Image 1,1,41,
30.4582,,Surface,3,Image 1,1,42,
39.4737,,Surface,3,Image 1,1,43,
39.8973,,Surface,3,Image 1,1,44,
34.396,,Surface,3,Image 1,1,45,
38.7225,,Surface,3,Image 1,1,46,
26.8658,,Surface,3,Image 1,1,47,
23.8257,,Surface,3,Image 1,1,48,
26.3261,,Surface,3,Image 1,1,49,
35.3104,,Surface,3,Image 1,1,50,
41.5107,,Surface,3,Image 1,1,51,
34.308,,Surface,3,Image 1,1,52,
21.6264,,Surface,3,Image 1,1,53,
20.633,,Surface,3,Image 1,1,54,
41.4714,,Surface,3,Image 1,1,55,
