
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
37,,Surface,3,Image 1,1,0,
31,,Surface,3,Image 1,1,1,
27,,Surface,3,Image 1,1,2,
33,,Surface,3,Image 1,1,3,
24,,Surface,3,Image 1,1,4,
29,,Surface,3,Image 1,1,5,
33,,Surface,3,Image 1,1,6,
29,,Surface,3,Image 1,1,7,
49,,Surface,3,Image 1,1,8,
41,,Surface,3,Image 1,1,9,
26,,Surface,3,Image 1,1,10,
38,,Surface,3,Image 1,1,11,
50,,Surface,3,Image 1,1,12,
31,,Surface,3,Image 1,1,13,
38,,Surface,3,Image 1,1,14,
47,,Surface,3,Image 1,1,15,
38,,Surface,3,Image 1,1,16,
37,,Surface,3,Image 1,1,17,
40,,Surface,3,Image 1,1,18,
33,,Surface,3,Image 1,1,19,
37,,Surface,3,Image 1,1,20,
34,,Surface,3,Image 1,1,21,
103,,Surface,3,Image 1,1,22,
38,,Surface,3,Image 1,1,23,
44,,Surface,3,Image 1,1,24,
38,,Surface,3,Image 1,1,25,
39,,Surface,3,Image 1,1,26,
40,,Surface,3,Image 1,1,27,
38,,Surface,3,Image 1,1,28,
47,,Surface,3,Image 1,1,29,
41,,Surface,3,Image 1,1,30,
41,,Surface,3,Image 1,1,31,
73,,Surface,3,Image 1,1,32,
41,,Surface,3,Image 1,1,33,
41,,Surface,3,Image 1,1,34,
42,,Surface,3,Image 1,1,35,
36,,Surface,3,Image 1,1,36,
40,,Surface,3,Image 1,1,37,
45,,Surface,3,Image 1,1,38,
118,,Surface,3,Image 1,1,39,
37,,Surface,3,Image 1,1,40,
45,,Surface,3,Image 1,1,41,
41,,Surface,3,Image 1,1,42,
36,,Surface,3,Image 1,1,43,
33,,Surface,3,Image 1,1,44,
35,,Surface,3,Image 1,1,45,
41,,Surface,3,Image 1,1,46,
35,,Surface,3,Image 1,1,47,
52,,Surface,3,Image 1,1,48,
46,,Surface,3,Image 1,1,49,
45,,Surface,3,Image 1,1,50,
53,,Surface,3,Image 1,1,51,
43,,Surface,3,Image 1,1,52,
71,,Surface,3,Image 1,1,53,
