
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
193.522,,Surface,2,Image 1,1,0,
183.011,,Surface,2,Image 1,1,1,
187.516,,Surface,2,Image 1,1,2,
177.603,,Surface,2,Image 1,1,3,
197.991,,Surface,2,Image 1,1,4,
179.162,,Surface,2,Image 1,1,5,
215.543,,Surface,2,Image 1,1,6,
183.566,,Surface,2,Image 1,1,7,
189.18,,Surface,2,Image 1,1,8,
191.195,,Surface,2,Image 1,1,9,
202.603,,Surface,2,Image 1,1,10,
190.825,,Surface,2,Image 1,1,11,
222.576,,Surface,2,Image 1,1,12,
227.181,,Surface,2,Image 1,1,13,
214.215,,Surface,2,Image 1,1,14,
174.761,,Surface,2,Image 1,1,15,
196.601,,Surface,2,Image 1,1,16,
177.489,,Surface,2,Image 1,1,17,
215.648,,Surface,2,Image 1,1,18,
186.39,,Surface,2,Image 1,1,19,
198.659,,Surface,2,Image 1,1,20,
178.388,,Surface,2,Image 1,1,21,
200.58,,Surface,2,Image 1,1,22,
179.055,,Surface,2,Image 1,1,23,
182.712,,Surface,2,Image 1,1,24,
184.243,,Surface,2,Image 1,1,25,
225.966,,Surface,2,Image 1,1,26,
216.3,,Surface,2,Image 1,1,27,
244.275,,Surface,2,Image 1,1,28,
312.112,,Surface,2,Image 1,1,29,
195.991,,Surface,2,Image 1,1,30,
239.642,,Surface,2,Image 1,1,31,
230.49,,Surface,2,Image 1,1,32,
203.047,,Surface,2,Image 1,1,33,
203.506,,Surface,2,Image 1,1,34,
243.21,,Surface,2,Image 1,1,35,
184.005,,Surface,2,Image 1,1,36,
211.074,,Surface,2,Image 1,1,37,
221.779,,Surface,2,Image 1,1,38,
188.521,,Surface,2,Image 1,1,39,
210.325,,Surface,2,Image 1,1,40,
175.843,,Surface,2,Image 1,1,41,
215.393,,Surface,2,Image 1,1,42,
200.196,,Surface,2,Image 1,1,43,
233.001,,Surface,2,Image 1,1,44,
235.659,,Surface,2,Image 1,1,45,
207.853,,Surface,2,Image 1,1,46,
212.795,,Surface,2,Image 1,1,47,
201.9,,Surface,2,Image 1,1,48,
180.015,,Surface,2,Image 1,1,49,
215.955,,Surface,2,Image 1,1,50,
193.998,,Surface,2,Image 1,1,51,
212.646,,Surface,2,Image 1,1,52,
207.046,,Surface,2,Image 1,1,53,
