
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
155.493,,Surface,2,Image 1,1,0,
144.143,,Surface,2,Image 1,1,1,
170.815,,Surface,2,Image 1,1,2,
159.262,,Surface,2,Image 1,1,3,
201.964,,Surface,2,Image 1,1,4,
183.787,,Surface,2,Image 1,1,5,
141.306,,Surface,2,Image 1,1,6,
169.144,,Surface,2,Image 1,1,7,
171.793,,Surface,2,Image 1,1,8,
133.775,,Surface,2,Image 1,1,9,
179.251,,Surface,2,Image 1,1,10,
150.082,,Surface,2,Image 1,1,11,
168.479,,Surface,2,Image 1,1,12,
191.797,,Surface,2,Image 1,1,13,
136.483,,Surface,2,Image 1,1,14,
164.211,,Surface,2,Image 1,1,15,
150.075,,Surface,2,Image 1,1,16,
188.253,,Surface,2,Image 1,1,17,
171.4,,Surface,2,Image 1,1,18,
141.21,,Surface,2,Image 1,1,19,
173.778,,Surface,2,Image 1,1,20,
183.089,,Surface,2,Image 1,1,21,
171.631,,Surface,2,Image 1,1,22,
183.111,,Surface,2,Image 1,1,23,
165.737,,Surface,2,Image 1,1,24,
176.416,,Surface,2,Image 1,1,25,
158.218,,Surface,2,Image 1,1,26,
179.744,,Surface,2,Image 1,1,27,
164.601,,Surface,2,Image 1,1,28,
156.052,,Surface,2,Image 1,1,29,
162.214,,Surface,2,Image 1,1,30,
146.448,,Surface,2,Image 1,1,31,
171.47,,Surface,2,Image 1,1,32,
149.919,,Surface,2,Image 1,1,33,
219.301,,Surface,2,Image 1,1,34,
163.182,,Surface,2,Image 1,1,35,
211.705,,Surface,2,Image 1,1,36,
219.856,,Surface,2,Image 1,1,37,
212.199,,Surface,2,Image 1,1,38,
191.154,,Surface,2,Image 1,1,39,
243.492,,Surface,2,Image 1,1,40,
203.056,,Surface,2,Image 1,1,41,
205.513,,Surface,2,Image 1,1,42,
177.392,,Surface,2,Image 1,1,43,
188.517,,Surface,2,Image 1,1,44,
204.999,,Surface,2,Image 1,1,45,
181.523,,Surface,2,Image 1,1,46,
176.428,,Surface,2,Image 1,1,47,
228.423,,Surface,2,Image 1,1,48,
229.454,,Surface,2,Image 1,1,49,
162.019,,Surface,2,Image 1,1,50,
262.279,,Surface,2,Image 1,1,51,
263.5,,Surface,2,Image 1,1,52,
168.26,,Surface,2,Image 1,1,53,
178.618,,Surface,2,Image 1,1,54,
174.498,,Surface,2,Image 1,1,55,
160.879,,Surface,2,Image 1,1,56,
155.44,,Surface,2,Image 1,1,57,
161.917,,Surface,2,Image 1,1,58,
154.466,,Surface,2,Image 1,1,59,
196.276,,Surface,2,Image 1,1,60,
175.016,,Surface,2,Image 1,1,61,
194.892,,Surface,2,Image 1,1,62,
198.831,,Surface,2,Image 1,1,63,
197.816,,Surface,2,Image 1,1,64,
172.395,,Surface,2,Image 1,1,65,
155.355,,Surface,2,Image 1,1,66,
157.458,,Surface,2,Image 1,1,67,
151.682,,Surface,2,Image 1,1,68,
