
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
299,,Surface,3,Image 1,1,0,
211,,Surface,3,Image 1,1,1,
191,,Surface,3,Image 1,1,2,
246,,Surface,3,Image 1,1,3,
279,,Surface,3,Image 1,1,4,
230,,Surface,3,Image 1,1,5,
153,,Surface,3,Image 1,1,6,
218,,Surface,3,Image 1,1,7,
184,,Surface,3,Image 1,1,8,
203,,Surface,3,Image 1,1,9,
488,,Surface,3,Image 1,1,10,
272,,Surface,3,Image 1,1,11,
202,,Surface,3,Image 1,1,12,
223,,Surface,3,Image 1,1,13,
166,,Surface,3,Image 1,1,14,
190,,Surface,3,Image 1,1,15,
231,,Surface,3,Image 1,1,16,
243,,Surface,3,Image 1,1,17,
196,,Surface,3,Image 1,1,18,
195,,Surface,3,Image 1,1,19,
183,,Surface,3,Image 1,1,20,
204,,Surface,3,Image 1,1,21,
231,,Surface,3,Image 1,1,22,
199,,Surface,3,Image 1,1,23,
222,,Surface,3,Image 1,1,24,
212,,Surface,3,Image 1,1,25,
293,,Surface,3,Image 1,1,26,
235,,Surface,3,Image 1,1,27,
231,,Surface,3,Image 1,1,28,
214,,Surface,3,Image 1,1,29,
240,,Surface,3,Image 1,1,30,
255,,Surface,3,Image 1,1,31,
299,,Surface,3,Image 1,1,32,
244,,Surface,3,Image 1,1,33,
263,,Surface,3,Image 1,1,34,
276,,Surface,3,Image 1,1,35,
274,,Surface,3,Image 1,1,36,
296,,Surface,3,Image 1,1,37,
274,,Surface,3,Image 1,1,38,
338,,Surface,3,Image 1,1,39,
241,,Surface,3,Image 1,1,40,
278,,Surface,3,Image 1,1,41,
233,,Surface,3,Image 1,1,42,
225,,Surface,3,Image 1,1,43,
209,,Surface,3,Image 1,1,44,
243,,Surface,3,Image 1,1,45,
276,,Surface,3,Image 1,1,46,
254,,Surface,3,Image 1,1,47,
312,,Surface,3,Image 1,1,48,
253,,Surface,3,Image 1,1,49,
252,,Surface,3,Image 1,1,50,
239,,Surface,3,Image 1,1,51,
249,,Surface,3,Image 1,1,52,
252,,Surface,3,Image 1,1,53,
224,,Surface,3,Image 1,1,54,
470,,Surface,3,Image 1,1,55,
220,,Surface,3,Image 1,1,56,
185,,Surface,3,Image 1,1,57,
254,,Surface,3,Image 1,1,58,
249,,Surface,3,Image 1,1,59,
311,,Surface,3,Image 1,1,60,
248,,Surface,3,Image 1,1,61,
272,,Surface,3,Image 1,1,62,
285,,Surface,3,Image 1,1,63,
192,,Surface,3,Image 1,1,64,
205,,Surface,3,Image 1,1,65,
192,,Surface,3,Image 1,1,66,
280,,Surface,3,Image 1,1,67,
251,,Surface,3,Image 1,1,68,
