
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
97.8036,,Surface,5,Image 1,1,0,
94.8232,,Surface,5,Image 1,1,1,
115.361,,Surface,5,Image 1,1,2,
95.433,,Surface,5,Image 1,1,3,
97.0175,,Surface,5,Image 1,1,4,
76.9202,,Surface,5,Image 1,1,5,
73.8428,,Surface,5,Image 1,1,6,
69.4571,,Surface,5,Image 1,1,7,
68.7399,,Surface,5,Image 1,1,8,
86.2004,,Surface,5,Image 1,1,9,
89.5796,,Surface,5,Image 1,1,10,
95.3329,,Surface,5,Image 1,1,11,
90.4001,,Surface,5,Image 1,1,12,
102.981,,Surface,5,Image 1,1,13,
74.4619,,Surface,5,Image 1,1,14,
78.48,,Surface,5,Image 1,1,15,
87.5982,,Surface,5,Image 1,1,16,
79.5003,,Surface,5,Image 1,1,17,
88.9672,,Surface,5,Image 1,1,18,
80.8833,,Surface,5,Image 1,1,19,
83.8088,,Surface,5,Image 1,1,20,
74.2507,,Surface,5,Image 1,1,21,
77.6776,,Surface,5,Image 1,1,22,
95.2754,,Surface,5,Image 1,1,23,
76.1713,,Surface,5,Image 1,1,24,
83.1713,,Surface,5,Image 1,1,25,
70.8972,,Surface,5,Image 1,1,26,
70.8808,,Surface,5,Image 1,1,27,
84.4389,,Surface,5,Image 1,1,28,
82.2138,,Surface,5,Image 1,1,29,
87.9616,,Surface,5,Image 1,1,30,
65.2496,,Surface,5,Image 1,1,31,
76.7062,,Surface,5,Image 1,1,32,
88.1983,,Surface,5,Image 1,1,33,
92.1092,,Surface,5,Image 1,1,34,
97.7311,,Surface,5,Image 1,1,35,
77.1658,,Surface,5,Image 1,1,36,
73.422,,Surface,5,Image 1,1,37,
92.0404,,Surface,5,Image 1,1,38,
66.0291,,Surface,5,Image 1,1,39,
85.3403,,Surface,5,Image 1,1,40,
90.8968,,Surface,5,Image 1,1,41,
91.7292,,Surface,5,Image 1,1,42,
76.2838,,Surface,5,Image 1,1,43,
86.8714,,Surface,5,Image 1,1,44,
86.4725,,Surface,5,Image 1,1,45,
91.7621,,Surface,5,Image 1,1,46,
