
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
41.0452,,Surface,4,Image 1,1,0,
44.9148,,Surface,4,Image 1,1,1,
33.2355,,Surface,4,Image 1,1,8,
46.9906,,Surface,4,Image 1,1,9,
40.8164,,Surface,4,Image 1,1,10,
50.7537,,Surface,4,Image 1,1,11,
37.4649,,Surface,4,Image 1,1,12,
41.6421,,Surface,4,Image 1,1,13,
35.2673,,Surface,4,Image 1,1,14,
44.0601,,Surface,4,Image 1,1,15,
39.3552,,Surface,4,Image 1,1,16,
29.2845,,Surface,4,Image 1,1,18,
34.2024,,Surface,4,Image 1,1,19,
32.8755,,Surface,4,Image 1,1,20,
32.4764,,Surface,4,Image 1,1,21,
42.4903,,Surface,4,Image 1,1,23,
32.3522,,Surface,4,Image 1,1,24,
33.0638,,Surface,4,Image 1,1,28,
32.5857,,Surface,4,Image 1,1,29,
36.7156,,Surface,4,Image 1,1,30,
32.8749,,Surface,4,Image 1,1,31,
31.1186,,Surface,4,Image 1,1,32,
30.5671,,Surface,4,Image 1,1,33,
37.0174,,Surface,4,Image 1,1,34,
40.4726,,Surface,4,Image 1,1,36,
42.4078,,Surface,4,Image 1,1,39,
42.2771,,Surface,4,Image 1,1,40,
35.5549,,Surface,4,Image 1,1,41,
39.3589,,Surface,4,Image 1,1,42,
31.8644,,Surface,4,Image 1,1,43,
30.3274,,Surface,4,Image 1,1,44,
32.9401,,Surface,4,Image 1,1,45,
36.2644,,Surface,4,Image 1,1,50,
36.554,,Surface,4,Image 1,1,51,
37.6367,,Surface,4,Image 1,1,52,
37.4176,,Surface,4,Image 1,1,53,
36.7678,,Surface,4,Image 1,1,54,
38.4643,,Surface,4,Image 1,1,55,
31.9951,,Surface,4,Image 1,1,56,
40.7046,,Surface,4,Image 1,1,58,
38.1572,,Surface,4,Image 1,1,59,
36.1013,,Surface,4,Image 1,1,60,
34.7092,,Surface,4,Image 1,1,61,
33.5545,,Surface,4,Image 1,1,65,
