
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
79.3937,,Surface,4,Image 1,1,0,
71.9301,,Surface,4,Image 1,1,1,
51.3925,,Surface,4,Image 1,1,2,
72.9569,,Surface,4,Image 1,1,3,
33.1915,,Surface,4,Image 1,1,4,
51.0667,,Surface,4,Image 1,1,5,
64.6837,,Surface,4,Image 1,1,6,
69.496,,Surface,4,Image 1,1,7,
91.1692,,Surface,4,Image 1,1,8,
64.7761,,Surface,4,Image 1,1,9,
47.8361,,Surface,4,Image 1,1,10,
59.0524,,Surface,4,Image 1,1,11,
58.9595,,Surface,4,Image 1,1,12,
46.3387,,Surface,4,Image 1,1,13,
48.5354,,Surface,4,Image 1,1,14,
41.4188,,Surface,4,Image 1,1,15,
65.7099,,Surface,4,Image 1,1,16,
51.4045,,Surface,4,Image 1,1,17,
47.1435,,Surface,4,Image 1,1,18,
78.5972,,Surface,4,Image 1,1,19,
92.2063,,Surface,4,Image 1,1,20,
48.5149,,Surface,4,Image 1,1,21,
59.4477,,Surface,4,Image 1,1,22,
65.3685,,Surface,4,Image 1,1,23,
55.8582,,Surface,4,Image 1,1,24,
74.152,,Surface,4,Image 1,1,25,
75.0188,,Surface,4,Image 1,1,26,
69.052,,Surface,4,Image 1,1,27,
89.6343,,Surface,4,Image 1,1,28,
92.9718,,Surface,4,Image 1,1,29,
34.5944,,Surface,4,Image 1,1,30,
32.6453,,Surface,4,Image 1,1,31,
16,,Surface,4,Image 1,1,32,
44.125,,Surface,4,Image 1,1,33,
34.8881,,Surface,4,Image 1,1,34,
40.4335,,Surface,4,Image 1,1,35,
34.0997,,Surface,4,Image 1,1,36,
36.0749,,Surface,4,Image 1,1,37,
37.6078,,Surface,4,Image 1,1,38,
40.4997,,Surface,4,Image 1,1,39,
35.8721,,Surface,4,Image 1,1,40,
59.5245,,Surface,4,Image 1,1,41,
81.1917,,Surface,4,Image 1,1,42,
51.3955,,Surface,4,Image 1,1,43,
63.1953,,Surface,4,Image 1,1,44,
64.4291,,Surface,4,Image 1,1,45,
39.7764,,Surface,4,Image 1,1,46,
61.2375,,Surface,4,Image 1,1,47,
32.0721,,Surface,4,Image 1,1,48,
60.5817,,Surface,4,Image 1,1,49,
50.1627,,Surface,4,Image 1,1,50,
47.6298,,Surface,4,Image 1,1,51,
49.3309,,Surface,4,Image 1,1,52,
59.7303,,Surface,4,Image 1,1,53,
43.0348,,Surface,4,Image 1,1,54,
51.4117,,Surface,4,Image 1,1,55,
48.0885,,Surface,4,Image 1,1,56,
41.1673,,Surface,4,Image 1,1,57,
53.5872,,Surface,4,Image 1,1,58,
88.9542,,Surface,4,Image 1,1,59,
44.9365,,Surface,4,Image 1,1,60,
81.5374,,Surface,4,Image 1,1,61,
76.2184,,Surface,4,Image 1,1,62,
63.3047,,Surface,4,Image 1,1,63,
93.6143,,Surface,4,Image 1,1,64,
36.3646,,Surface,4,Image 1,1,65,
62.1339,,Surface,4,Image 1,1,66,
73.816,,Surface,4,Image 1,1,67,
80.5591,,Surface,4,Image 1,1,68,
63.7335,,Surface,4,Image 1,1,69,
32.5512,,Surface,4,Image 1,1,70,
33.2669,,Surface,4,Image 1,1,71,
32.4315,,Surface,4,Image 1,1,72,
31.9373,,Surface,4,Image 1,1,73,
117.28,,Surface,4,Image 1,1,74,
116.394,,Surface,4,Image 1,1,75,
82.5763,,Surface,4,Image 1,1,76,
50.8243,,Surface,4,Image 1,1,77,
87.1429,,Surface,4,Image 1,1,78,
35.796,,Surface,4,Image 1,1,79,
33.6324,,Surface,4,Image 1,1,80,
32.1619,,Surface,4,Image 1,1,81,
32.1105,,Surface,4,Image 1,1,82,
36.2642,,Surface,4,Image 1,1,83,
29.8075,,Surface,4,Image 1,1,84,
33.0638,,Surface,4,Image 1,1,85,
34.3346,,Surface,4,Image 1,1,86,
34.1152,,Surface,4,Image 1,1,87,
46.9986,,Surface,4,Image 1,1,88,
38.451,,Surface,4,Image 1,1,89,
44.795,,Surface,4,Image 1,1,90,
41.4057,,Surface,4,Image 1,1,91,
38.8399,,Surface,4,Image 1,1,92,
48.4199,,Surface,4,Image 1,1,93,
34.7293,,Surface,4,Image 1,1,94,
36.6522,,Surface,4,Image 1,1,95,
70.5542,,Surface,4,Image 1,1,96,
36.2948,,Surface,4,Image 1,1,97,
84.0089,,Surface,4,Image 1,1,98,
85.377,,Surface,4,Image 1,1,99,
101.019,,Surface,4,Image 1,1,100,
81.3379,,Surface,4,Image 1,1,101,
95.3995,,Surface,4,Image 1,1,102,
83.4777,,Surface,4,Image 1,1,103,
55.307,,Surface,4,Image 1,1,104,
93.4809,,Surface,4,Image 1,1,105,
80.6826,,Surface,4,Image 1,1,106,
66.4036,,Surface,4,Image 1,1,107,
77.0859,,Surface,4,Image 1,1,108,
40.1347,,Surface,4,Image 1,1,109,
52.3051,,Surface,4,Image 1,1,110,
48.6952,,Surface,4,Image 1,1,111,
39.7994,,Surface,4,Image 1,1,112,
52.4976,,Surface,4,Image 1,1,113,
50.4304,,Surface,4,Image 1,1,114,
