
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
114.437,,Surface,5,Image 1,1,0,
72.7858,,Surface,5,Image 1,1,1,
145.098,,Surface,5,Image 1,1,2,
105.085,,Surface,5,Image 1,1,3,
160.477,,Surface,5,Image 1,1,4,
126.134,,Surface,5,Image 1,1,5,
139.756,,Surface,5,Image 1,1,6,
110.809,,Surface,5,Image 1,1,7,
110.824,,Surface,5,Image 1,1,8,
99.9754,,Surface,5,Image 1,1,9,
118.517,,Surface,5,Image 1,1,10,
104.263,,Surface,5,Image 1,1,11,
115.039,,Surface,5,Image 1,1,12,
162.754,,Surface,5,Image 1,1,13,
118.677,,Surface,5,Image 1,1,14,
135.874,,Surface,5,Image 1,1,15,
114.266,,Surface,5,Image 1,1,16,
156.11,,Surface,5,Image 1,1,17,
126.038,,Surface,5,Image 1,1,18,
88.9121,,Surface,5,Image 1,1,19,
96.8544,,Surface,5,Image 1,1,20,
132.199,,Surface,5,Image 1,1,21,
120.839,,Surface,5,Image 1,1,22,
124.799,,Surface,5,Image 1,1,23,
130.759,,Surface,5,Image 1,1,24,
139.187,,Surface,5,Image 1,1,25,
118.184,,Surface,5,Image 1,1,26,
182.798,,Surface,5,Image 1,1,27,
121.283,,Surface,5,Image 1,1,28,
122.924,,Surface,5,Image 1,1,29,
117.417,,Surface,5,Image 1,1,30,
99.144,,Surface,5,Image 1,1,31,
122.646,,Surface,5,Image 1,1,32,
123.001,,Surface,5,Image 1,1,33,
162.229,,Surface,5,Image 1,1,34,
128.412,,Surface,5,Image 1,1,35,
152.822,,Surface,5,Image 1,1,36,
139.027,,Surface,5,Image 1,1,37,
133.365,,Surface,5,Image 1,1,38,
76.5708,,Surface,5,Image 1,1,39,
150.703,,Surface,5,Image 1,1,40,
121.69,,Surface,5,Image 1,1,41,
95.6996,,Surface,5,Image 1,1,42,
125.515,,Surface,5,Image 1,1,43,
104.476,,Surface,5,Image 1,1,44,
70.0501,,Surface,5,Image 1,1,45,
132.944,,Surface,5,Image 1,1,46,
125.623,,Surface,5,Image 1,1,47,
135.723,,Surface,5,Image 1,1,48,
173.618,,Surface,5,Image 1,1,49,
133.442,,Surface,5,Image 1,1,50,
132.052,,Surface,5,Image 1,1,51,
146.402,,Surface,5,Image 1,1,52,
108.242,,Surface,5,Image 1,1,53,
130.349,,Surface,5,Image 1,1,54,
126.381,,Surface,5,Image 1,1,55,
168.544,,Surface,5,Image 1,1,56,
153.348,,Surface,5,Image 1,1,57,
154.978,,Surface,5,Image 1,1,58,
126.884,,Surface,5,Image 1,1,59,
146.222,,Surface,5,Image 1,1,60,
164.31,,Surface,5,Image 1,1,61,
218.573,,Surface,5,Image 1,1,62,
150.743,,Surface,5,Image 1,1,63,
215.63,,Surface,5,Image 1,1,64,
161.958,,Surface,5,Image 1,1,65,
181.313,,Surface,5,Image 1,1,66,
153.361,,Surface,5,Image 1,1,67,
161.747,,Surface,5,Image 1,1,68,
163.292,,Surface,5,Image 1,1,69,
180.919,,Surface,5,Image 1,1,70,
155.952,,Surface,5,Image 1,1,71,
150.113,,Surface,5,Image 1,1,72,
152.167,,Surface,5,Image 1,1,73,
136.753,,Surface,5,Image 1,1,74,
175.501,,Surface,5,Image 1,1,75,
115.173,,Surface,5,Image 1,1,76,
149.766,,Surface,5,Image 1,1,77,
134.632,,Surface,5,Image 1,1,78,
82.7928,,Surface,5,Image 1,1,79,
163.06,,Surface,5,Image 1,1,80,
116.576,,Surface,5,Image 1,1,81,
167.503,,Surface,5,Image 1,1,82,
164.618,,Surface,5,Image 1,1,83,
110.551,,Surface,5,Image 1,1,84,
155.902,,Surface,5,Image 1,1,85,
164.088,,Surface,5,Image 1,1,86,
141.924,,Surface,5,Image 1,1,87,
167.691,,Surface,5,Image 1,1,88,
143.851,,Surface,5,Image 1,1,89,
177.651,,Surface,5,Image 1,1,90,
153.266,,Surface,5,Image 1,1,91,
203.239,,Surface,5,Image 1,1,92,
164.492,,Surface,5,Image 1,1,93,
134.108,,Surface,5,Image 1,1,94,
92.9332,,Surface,5,Image 1,1,95,
140.275,,Surface,5,Image 1,1,96,
167.64,,Surface,5,Image 1,1,97,
151.952,,Surface,5,Image 1,1,98,
117.773,,Surface,5,Image 1,1,99,
189.142,,Surface,5,Image 1,1,100,
165.403,,Surface,5,Image 1,1,101,
154.763,,Surface,5,Image 1,1,102,
161.27,,Surface,5,Image 1,1,103,
171.521,,Surface,5,Image 1,1,104,
177.195,,Surface,5,Image 1,1,105,
220.936,,Surface,5,Image 1,1,106,
151.141,,Surface,5,Image 1,1,107,
170.999,,Surface,5,Image 1,1,108,
163.71,,Surface,5,Image 1,1,109,
115.173,,Surface,5,Image 1,1,110,
