
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
70.2285,,Surface,3,Image 1,1,0,
59.1011,,Surface,3,Image 1,1,1,
57.327,,Surface,3,Image 1,1,2,
59.8833,,Surface,3,Image 1,1,3,
77.6207,,Surface,3,Image 1,1,4,
102.604,,Surface,3,Image 1,1,5,
72.4748,,Surface,3,Image 1,1,6,
97.5422,,Surface,3,Image 1,1,7,
60.5536,,Surface,3,Image 1,1,8,
72.3453,,Surface,3,Image 1,1,9,
85.705,,Surface,3,Image 1,1,10,
83.5501,,Surface,3,Image 1,1,12,
57.2443,,Surface,3,Image 1,1,13,
124.657,,Surface,3,Image 1,1,14,
76.5304,,Surface,3,Image 1,1,15,
114.509,,Surface,3,Image 1,1,16,
96.6522,,Surface,3,Image 1,1,17,
63.5938,,Surface,3,Image 1,1,18,
57.6089,,Surface,3,Image 1,1,19,
69.3176,,Surface,3,Image 1,1,20,
76.8171,,Surface,3,Image 1,1,21,
65.4834,,Surface,3,Image 1,1,22,
62.3108,,Surface,3,Image 1,1,23,
120.156,,Surface,3,Image 1,1,26,
130.201,,Surface,3,Image 1,1,28,
70.4453,,Surface,3,Image 1,1,29,
97.7683,,Surface,3,Image 1,1,30,
128.028,,Surface,3,Image 1,1,31,
73.7229,,Surface,3,Image 1,1,32,
87.9395,,Surface,3,Image 1,1,33,
103.231,,Surface,3,Image 1,1,34,
72.0758,,Surface,3,Image 1,1,35,
144.449,,Surface,3,Image 1,1,37,
65.154,,Surface,3,Image 1,1,38,
57.1783,,Surface,3,Image 1,1,39,
69.473,,Surface,3,Image 1,1,40,
58.5275,,Surface,3,Image 1,1,41,
67.5532,,Surface,3,Image 1,1,42,
96.7461,,Surface,3,Image 1,1,43,
111.779,,Surface,3,Image 1,1,44,
107.835,,Surface,3,Image 1,1,45,
111.413,,Surface,3,Image 1,1,46,
109.245,,Surface,3,Image 1,1,47,
138.505,,Surface,3,Image 1,1,48,
66.9726,,Surface,3,Image 1,1,49,
121.587,,Surface,3,Image 1,1,51,
75.7201,,Surface,3,Image 1,1,52,
87.7195,,Surface,3,Image 1,1,53,
56.9499,,Surface,3,Image 1,1,55,
60.2586,,Surface,3,Image 1,1,56,
108.678,,Surface,3,Image 1,1,57,
141.335,,Surface,3,Image 1,1,58,
111.434,,Surface,3,Image 1,1,59,
112.363,,Surface,3,Image 1,1,60,
58.6553,,Surface,3,Image 1,1,61,
63.4216,,Surface,3,Image 1,1,62,
102.921,,Surface,3,Image 1,1,63,
97.5,,Surface,3,Image 1,1,65,
97.48,,Surface,3,Image 1,1,66,
105.157,,Surface,3,Image 1,1,69,
80.1047,,Surface,3,Image 1,1,70,
12,,Surface,3,Image 1,1,71,
14,,Surface,3,Image 1,1,72,
85.0381,,Surface,3,Image 1,1,73,
78.9377,,Surface,3,Image 1,1,74,
128,,Surface,3,Image 1,1,75,
86.6442,,Surface,3,Image 1,1,76,
53,,Surface,3,Image 1,1,77,
133.88,,Surface,3,Image 1,1,78,
24,,Surface,3,Image 1,1,79,
110.247,,Surface,3,Image 1,1,80,
107,,Surface,3,Image 1,1,81,
97,,Surface,3,Image 1,1,82,
6,,Surface,3,Image 1,1,83,
121.667,,Surface,3,Image 1,1,84,
81,,Surface,3,Image 1,1,85,
113,,Surface,3,Image 1,1,86,
217,,Surface,3,Image 1,1,87,
132.25,,Surface,3,Image 1,1,88,
112.663,,Surface,3,Image 1,1,90,
54,,Surface,3,Image 1,1,92,
33.3889,,Surface,3,Image 1,1,93,
80.5493,,Surface,3,Image 1,1,94,
167,,Surface,3,Image 1,1,95,
67,,Surface,3,Image 1,1,96,
18.3333,,Surface,3,Image 1,1,97,
58,,Surface,3,Image 1,1,98,
56,,Surface,3,Image 1,1,99,
67.0265,,Surface,3,Image 1,1,103,
11,,Surface,3,Image 1,1,105,
