
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
522.827,,Surface,2,Image 1,1,0,
192.313,,Surface,2,Image 1,1,1,
557.199,,Surface,2,Image 1,1,2,
270.824,,Surface,2,Image 1,1,3,
651.396,,Surface,2,Image 1,1,4,
199.544,,Surface,2,Image 1,1,5,
241.424,,Surface,2,Image 1,1,6,
412.4,,Surface,2,Image 1,1,7,
558.349,,Surface,2,Image 1,1,8,
706.431,,Surface,2,Image 1,1,9,
178.297,,Surface,2,Image 1,1,10,
288.915,,Surface,2,Image 1,1,11,
244.902,,Surface,2,Image 1,1,12,
450.884,,Surface,2,Image 1,1,13,
527.339,,Surface,2,Image 1,1,14,
550.885,,Surface,2,Image 1,1,15,
177.352,,Surface,2,Image 1,1,16,
185.885,,Surface,2,Image 1,1,17,
275.958,,Surface,2,Image 1,1,18,
396.688,,Surface,2,Image 1,1,20,
477.814,,Surface,2,Image 1,1,21,
208.68,,Surface,2,Image 1,1,22,
329.958,,Surface,2,Image 1,1,23,
221.084,,Surface,2,Image 1,1,24,
176.858,,Surface,2,Image 1,1,25,
211.94,,Surface,2,Image 1,1,26,
176.586,,Surface,2,Image 1,1,27,
200.791,,Surface,2,Image 1,1,28,
236.822,,Surface,2,Image 1,1,29,
330.303,,Surface,2,Image 1,1,30,
225.702,,Surface,2,Image 1,1,31,
297.262,,Surface,2,Image 1,1,32,
361.869,,Surface,2,Image 1,1,33,
513.209,,Surface,2,Image 1,1,36,
181.721,,Surface,2,Image 1,1,37,
232.803,,Surface,2,Image 1,1,38,
265.684,,Surface,2,Image 1,1,40,
466.028,,Surface,2,Image 1,1,41,
278.737,,Surface,2,Image 1,1,42,
407.331,,Surface,2,Image 1,1,43,
558.232,,Surface,2,Image 1,1,44,
285.54,,Surface,2,Image 1,1,45,
184.057,,Surface,2,Image 1,1,46,
512.516,,Surface,2,Image 1,1,47,
358.728,,Surface,2,Image 1,1,48,
269.201,,Surface,2,Image 1,1,49,
302.645,,Surface,2,Image 1,1,50,
189.604,,Surface,2,Image 1,1,51,
214.999,,Surface,2,Image 1,1,52,
177.914,,Surface,2,Image 1,1,53,
337.586,,Surface,2,Image 1,1,54,
193.107,,Surface,2,Image 1,1,55,
175.691,,Surface,2,Image 1,1,56,
201.742,,Surface,2,Image 1,1,57,
252.57,,Surface,2,Image 1,1,58,
185.156,,Surface,2,Image 1,1,59,
684.072,,Surface,2,Image 1,1,60,
584,,Surface,2,Image 1,1,61,
584,,Surface,2,Image 1,1,62,
977.667,,Surface,2,Image 1,1,64,
833.667,,Surface,2,Image 1,1,65,
641.221,,Surface,2,Image 1,1,68,
1118.11,,Surface,2,Image 1,1,69,
446,,Surface,2,Image 1,1,71,
594,,Surface,2,Image 1,1,72,
320.796,,Surface,2,Image 1,1,73,
306.332,,Surface,2,Image 1,1,74,
295.983,,Surface,2,Image 1,1,77,
330.549,,Surface,2,Image 1,1,78,
238,,Surface,2,Image 1,1,79,
294.974,,Surface,2,Image 1,1,80,
387,,Surface,2,Image 1,1,81,
245.141,,Surface,2,Image 1,1,82,
223,,Surface,2,Image 1,1,83,
150.816,,Surface,2,Image 1,1,84,
