
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
238.716,,Surface,2,Image 1,1,0,
178.265,,Surface,2,Image 1,1,1,
165.704,,Surface,2,Image 1,1,2,
203.42,,Surface,2,Image 1,1,4,
203.327,,Surface,2,Image 1,1,5,
169.554,,Surface,2,Image 1,1,6,
171.042,,Surface,2,Image 1,1,7,
179.93,,Surface,2,Image 1,1,8,
154.457,,Surface,2,Image 1,1,10,
167.406,,Surface,2,Image 1,1,12,
169.799,,Surface,2,Image 1,1,13,
197.401,,Surface,2,Image 1,1,14,
184.397,,Surface,2,Image 1,1,15,
297.709,,Surface,2,Image 1,1,16,
175.38,,Surface,2,Image 1,1,18,
296.612,,Surface,2,Image 1,1,19,
451.98,,Surface,2,Image 1,1,20,
248.479,,Surface,2,Image 1,1,21,
366.082,,Surface,2,Image 1,1,22,
295.104,,Surface,2,Image 1,1,23,
340.297,,Surface,2,Image 1,1,24,
165.488,,Surface,2,Image 1,1,26,
268.558,,Surface,2,Image 1,1,27,
300.013,,Surface,2,Image 1,1,28,
252.903,,Surface,2,Image 1,1,29,
260.051,,Surface,2,Image 1,1,30,
171.011,,Surface,2,Image 1,1,31,
205.099,,Surface,2,Image 1,1,32,
266.73,,Surface,2,Image 1,1,33,
186.518,,Surface,2,Image 1,1,34,
222.981,,Surface,2,Image 1,1,36,
222.531,,Surface,2,Image 1,1,37,
201.194,,Surface,2,Image 1,1,38,
185.41,,Surface,2,Image 1,1,39,
158.739,,Surface,2,Image 1,1,40,
215.819,,Surface,2,Image 1,1,41,
161.297,,Surface,2,Image 1,1,43,
275.254,,Surface,2,Image 1,1,44,
205.892,,Surface,2,Image 1,1,46,
174.159,,Surface,2,Image 1,1,48,
262.76,,Surface,2,Image 1,1,49,
307.874,,Surface,2,Image 1,1,50,
210.944,,Surface,2,Image 1,1,51,
388.948,,Surface,2,Image 1,1,52,
308.849,,Surface,2,Image 1,1,53,
248.546,,Surface,2,Image 1,1,54,
315.507,,Surface,2,Image 1,1,55,
150.18,,Surface,2,Image 1,1,56,
391.368,,Surface,2,Image 1,1,57,
359.969,,Surface,2,Image 1,1,58,
358.504,,Surface,2,Image 1,1,59,
188.001,,Surface,2,Image 1,1,60,
234.519,,Surface,2,Image 1,1,62,
161.122,,Surface,2,Image 1,1,63,
220.214,,Surface,2,Image 1,1,64,
206.729,,Surface,2,Image 1,1,65,
187.665,,Surface,2,Image 1,1,66,
192.066,,Surface,2,Image 1,1,67,
237.617,,Surface,2,Image 1,1,68,
206.825,,Surface,2,Image 1,1,70,
169.517,,Surface,2,Image 1,1,71,
342.646,,Surface,2,Image 1,1,72,
342.877,,Surface,2,Image 1,1,73,
220.141,,Surface,2,Image 1,1,74,
172,,Surface,2,Image 1,1,76,
529,,Surface,2,Image 1,1,77,
136,,Surface,2,Image 1,1,78,
130.44,,Surface,2,Image 1,1,79,
254,,Surface,2,Image 1,1,80,
250,,Surface,2,Image 1,1,81,
184.388,,Surface,2,Image 1,1,82,
152.534,,Surface,2,Image 1,1,87,
159.624,,Surface,2,Image 1,1,88,
186.709,,Surface,2,Image 1,1,91,
182,,Surface,2,Image 1,1,92,
210.582,,Surface,2,Image 1,1,93,
213,,Surface,2,Image 1,1,95,
506,,Surface,2,Image 1,1,96,
200.382,,Surface,2,Image 1,1,97,
174,,Surface,2,Image 1,1,98,
98,,Surface,2,Image 1,1,99,
238,,Surface,2,Image 1,1,100,
157.115,,Surface,2,Image 1,1,101,
303,,Surface,2,Image 1,1,103,
181,,Surface,2,Image 1,1,104,
196,,Surface,2,Image 1,1,105,
205,,Surface,2,Image 1,1,106,
273,,Surface,2,Image 1,1,109,
191.789,,Surface,2,Image 1,1,113,
204.067,,Surface,2,Image 1,1,114,
146.4,,Surface,2,Image 1,1,115,
204.67,,Surface,2,Image 1,1,116,
192.179,,Surface,2,Image 1,1,117,
156,,Surface,2,Image 1,1,119,
221.5,,Surface,2,Image 1,1,120,
133.367,,Surface,2,Image 1,1,121,
125,,Surface,2,Image 1,1,122,
163.254,,Surface,2,Image 1,1,123,
288.094,,Surface,2,Image 1,1,127,
198.823,,Surface,2,Image 1,1,128,
326.149,,Surface,2,Image 1,1,129,
247.572,,Surface,2,Image 1,1,130,
189,,Surface,2,Image 1,1,132,
65,,Surface,2,Image 1,1,133,
242.557,,Surface,2,Image 1,1,134,
193.732,,Surface,2,Image 1,1,135,
389,,Surface,2,Image 1,1,142,
254.605,,Surface,2,Image 1,1,143,
380,,Surface,2,Image 1,1,144,
458,,Surface,2,Image 1,1,145,
460,,Surface,2,Image 1,1,146,
317,,Surface,2,Image 1,1,147,
508,,Surface,2,Image 1,1,148,
388,,Surface,2,Image 1,1,149,
325.502,,Surface,2,Image 1,1,150,
