
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
122.77,,Surface,4,Image 1,1,0,
136.83,,Surface,4,Image 1,1,1,
114.209,,Surface,4,Image 1,1,2,
142.879,,Surface,4,Image 1,1,3,
121.058,,Surface,4,Image 1,1,4,
109.569,,Surface,4,Image 1,1,5,
140.26,,Surface,4,Image 1,1,6,
150.392,,Surface,4,Image 1,1,7,
116.549,,Surface,4,Image 1,1,8,
112.732,,Surface,4,Image 1,1,9,
162.1,,Surface,4,Image 1,1,10,
128.604,,Surface,4,Image 1,1,11,
141.802,,Surface,4,Image 1,1,12,
119.555,,Surface,4,Image 1,1,13,
127.367,,Surface,4,Image 1,1,14,
121.571,,Surface,4,Image 1,1,15,
168.651,,Surface,4,Image 1,1,16,
171.512,,Surface,4,Image 1,1,17,
121.874,,Surface,4,Image 1,1,18,
151.703,,Surface,4,Image 1,1,19,
167,,Surface,4,Image 1,1,20,
145.273,,Surface,4,Image 1,1,21,
150.456,,Surface,4,Image 1,1,22,
147.361,,Surface,4,Image 1,1,23,
132.459,,Surface,4,Image 1,1,24,
136.93,,Surface,4,Image 1,1,25,
115.395,,Surface,4,Image 1,1,26,
155.402,,Surface,4,Image 1,1,27,
147.717,,Surface,4,Image 1,1,28,
134.237,,Surface,4,Image 1,1,29,
133.925,,Surface,4,Image 1,1,30,
164.806,,Surface,4,Image 1,1,31,
149.66,,Surface,4,Image 1,1,32,
118.468,,Surface,4,Image 1,1,33,
143.865,,Surface,4,Image 1,1,34,
150.23,,Surface,4,Image 1,1,35,
129.501,,Surface,4,Image 1,1,36,
125.095,,Surface,4,Image 1,1,37,
109.396,,Surface,4,Image 1,1,38,
128.195,,Surface,4,Image 1,1,39,
103.643,,Surface,4,Image 1,1,40,
112.363,,Surface,4,Image 1,1,41,
109.692,,Surface,4,Image 1,1,42,
113.887,,Surface,4,Image 1,1,43,
119.188,,Surface,4,Image 1,1,44,
103.512,,Surface,4,Image 1,1,45,
113.945,,Surface,4,Image 1,1,46,
114.334,,Surface,4,Image 1,1,47,
106.028,,Surface,4,Image 1,1,48,
125.37,,Surface,4,Image 1,1,49,
154.59,,Surface,4,Image 1,1,50,
105.285,,Surface,4,Image 1,1,51,
110.207,,Surface,4,Image 1,1,52,
136.965,,Surface,4,Image 1,1,53,
135.896,,Surface,4,Image 1,1,54,
132.142,,Surface,4,Image 1,1,55,
121.492,,Surface,4,Image 1,1,56,
118.33,,Surface,4,Image 1,1,57,
119.632,,Surface,4,Image 1,1,58,
113.705,,Surface,4,Image 1,1,59,
116.54,,Surface,4,Image 1,1,60,
117.192,,Surface,4,Image 1,1,61,
141.528,,Surface,4,Image 1,1,62,
137.404,,Surface,4,Image 1,1,63,
102.531,,Surface,4,Image 1,1,64,
126.558,,Surface,4,Image 1,1,65,
120.286,,Surface,4,Image 1,1,67,
116.287,,Surface,4,Image 1,1,68,
129.976,,Surface,4,Image 1,1,69,
115.967,,Surface,4,Image 1,1,70,
136.694,,Surface,4,Image 1,1,71,
149.603,,Surface,4,Image 1,1,72,
131.647,,Surface,4,Image 1,1,73,
115.923,,Surface,4,Image 1,1,74,
145.85,,Surface,4,Image 1,1,75,
140.308,,Surface,4,Image 1,1,76,
132.748,,Surface,4,Image 1,1,77,
112.755,,Surface,4,Image 1,1,78,
120.413,,Surface,4,Image 1,1,79,
160.153,,Surface,4,Image 1,1,80,
158.698,,Surface,4,Image 1,1,81,
116.869,,Surface,4,Image 1,1,82,
121.862,,Surface,4,Image 1,1,83,
106.149,,Surface,4,Image 1,1,84,
103.459,,Surface,4,Image 1,1,85,
111.67,,Surface,4,Image 1,1,86,
109.521,,Surface,4,Image 1,1,87,
127.094,,Surface,4,Image 1,1,88,
151.324,,Surface,4,Image 1,1,89,
129.197,,Surface,4,Image 1,1,90,
105.045,,Surface,4,Image 1,1,91,
102.477,,Surface,4,Image 1,1,92,
115.162,,Surface,4,Image 1,1,93,
111.972,,Surface,4,Image 1,1,94,
87,,Surface,4,Image 1,1,95,
86,,Surface,4,Image 1,1,96,
92,,Surface,4,Image 1,1,97,
49,,Surface,4,Image 1,1,98,
88,,Surface,4,Image 1,1,99,
103,,Surface,4,Image 1,1,100,
108.125,,Surface,4,Image 1,1,101,
112,,Surface,4,Image 1,1,102,
96,,Surface,4,Image 1,1,103,
128.117,,Surface,4,Image 1,1,104,
85,,Surface,4,Image 1,1,105,
