
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
64.2495,,Surface,5,Image 1,1,0,
70.4516,,Surface,5,Image 1,1,1,
124.366,,Surface,5,Image 1,1,2,
104.195,,Surface,5,Image 1,1,3,
143.132,,Surface,5,Image 1,1,4,
130.521,,Surface,5,Image 1,1,5,
63.2904,,Surface,5,Image 1,1,6,
138.745,,Surface,5,Image 1,1,7,
123.113,,Surface,5,Image 1,1,8,
69.3284,,Surface,5,Image 1,1,9,
94.5269,,Surface,5,Image 1,1,10,
74.6834,,Surface,5,Image 1,1,11,
108.34,,Surface,5,Image 1,1,12,
106.607,,Surface,5,Image 1,1,13,
93.5485,,Surface,5,Image 1,1,14,
96.0929,,Surface,5,Image 1,1,15,
139.635,,Surface,5,Image 1,1,16,
117.684,,Surface,5,Image 1,1,17,
112.651,,Surface,5,Image 1,1,18,
115.609,,Surface,5,Image 1,1,19,
119,,Surface,5,Image 1,1,20,
65.2806,,Surface,5,Image 1,1,21,
74.1272,,Surface,5,Image 1,1,22,
65.7964,,Surface,5,Image 1,1,23,
75.6461,,Surface,5,Image 1,1,24,
81.4984,,Surface,5,Image 1,1,25,
80.7067,,Surface,5,Image 1,1,26,
91.443,,Surface,5,Image 1,1,27,
102.393,,Surface,5,Image 1,1,28,
120.647,,Surface,5,Image 1,1,29,
102.459,,Surface,5,Image 1,1,30,
72.5153,,Surface,5,Image 1,1,31,
77.356,,Surface,5,Image 1,1,32,
88.9935,,Surface,5,Image 1,1,33,
72.5007,,Surface,5,Image 1,1,34,
82.7944,,Surface,5,Image 1,1,35,
80.0837,,Surface,5,Image 1,1,36,
142.473,,Surface,5,Image 1,1,37,
103.564,,Surface,5,Image 1,1,38,
68.9424,,Surface,5,Image 1,1,39,
79.8842,,Surface,5,Image 1,1,40,
100.748,,Surface,5,Image 1,1,41,
89.4374,,Surface,5,Image 1,1,42,
125.542,,Surface,5,Image 1,1,43,
125.667,,Surface,5,Image 1,1,44,
116.844,,Surface,5,Image 1,1,45,
154.093,,Surface,5,Image 1,1,46,
98.9795,,Surface,5,Image 1,1,47,
114.055,,Surface,5,Image 1,1,48,
120.964,,Surface,5,Image 1,1,49,
113.506,,Surface,5,Image 1,1,50,
100.507,,Surface,5,Image 1,1,51,
104.254,,Surface,5,Image 1,1,52,
111.942,,Surface,5,Image 1,1,53,
93.8145,,Surface,5,Image 1,1,54,
131.608,,Surface,5,Image 1,1,55,
99.1832,,Surface,5,Image 1,1,56,
100.955,,Surface,5,Image 1,1,57,
119.02,,Surface,5,Image 1,1,58,
132.949,,Surface,5,Image 1,1,59,
135.953,,Surface,5,Image 1,1,60,
110.661,,Surface,5,Image 1,1,61,
96.5119,,Surface,5,Image 1,1,62,
101.756,,Surface,5,Image 1,1,63,
148.494,,Surface,5,Image 1,1,64,
63.653,,Surface,5,Image 1,1,65,
82.6042,,Surface,5,Image 1,1,67,
64.4129,,Surface,5,Image 1,1,68,
91.8006,,Surface,5,Image 1,1,69,
78.5312,,Surface,5,Image 1,1,70,
96.0399,,Surface,5,Image 1,1,71,
114.617,,Surface,5,Image 1,1,72,
92.8496,,Surface,5,Image 1,1,73,
120.87,,Surface,5,Image 1,1,74,
131.832,,Surface,5,Image 1,1,75,
63.062,,Surface,5,Image 1,1,76,
66.8606,,Surface,5,Image 1,1,77,
84.0116,,Surface,5,Image 1,1,78,
69.8711,,Surface,5,Image 1,1,79,
73.9978,,Surface,5,Image 1,1,80,
93.48,,Surface,5,Image 1,1,81,
71.1137,,Surface,5,Image 1,1,82,
78.1634,,Surface,5,Image 1,1,83,
98.3446,,Surface,5,Image 1,1,84,
102.732,,Surface,5,Image 1,1,85,
104.437,,Surface,5,Image 1,1,86,
91.9204,,Surface,5,Image 1,1,87,
79.4037,,Surface,5,Image 1,1,88,
76.7286,,Surface,5,Image 1,1,89,
64.9165,,Surface,5,Image 1,1,90,
99.4358,,Surface,5,Image 1,1,91,
71.7403,,Surface,5,Image 1,1,92,
103.66,,Surface,5,Image 1,1,93,
65.381,,Surface,5,Image 1,1,94,
29.6667,,Surface,5,Image 1,1,95,
45,,Surface,5,Image 1,1,96,
50,,Surface,5,Image 1,1,97,
21,,Surface,5,Image 1,1,98,
68,,Surface,5,Image 1,1,99,
63,,Surface,5,Image 1,1,100,
118.5,,Surface,5,Image 1,1,101,
156,,Surface,5,Image 1,1,102,
72,,Surface,5,Image 1,1,103,
73.5219,,Surface,5,Image 1,1,104,
92,,Surface,5,Image 1,1,105,
