Detailed,,,,,,,
,,,,,,,
 ==================== ,,,,,,,
Intensity Max,Unit,Category,Channel,Image,Time,ID,bg
76,,Surface,3,Image 1,1,0,69.5
176,,Surface,3,Image 1,1,1,69.5
111,,Surface,3,Image 1,1,2,69.5
87,,Surface,3,Image 1,1,3,69.5
70,,Surface,3,Image 1,1,4,69.5
97,,Surface,3,Image 1,1,5,69.5
110,,Surface,3,Image 1,1,6,69.5
103,,Surface,3,Image 1,1,7,69.5
148,,Surface,3,Image 1,1,8,69.5
91,,Surface,3,Image 1,1,9,69.5
180,,Surface,3,Image 1,1,10,69.5
205,,Surface,3,Image 1,1,11,69.5
76,,Surface,3,Image 1,1,12,69.5
108,,Surface,3,Image 1,1,13,69.5
181,,Surface,3,Image 1,1,14,69.5
72,,Surface,3,Image 1,1,15,69.5
74,,Surface,3,Image 1,1,16,69.5
82,,Surface,3,Image 1,1,17,69.5
133,,Surface,3,Image 1,1,18,69.5
93,,Surface,3,Image 1,1,19,69.5
120,,Surface,3,Image 1,1,20,69.5
83,,Surface,3,Image 1,1,21,69.5
133,,Surface,3,Image 1,1,22,69.5
106,,Surface,3,Image 1,1,23,69.5
91,,Surface,3,Image 1,1,24,69.5
97,,Surface,3,Image 1,1,25,69.5
153,,Surface,3,Image 1,1,26,69.5
103,,Surface,3,Image 1,1,27,69.5
168,,Surface,3,Image 1,1,28,69.5
101,,Surface,3,Image 1,1,29,69.5
75,,Surface,3,Image 1,1,30,69.5
182,,Surface,3,Image 1,1,31,69.5
90,,Surface,3,Image 1,1,32,69.5
142,,Surface,3,Image 1,1,33,69.5
118,,Surface,3,Image 1,1,34,69.5
134,,Surface,3,Image 1,1,35,69.5
83,,Surface,3,Image 1,1,36,69.5
164,,Surface,3,Image 1,1,37,69.5
100,,Surface,3,Image 1,1,38,69.5
102,,Surface,3,Image 1,1,39,69.5
109,,Surface,3,Image 1,1,40,69.5
184,,Surface,3,Image 1,1,41,69.5
121,,Surface,3,Image 1,1,42,69.5
94,,Surface,3,Image 1,1,43,69.5
82,,Surface,3,Image 1,1,44,69.5
108,,Surface,3,Image 1,1,45,69.5
185,,Surface,3,Image 1,1,46,69.5
132,,Surface,3,Image 1,1,47,69.5
74,,Surface,3,Image 1,1,48,69.5
100,,Surface,3,Image 1,1,49,69.5
85,,Surface,3,Image 1,1,50,69.5
77,,Surface,3,Image 1,1,51,69.5
94,,Surface,3,Image 1,1,52,69.5
151,,Surface,3,Image 1,1,53,69.5
169,,Surface,3,Image 1,1,54,69.5
207,,Surface,3,Image 1,1,55,69.5
105,,Surface,3,Image 1,1,56,69.5
71,,Surface,3,Image 1,1,57,69.5
76,,Surface,3,Image 1,1,58,69.5
86,,Surface,3,Image 1,1,59,69.5
175,,Surface,3,Image 1,1,60,69.5
201,,Surface,3,Image 1,1,61,69.5
98,,Surface,3,Image 1,1,62,69.5
73,,Surface,3,Image 1,1,63,69.5
86,,Surface,3,Image 1,1,64,69.5
86,,Surface,3,Image 1,1,65,69.5
95,,Surface,3,Image 1,1,66,69.5
76,,Surface,3,Image 1,1,67,69.5
86,,Surface,3,Image 1,1,68,69.5
215,,Surface,3,Image 1,1,69,69.5
75,,Surface,3,Image 1,1,70,69.5
72,,Surface,3,Image 1,1,71,69.5
117,,Surface,3,Image 1,1,72,69.5
217,,Surface,3,Image 1,1,73,69.5
85,,Surface,3,Image 1,1,74,69.5
78,,Surface,3,Image 1,1,75,69.5
108,,Surface,3,Image 1,1,76,69.5
101,,Surface,3,Image 1,1,77,69.5
73,,Surface,3,Image 1,1,78,69.5
74,,Surface,3,Image 1,1,79,69.5
181,,Surface,3,Image 1,1,80,69.5
115,,Surface,3,Image 1,1,81,69.5
199,,Surface,3,Image 1,1,82,69.5
143,,Surface,3,Image 1,1,83,69.5
94,,Surface,3,Image 1,1,84,69.5
143,,Surface,3,Image 1,1,85,69.5
106,,Surface,3,Image 1,1,86,69.5
84,,Surface,3,Image 1,1,87,69.5
73,,Surface,3,Image 1,1,88,69.5
105,,Surface,3,Image 1,1,89,69.5
207,,Surface,3,Image 1,1,90,69.5
80,,Surface,3,Image 1,1,91,69.5
93,,Surface,3,Image 1,1,92,69.5
81,,Surface,3,Image 1,1,93,69.5
143,,Surface,3,Image 1,1,94,69.5
88,,Surface,3,Image 1,1,95,69.5
77,,Surface,3,Image 1,1,96,69.5
139,,Surface,3,Image 1,1,97,69.5
110,,Surface,3,Image 1,1,98,69.5
143,,Surface,3,Image 1,1,99,69.5
107,,Surface,3,Image 1,1,100,69.5
189,,Surface,3,Image 1,1,101,69.5
83,,Surface,3,Image 1,1,102,69.5
84,,Surface,3,Image 1,1,103,69.5
72,,Surface,3,Image 1,1,104,69.5
72,,Surface,3,Image 1,1,105,69.5
