Detailed,,,,,,,
,,,,,,,
 ==================== ,,,,,,,
Intensity Mean,Unit,Category,Channel,Image,Time,ID,bg
15.4985,,Surface,4,Image 1,1,0,12.8
22.5394,,Surface,4,Image 1,1,1,12.8
27.4939,,Surface,4,Image 1,1,2,12.8
13.552,,Surface,4,Image 1,1,3,12.8
14.5402,,Surface,4,Image 1,1,4,12.8
13.0082,,Surface,4,Image 1,1,5,12.8
14.8396,,Surface,4,Image 1,1,6,12.8
15.2106,,Surface,4,Image 1,1,7,12.8
13.6698,,Surface,4,Image 1,1,8,12.8
25.579,,Surface,4,Image 1,1,9,12.8
13.1474,,Surface,4,Image 1,1,10,12.8
16.5888,,Surface,4,Image 1,1,11,12.8
36.9011,,Surface,4,Image 1,1,12,12.8
34.2026,,Surface,4,Image 1,1,13,12.8
18.506,,Surface,4,Image 1,1,14,12.8
14.4851,,Surface,4,Image 1,1,15,12.8
33.161,,Surface,4,Image 1,1,16,12.8
29.1582,,Surface,4,Image 1,1,17,12.8
15.352,,Surface,4,Image 1,1,18,12.8
35.7605,,Surface,4,Image 1,1,19,12.8
25.0363,,Surface,4,Image 1,1,20,12.8
16.6562,,Surface,4,Image 1,1,21,12.8
21.3534,,Surface,4,Image 1,1,22,12.8
22.8587,,Surface,4,Image 1,1,23,12.8
13.8542,,Surface,4,Image 1,1,24,12.8
12.804,,Surface,4,Image 1,1,25,12.8
28.4084,,Surface,4,Image 1,1,26,12.8
32.6271,,Surface,4,Image 1,1,27,12.8
37.2138,,Surface,4,Image 1,1,28,12.8
46.4483,,Surface,4,Image 1,1,29,12.8
19.0241,,Surface,4,Image 1,1,30,12.8
35.7221,,Surface,4,Image 1,1,31,12.8
16.4622,,Surface,4,Image 1,1,32,12.8
18.1844,,Surface,4,Image 1,1,33,12.8
39.2734,,Surface,4,Image 1,1,34,12.8
24.3444,,Surface,4,Image 1,1,35,12.8
25.5391,,Surface,4,Image 1,1,36,12.8
17.9933,,Surface,4,Image 1,1,37,12.8
17.0084,,Surface,4,Image 1,1,38,12.8
33.3033,,Surface,4,Image 1,1,39,12.8
24.9761,,Surface,4,Image 1,1,40,12.8
33.8553,,Surface,4,Image 1,1,41,12.8
29.9637,,Surface,4,Image 1,1,42,12.8
33.6414,,Surface,4,Image 1,1,43,12.8
36.2006,,Surface,4,Image 1,1,44,12.8
18.9568,,Surface,4,Image 1,1,45,12.8
27.4302,,Surface,4,Image 1,1,46,12.8
34.5034,,Surface,4,Image 1,1,47,12.8
24.5333,,Surface,4,Image 1,1,48,12.8
20.4251,,Surface,4,Image 1,1,49,12.8
27.9069,,Surface,4,Image 1,1,50,12.8
27.6922,,Surface,4,Image 1,1,51,12.8
34.2427,,Surface,4,Image 1,1,52,12.8
28.5799,,Surface,4,Image 1,1,53,12.8
26.4669,,Surface,4,Image 1,1,54,12.8
27.4914,,Surface,4,Image 1,1,55,12.8
33.0558,,Surface,4,Image 1,1,56,12.8
28.6252,,Surface,4,Image 1,1,57,12.8
16.834,,Surface,4,Image 1,1,58,12.8
16.8897,,Surface,4,Image 1,1,59,12.8
27.9725,,Surface,4,Image 1,1,60,12.8
16.902,,Surface,4,Image 1,1,61,12.8
21.6759,,Surface,4,Image 1,1,62,12.8
20.2318,,Surface,4,Image 1,1,63,12.8
22.0049,,Surface,4,Image 1,1,64,12.8
31.9876,,Surface,4,Image 1,1,65,12.8
29.1231,,Surface,4,Image 1,1,66,12.8
25.5083,,Surface,4,Image 1,1,67,12.8
18.697,,Surface,4,Image 1,1,68,12.8
23.3888,,Surface,4,Image 1,1,69,12.8
16.6123,,Surface,4,Image 1,1,70,12.8
33.9921,,Surface,4,Image 1,1,71,12.8
21.5243,,Surface,4,Image 1,1,72,12.8
28.2988,,Surface,4,Image 1,1,73,12.8
22.9624,,Surface,4,Image 1,1,74,12.8
14.3523,,Surface,4,Image 1,1,75,12.8
27.7687,,Surface,4,Image 1,1,76,12.8
19.0985,,Surface,4,Image 1,1,77,12.8
38.7608,,Surface,4,Image 1,1,78,12.8
28.6393,,Surface,4,Image 1,1,79,12.8
35.7751,,Surface,4,Image 1,1,80,12.8
29.3235,,Surface,4,Image 1,1,81,12.8
33.9012,,Surface,4,Image 1,1,82,12.8
19.5902,,Surface,4,Image 1,1,83,12.8
19.9,,Surface,4,Image 1,1,84,12.8
16.48,,Surface,4,Image 1,1,85,12.8
23.2335,,Surface,4,Image 1,1,86,12.8
20.4352,,Surface,4,Image 1,1,87,12.8
31.6568,,Surface,4,Image 1,1,88,12.8
14.9271,,Surface,4,Image 1,1,89,12.8
25.0504,,Surface,4,Image 1,1,90,12.8
26.5558,,Surface,4,Image 1,1,91,12.8
24.5028,,Surface,4,Image 1,1,92,12.8
22.2664,,Surface,4,Image 1,1,93,12.8
16.2643,,Surface,4,Image 1,1,94,12.8
35.4962,,Surface,4,Image 1,1,95,12.8
17.739,,Surface,4,Image 1,1,96,12.8
22.7272,,Surface,4,Image 1,1,97,12.8
28.3698,,Surface,4,Image 1,1,98,12.8
21.1659,,Surface,4,Image 1,1,99,12.8
33.2227,,Surface,4,Image 1,1,100,12.8
15.6106,,Surface,4,Image 1,1,101,12.8
20.5898,,Surface,4,Image 1,1,102,12.8
32.5477,,Surface,4,Image 1,1,103,12.8
17.3833,,Surface,4,Image 1,1,104,12.8
13.0759,,Surface,4,Image 1,1,105,12.8
