
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
12.215,,Surface,2,Image 1,1,0,
14.0838,,Surface,2,Image 1,1,1,
14.1511,,Surface,2,Image 1,1,2,
13.1828,,Surface,2,Image 1,1,3,
14.4161,,Surface,2,Image 1,1,4,
15.7856,,Surface,2,Image 1,1,5,
12.7901,,Surface,2,Image 1,1,6,
18.4464,,Surface,2,Image 1,1,7,
19.713,,Surface,2,Image 1,1,8,
14.0116,,Surface,2,Image 1,1,9,
11.2471,,Surface,2,Image 1,1,10,
14.0138,,Surface,2,Image 1,1,11,
11.9233,,Surface,2,Image 1,1,12,
13.0716,,Surface,2,Image 1,1,13,
11.9686,,Surface,2,Image 1,1,14,
14.4887,,Surface,2,Image 1,1,15,
19.4061,,Surface,2,Image 1,1,16,
14.0222,,Surface,2,Image 1,1,17,
13.8059,,Surface,2,Image 1,1,18,
20.4955,,Surface,2,Image 1,1,19,
11.5883,,Surface,2,Image 1,1,20,
11.7604,,Surface,2,Image 1,1,21,
16.2549,,Surface,2,Image 1,1,22,
18.7753,,Surface,2,Image 1,1,23,
17.8162,,Surface,2,Image 1,1,24,
18.5508,,Surface,2,Image 1,1,25,
17.3446,,Surface,2,Image 1,1,26,
12.8288,,Surface,2,Image 1,1,27,
24.3346,,Surface,2,Image 1,1,28,
13.4609,,Surface,2,Image 1,1,29,
26.0581,,Surface,2,Image 1,1,30,
24.8176,,Surface,2,Image 1,1,31,
12.4406,,Surface,2,Image 1,1,32,
13.5208,,Surface,2,Image 1,1,33,
12.0933,,Surface,2,Image 1,1,34,
19.939,,Surface,2,Image 1,1,35,
12.4832,,Surface,2,Image 1,1,36,
14.937,,Surface,2,Image 1,1,37,
13.6851,,Surface,2,Image 1,1,38,
14.4964,,Surface,2,Image 1,1,39,
12.1611,,Surface,2,Image 1,1,40,
18.9567,,Surface,2,Image 1,1,41,
24.3128,,Surface,2,Image 1,1,42,
23.0415,,Surface,2,Image 1,1,43,
13.0751,,Surface,2,Image 1,1,44,
19.3256,,Surface,2,Image 1,1,45,
24.1533,,Surface,2,Image 1,1,46,
17.6202,,Surface,2,Image 1,1,47,
17.3414,,Surface,2,Image 1,1,48,
31.1929,,Surface,2,Image 1,1,49,
24.7666,,Surface,2,Image 1,1,50,
