
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
255,,Surface,5,Image 1,1,0,
235,,Surface,5,Image 1,1,1,
254,,Surface,5,Image 1,1,2,
206,,Surface,5,Image 1,1,3,
217,,Surface,5,Image 1,1,4,
232,,Surface,5,Image 1,1,5,
254,,Surface,5,Image 1,1,6,
255,,Surface,5,Image 1,1,7,
202,,Surface,5,Image 1,1,8,
197,,Surface,5,Image 1,1,9,
246,,Surface,5,Image 1,1,10,
196,,Surface,5,Image 1,1,11,
246,,Surface,5,Image 1,1,12,
237,,Surface,5,Image 1,1,13,
206,,Surface,5,Image 1,1,14,
242,,Surface,5,Image 1,1,15,
203,,Surface,5,Image 1,1,16,
192,,Surface,5,Image 1,1,17,
211,,Surface,5,Image 1,1,18,
233,,Surface,5,Image 1,1,19,
200,,Surface,5,Image 1,1,20,
242,,Surface,5,Image 1,1,21,
181,,Surface,5,Image 1,1,22,
240,,Surface,5,Image 1,1,23,
221,,Surface,5,Image 1,1,24,
175,,Surface,5,Image 1,1,25,
232,,Surface,5,Image 1,1,26,
253,,Surface,5,Image 1,1,27,
225,,Surface,5,Image 1,1,28,
