
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
2.9708,,Surface,4,Image 1,1,0,
5.89936,,Surface,4,Image 1,1,1,
4.69425,,Surface,4,Image 1,1,2,
2.80825,,Surface,4,Image 1,1,3,
4.06943,,Surface,4,Image 1,1,4,
6.69544,,Surface,4,Image 1,1,5,
4.42755,,Surface,4,Image 1,1,6,
2.4118,,Surface,4,Image 1,1,7,
3.52031,,Surface,4,Image 1,1,8,
3.33129,,Surface,4,Image 1,1,9,
7.69402,,Surface,4,Image 1,1,10,
2.82706,,Surface,4,Image 1,1,11,
6.26577,,Surface,4,Image 1,1,12,
4.93223,,Surface,4,Image 1,1,13,
4.94775,,Surface,4,Image 1,1,14,
3.42511,,Surface,4,Image 1,1,15,
5.59084,,Surface,4,Image 1,1,16,
3.60186,,Surface,4,Image 1,1,17,
3.5726,,Surface,4,Image 1,1,18,
2.85237,,Surface,4,Image 1,1,19,
5.46751,,Surface,4,Image 1,1,20,
4.09657,,Surface,4,Image 1,1,21,
9.04466,,Surface,4,Image 1,1,22,
5.95444,,Surface,4,Image 1,1,23,
4.289,,Surface,4,Image 1,1,24,
5.60813,,Surface,4,Image 1,1,25,
4.71906,,Surface,4,Image 1,1,26,
7.29404,,Surface,4,Image 1,1,27,
3.17911,,Surface,4,Image 1,1,28,
3.91113,,Surface,4,Image 1,1,29,
4.90366,,Surface,4,Image 1,1,30,
6.19358,,Surface,4,Image 1,1,31,
6.06836,,Surface,4,Image 1,1,32,
3.56184,,Surface,4,Image 1,1,33,
3.41729,,Surface,4,Image 1,1,34,
3.14719,,Surface,4,Image 1,1,35,
12.1718,,Surface,4,Image 1,1,36,
4.13606,,Surface,4,Image 1,1,37,
4.07316,,Surface,4,Image 1,1,38,
3.87131,,Surface,4,Image 1,1,39,
6.11256,,Surface,4,Image 1,1,40,
4.63554,,Surface,4,Image 1,1,41,
3.64228,,Surface,4,Image 1,1,42,
6.90001,,Surface,4,Image 1,1,43,
3.581,,Surface,4,Image 1,1,44,
9.27926,,Surface,4,Image 1,1,45,
