
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
10.2752,,Surface,3,Image 1,1,0,
8.86891,,Surface,3,Image 1,1,1,
12.8707,,Surface,3,Image 1,1,2,
16.4699,,Surface,3,Image 1,1,3,
9.19293,,Surface,3,Image 1,1,4,
14.5824,,Surface,3,Image 1,1,5,
15.904,,Surface,3,Image 1,1,6,
12.9583,,Surface,3,Image 1,1,7,
16.5335,,Surface,3,Image 1,1,8,
8.98409,,Surface,3,Image 1,1,9,
12.6535,,Surface,3,Image 1,1,10,
15.4538,,Surface,3,Image 1,1,11,
18.0207,,Surface,3,Image 1,1,12,
17.2735,,Surface,3,Image 1,1,13,
9.97339,,Surface,3,Image 1,1,14,
17.0046,,Surface,3,Image 1,1,15,
12.6846,,Surface,3,Image 1,1,16,
11.9711,,Surface,3,Image 1,1,17,
9.08038,,Surface,3,Image 1,1,18,
9.01483,,Surface,3,Image 1,1,19,
11.8522,,Surface,3,Image 1,1,20,
