
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
24.1,60.401,-11.4109,um,Surface,Position,1,0,
17.858,78.5064,-14.9036,um,Surface,Position,1,1,
16.8831,82.9924,-22.2334,um,Surface,Position,1,2,
34.8669,85.6465,-19.4998,um,Surface,Position,1,3,
20.279,90.8734,-27.7054,um,Surface,Position,1,4,
39.1455,44.8363,-16.218,um,Surface,Position,1,5,
39.9276,46.5883,-23.1791,um,Surface,Position,1,6,
54.6956,45.8652,-26.1056,um,Surface,Position,1,7,
54.8409,40.7636,-20.5623,um,Surface,Position,1,8,
24.6635,50.9113,-18.9594,um,Surface,Position,1,9,
29.5146,55.8151,-22.8056,um,Surface,Position,1,10,
40.8364,54.2409,-24.4568,um,Surface,Position,1,11,
34.3422,50.2903,-17.4081,um,Surface,Position,1,12,
26.6394,68.1879,-22.7581,um,Surface,Position,1,13,
20.5485,61.7188,-15.2224,um,Surface,Position,1,14,
34.5897,66.4369,-15.4809,um,Surface,Position,1,15,
29.3178,65.8667,-32.7542,um,Surface,Position,1,16,
48.5261,33.1487,-27.5971,um,Surface,Position,1,17,
27.9866,46.0934,-38.3245,um,Surface,Position,1,18,
25.5729,46.3483,-31.6241,um,Surface,Position,1,19,
41.778,40.1577,-28.9284,um,Surface,Position,1,20,
