
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
11.1489,,Surface,5,Image 1,1,0,
18.372,,Surface,5,Image 1,1,1,
15.996,,Surface,5,Image 1,1,2,
11.3328,,Surface,5,Image 1,1,3,
11.199,,Surface,5,Image 1,1,4,
8.90025,,Surface,5,Image 1,1,5,
8.6743,,Surface,5,Image 1,1,6,
11.6239,,Surface,5,Image 1,1,7,
14.0825,,Surface,5,Image 1,1,8,
15.7449,,Surface,5,Image 1,1,9,
23.2796,,Surface,5,Image 1,1,10,
11.9539,,Surface,5,Image 1,1,11,
12.3483,,Surface,5,Image 1,1,12,
17.4163,,Surface,5,Image 1,1,13,
14.3605,,Surface,5,Image 1,1,14,
18.5067,,Surface,5,Image 1,1,15,
11.3489,,Surface,5,Image 1,1,16,
12.3634,,Surface,5,Image 1,1,17,
11.2986,,Surface,5,Image 1,1,18,
12.887,,Surface,5,Image 1,1,19,
12.2065,,Surface,5,Image 1,1,20,
