
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
219.128,,Surface,2,Image 1,1,0,
132.503,,Surface,2,Image 1,1,2,
136.276,,Surface,2,Image 1,1,3,
155.241,,Surface,2,Image 1,1,4,
294.462,,Surface,2,Image 1,1,5,
145.936,,Surface,2,Image 1,1,6,
182.212,,Surface,2,Image 1,1,7,
274.96,,Surface,2,Image 1,1,9,
299.27,,Surface,2,Image 1,1,10,
250.421,,Surface,2,Image 1,1,11,
225.45,,Surface,2,Image 1,1,12,
178.161,,Surface,2,Image 1,1,13,
225.874,,Surface,2,Image 1,1,14,
303.018,,Surface,2,Image 1,1,15,
192.378,,Surface,2,Image 1,1,16,
202.276,,Surface,2,Image 1,1,17,
297.99,,Surface,2,Image 1,1,18,
340.728,,Surface,2,Image 1,1,19,
179.251,,Surface,2,Image 1,1,20,
277.194,,Surface,2,Image 1,1,21,
238.547,,Surface,2,Image 1,1,22,
283.093,,Surface,2,Image 1,1,23,
232.971,,Surface,2,Image 1,1,24,
240.052,,Surface,2,Image 1,1,26,
174.742,,Surface,2,Image 1,1,27,
190.014,,Surface,2,Image 1,1,28,
154.111,,Surface,2,Image 1,1,29,
342.835,,Surface,2,Image 1,1,30,
191.266,,Surface,2,Image 1,1,31,
163.871,,Surface,2,Image 1,1,32,
247.699,,Surface,2,Image 1,1,33,
278.069,,Surface,2,Image 1,1,34,
194.444,,Surface,2,Image 1,1,35,
170.122,,Surface,2,Image 1,1,36,
201.594,,Surface,2,Image 1,1,37,
248.848,,Surface,2,Image 1,1,38,
196.883,,Surface,2,Image 1,1,39,
142.924,,Surface,2,Image 1,1,40,
160.391,,Surface,2,Image 1,1,41,
133.779,,Surface,2,Image 1,1,42,
143.265,,Surface,2,Image 1,1,43,
177.799,,Surface,2,Image 1,1,44,
222.782,,Surface,2,Image 1,1,45,
213.498,,Surface,2,Image 1,1,46,
168.025,,Surface,2,Image 1,1,47,
191.154,,Surface,2,Image 1,1,48,
238.572,,Surface,2,Image 1,1,49,
301.185,,Surface,2,Image 1,1,50,
212.417,,Surface,2,Image 1,1,51,
201.699,,Surface,2,Image 1,1,52,
194.319,,Surface,2,Image 1,1,53,
221.197,,Surface,2,Image 1,1,54,
178.717,,Surface,2,Image 1,1,55,
408.135,,Surface,2,Image 1,1,56,
286.493,,Surface,2,Image 1,1,57,
208.082,,Surface,2,Image 1,1,58,
309.241,,Surface,2,Image 1,1,59,
349.298,,Surface,2,Image 1,1,60,
433.697,,Surface,2,Image 1,1,61,
343.022,,Surface,2,Image 1,1,62,
322.36,,Surface,2,Image 1,1,63,
297.103,,Surface,2,Image 1,1,64,
204.724,,Surface,2,Image 1,1,65,
197.239,,Surface,2,Image 1,1,66,
146.367,,Surface,2,Image 1,1,67,
179.512,,Surface,2,Image 1,1,68,
149.862,,Surface,2,Image 1,1,69,
167.294,,Surface,2,Image 1,1,70,
245.728,,Surface,2,Image 1,1,71,
