
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
331.32,,Surface,4,Image 1,1,0,
394.604,,Surface,4,Image 1,1,1,
330.833,,Surface,4,Image 1,1,2,
414.835,,Surface,4,Image 1,1,3,
402.502,,Surface,4,Image 1,1,4,
468.687,,Surface,4,Image 1,1,5,
482.523,,Surface,4,Image 1,1,6,
433.981,,Surface,4,Image 1,1,7,
386.979,,Surface,4,Image 1,1,8,
300.644,,Surface,4,Image 1,1,9,
395.935,,Surface,4,Image 1,1,10,
407.703,,Surface,4,Image 1,1,11,
327.997,,Surface,4,Image 1,1,12,
337.874,,Surface,4,Image 1,1,13,
382.24,,Surface,4,Image 1,1,14,
386.25,,Surface,4,Image 1,1,15,
392.024,,Surface,4,Image 1,1,16,
603.508,,Surface,4,Image 1,1,17,
450.004,,Surface,4,Image 1,1,18,
560.631,,Surface,4,Image 1,1,19,
538.188,,Surface,4,Image 1,1,20,
498.279,,Surface,4,Image 1,1,21,
270.728,,Surface,4,Image 1,1,22,
225.544,,Surface,4,Image 1,1,23,
523.08,,Surface,4,Image 1,1,24,
386.02,,Surface,4,Image 1,1,25,
632.571,,Surface,4,Image 1,1,26,
376.719,,Surface,4,Image 1,1,27,
316.996,,Surface,4,Image 1,1,28,
429.854,,Surface,4,Image 1,1,29,
249.257,,Surface,4,Image 1,1,30,
496.243,,Surface,4,Image 1,1,31,
448.556,,Surface,4,Image 1,1,32,
570.583,,Surface,4,Image 1,1,33,
383.73,,Surface,4,Image 1,1,34,
348.697,,Surface,4,Image 1,1,35,
405.175,,Surface,4,Image 1,1,36,
454.866,,Surface,4,Image 1,1,37,
740.786,,Surface,4,Image 1,1,38,
352.118,,Surface,4,Image 1,1,39,
402.315,,Surface,4,Image 1,1,40,
279.276,,Surface,4,Image 1,1,41,
467.697,,Surface,4,Image 1,1,42,
299.647,,Surface,4,Image 1,1,43,
408.961,,Surface,4,Image 1,1,44,
363.499,,Surface,4,Image 1,1,45,
379.333,,Surface,4,Image 1,1,46,
374.545,,Surface,4,Image 1,1,47,
305.748,,Surface,4,Image 1,1,48,
319.161,,Surface,4,Image 1,1,49,
466.441,,Surface,4,Image 1,1,50,
416.81,,Surface,4,Image 1,1,51,
394.303,,Surface,4,Image 1,1,52,
483.615,,Surface,4,Image 1,1,53,
444.28,,Surface,4,Image 1,1,54,
522.724,,Surface,4,Image 1,1,55,
220.62,,Surface,4,Image 1,1,56,
224.207,,Surface,4,Image 1,1,57,
312.355,,Surface,4,Image 1,1,58,
263.748,,Surface,4,Image 1,1,59,
247.864,,Surface,4,Image 1,1,60,
329.239,,Surface,4,Image 1,1,61,
231.605,,Surface,4,Image 1,1,62,
262.016,,Surface,4,Image 1,1,63,
333.722,,Surface,4,Image 1,1,64,
557.212,,Surface,4,Image 1,1,65,
350.385,,Surface,4,Image 1,1,66,
313.738,,Surface,4,Image 1,1,67,
299.245,,Surface,4,Image 1,1,68,
391.731,,Surface,4,Image 1,1,69,
265.458,,Surface,4,Image 1,1,70,
282.495,,Surface,4,Image 1,1,71,
498.612,,Surface,4,Image 1,1,72,
433.895,,Surface,4,Image 1,1,73,
356.515,,Surface,4,Image 1,1,74,
799.691,,Surface,4,Image 1,1,75,
418.773,,Surface,4,Image 1,1,76,
278.187,,Surface,4,Image 1,1,77,
300.333,,Surface,4,Image 1,1,78,
208.046,,Surface,4,Image 1,1,79,
250.125,,Surface,4,Image 1,1,80,
