
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
160.735,,Surface,5,Image 1,1,0,
223.522,,Surface,5,Image 1,1,1,
232.674,,Surface,5,Image 1,1,2,
244.276,,Surface,5,Image 1,1,3,
315.599,,Surface,5,Image 1,1,4,
331.471,,Surface,5,Image 1,1,5,
198.506,,Surface,5,Image 1,1,6,
270.36,,Surface,5,Image 1,1,7,
232.827,,Surface,5,Image 1,1,8,
159.895,,Surface,5,Image 1,1,9,
153.121,,Surface,5,Image 1,1,10,
171.198,,Surface,5,Image 1,1,11,
159.42,,Surface,5,Image 1,1,12,
184.293,,Surface,5,Image 1,1,13,
132.196,,Surface,5,Image 1,1,14,
132.187,,Surface,5,Image 1,1,15,
136.552,,Surface,5,Image 1,1,16,
190.361,,Surface,5,Image 1,1,17,
141.505,,Surface,5,Image 1,1,18,
212.245,,Surface,5,Image 1,1,19,
150.056,,Surface,5,Image 1,1,20,
178.475,,Surface,5,Image 1,1,21,
176.454,,Surface,5,Image 1,1,22,
240.424,,Surface,5,Image 1,1,23,
281.378,,Surface,5,Image 1,1,24,
384.844,,Surface,5,Image 1,1,25,
360.301,,Surface,5,Image 1,1,26,
363.267,,Surface,5,Image 1,1,27,
184.116,,Surface,5,Image 1,1,28,
183.966,,Surface,5,Image 1,1,29,
146.458,,Surface,5,Image 1,1,30,
124.673,,Surface,5,Image 1,1,31,
308.31,,Surface,5,Image 1,1,32,
309.478,,Surface,5,Image 1,1,33,
288.66,,Surface,5,Image 1,1,34,
211.657,,Surface,5,Image 1,1,35,
207.09,,Surface,5,Image 1,1,36,
295.345,,Surface,5,Image 1,1,37,
374.228,,Surface,5,Image 1,1,38,
317.824,,Surface,5,Image 1,1,39,
266.604,,Surface,5,Image 1,1,40,
144.99,,Surface,5,Image 1,1,41,
164.121,,Surface,5,Image 1,1,42,
136.693,,Surface,5,Image 1,1,43,
197.177,,Surface,5,Image 1,1,44,
179.074,,Surface,5,Image 1,1,45,
157.176,,Surface,5,Image 1,1,46,
185.124,,Surface,5,Image 1,1,47,
125.257,,Surface,5,Image 1,1,48,
121.202,,Surface,5,Image 1,1,49,
168.081,,Surface,5,Image 1,1,50,
153.233,,Surface,5,Image 1,1,51,
207.917,,Surface,5,Image 1,1,52,
129.207,,Surface,5,Image 1,1,53,
209.228,,Surface,5,Image 1,1,54,
147.893,,Surface,5,Image 1,1,55,
311.034,,Surface,5,Image 1,1,56,
247.693,,Surface,5,Image 1,1,57,
329.705,,Surface,5,Image 1,1,58,
267.403,,Surface,5,Image 1,1,59,
151.06,,Surface,5,Image 1,1,60,
242.265,,Surface,5,Image 1,1,61,
202.169,,Surface,5,Image 1,1,62,
145.763,,Surface,5,Image 1,1,63,
152.318,,Surface,5,Image 1,1,64,
286.208,,Surface,5,Image 1,1,65,
167.085,,Surface,5,Image 1,1,66,
207.939,,Surface,5,Image 1,1,67,
198.141,,Surface,5,Image 1,1,68,
152.603,,Surface,5,Image 1,1,69,
138.061,,Surface,5,Image 1,1,70,
143.633,,Surface,5,Image 1,1,71,
175.693,,Surface,5,Image 1,1,72,
176.823,,Surface,5,Image 1,1,73,
124.624,,Surface,5,Image 1,1,74,
118.486,,Surface,5,Image 1,1,75,
160.826,,Surface,5,Image 1,1,76,
123.637,,Surface,5,Image 1,1,77,
148.552,,Surface,5,Image 1,1,78,
198.509,,Surface,5,Image 1,1,79,
256.166,,Surface,5,Image 1,1,80,
