
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
85.665,,Surface,3,Image 1,1,0,
77.9228,,Surface,3,Image 1,1,3,
159.126,,Surface,3,Image 1,1,4,
233.277,,Surface,3,Image 1,1,5,
161.506,,Surface,3,Image 1,1,6,
272.696,,Surface,3,Image 1,1,13,
87.3664,,Surface,3,Image 1,1,20,
76.3423,,Surface,3,Image 1,1,21,
130.48,,Surface,3,Image 1,1,22,
94.9704,,Surface,3,Image 1,1,23,
149.849,,Surface,3,Image 1,1,24,
124.364,,Surface,3,Image 1,1,25,
123.115,,Surface,3,Image 1,1,26,
120.04,,Surface,3,Image 1,1,27,
124.672,,Surface,3,Image 1,1,28,
148.078,,Surface,3,Image 1,1,29,
109.091,,Surface,3,Image 1,1,32,
187.752,,Surface,3,Image 1,1,33,
246.76,,Surface,3,Image 1,1,34,
152.976,,Surface,3,Image 1,1,35,
171.208,,Surface,3,Image 1,1,36,
113.613,,Surface,3,Image 1,1,37,
106.718,,Surface,3,Image 1,1,38,
80.8627,,Surface,3,Image 1,1,39,
140.98,,Surface,3,Image 1,1,40,
75.9819,,Surface,3,Image 1,1,41,
75.6848,,Surface,3,Image 1,1,42,
68.6293,,Surface,3,Image 1,1,43,
104.104,,Surface,3,Image 1,1,44,
71.3768,,Surface,3,Image 1,1,45,
91.1036,,Surface,3,Image 1,1,46,
142.386,,Surface,3,Image 1,1,48,
188.239,,Surface,3,Image 1,1,49,
167.084,,Surface,3,Image 1,1,50,
178.743,,Surface,3,Image 1,1,51,
197.469,,Surface,3,Image 1,1,52,
149.669,,Surface,3,Image 1,1,53,
99.2206,,Surface,3,Image 1,1,55,
72.071,,Surface,3,Image 1,1,56,
67.3337,,Surface,3,Image 1,1,57,
102.04,,Surface,3,Image 1,1,58,
88.0946,,Surface,3,Image 1,1,59,
200.629,,Surface,3,Image 1,1,60,
225.679,,Surface,3,Image 1,1,61,
137.306,,Surface,3,Image 1,1,62,
81.6091,,Surface,3,Image 1,1,63,
113.94,,Surface,3,Image 1,1,64,
100.685,,Surface,3,Image 1,1,65,
83.2739,,Surface,3,Image 1,1,66,
113.957,,Surface,3,Image 1,1,67,
91.3337,,Surface,3,Image 1,1,68,
77.5236,,Surface,3,Image 1,1,69,
104.159,,Surface,3,Image 1,1,70,
116.414,,Surface,3,Image 1,1,71,
93.1668,,Surface,3,Image 1,1,74,
73.6284,,Surface,3,Image 1,1,75,
130.941,,Surface,3,Image 1,1,76,
115.016,,Surface,3,Image 1,1,77,
76.1908,,Surface,3,Image 1,1,78,
150.225,,Surface,3,Image 1,1,79,
60,,Surface,3,Image 1,1,81,
148.207,,Surface,3,Image 1,1,82,
