
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
139.036,,Surface,4,Image 1,1,0,
93.7001,,Surface,4,Image 1,1,3,
102.265,,Surface,4,Image 1,1,4,
92.3064,,Surface,4,Image 1,1,5,
92.9585,,Surface,4,Image 1,1,6,
103.251,,Surface,4,Image 1,1,13,
110.639,,Surface,4,Image 1,1,20,
154.96,,Surface,4,Image 1,1,21,
116.291,,Surface,4,Image 1,1,22,
119.304,,Surface,4,Image 1,1,23,
120.063,,Surface,4,Image 1,1,24,
105.269,,Surface,4,Image 1,1,25,
111.19,,Surface,4,Image 1,1,26,
102.283,,Surface,4,Image 1,1,27,
99.0529,,Surface,4,Image 1,1,28,
92.9521,,Surface,4,Image 1,1,29,
105.152,,Surface,4,Image 1,1,32,
95.5418,,Surface,4,Image 1,1,33,
110.74,,Surface,4,Image 1,1,34,
100.349,,Surface,4,Image 1,1,35,
112.852,,Surface,4,Image 1,1,36,
140.247,,Surface,4,Image 1,1,37,
107.204,,Surface,4,Image 1,1,38,
159.801,,Surface,4,Image 1,1,39,
152.366,,Surface,4,Image 1,1,40,
150.359,,Surface,4,Image 1,1,41,
125.189,,Surface,4,Image 1,1,42,
145.608,,Surface,4,Image 1,1,43,
155.981,,Surface,4,Image 1,1,44,
145.543,,Surface,4,Image 1,1,45,
119.434,,Surface,4,Image 1,1,46,
121.959,,Surface,4,Image 1,1,48,
100.73,,Surface,4,Image 1,1,49,
92.2664,,Surface,4,Image 1,1,50,
92.3249,,Surface,4,Image 1,1,51,
138.285,,Surface,4,Image 1,1,52,
130.22,,Surface,4,Image 1,1,53,
119.437,,Surface,4,Image 1,1,55,
168.199,,Surface,4,Image 1,1,56,
143.181,,Surface,4,Image 1,1,57,
165.826,,Surface,4,Image 1,1,58,
101.011,,Surface,4,Image 1,1,59,
114.945,,Surface,4,Image 1,1,60,
127.72,,Surface,4,Image 1,1,61,
143.302,,Surface,4,Image 1,1,62,
205.136,,Surface,4,Image 1,1,63,
144.717,,Surface,4,Image 1,1,64,
158.451,,Surface,4,Image 1,1,65,
134.034,,Surface,4,Image 1,1,66,
141.884,,Surface,4,Image 1,1,67,
141.658,,Surface,4,Image 1,1,68,
157.842,,Surface,4,Image 1,1,69,
171.284,,Surface,4,Image 1,1,70,
153.641,,Surface,4,Image 1,1,71,
98.7504,,Surface,4,Image 1,1,74,
124.972,,Surface,4,Image 1,1,75,
96.9664,,Surface,4,Image 1,1,76,
112.688,,Surface,4,Image 1,1,77,
104.056,,Surface,4,Image 1,1,78,
113.694,,Surface,4,Image 1,1,79,
63,,Surface,4,Image 1,1,81,
100.034,,Surface,4,Image 1,1,82,
