
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
-10037.9,3514.02,137.373,um,Surface,Position,1,0,
-10042.5,3513.92,138.427,um,Surface,Position,1,1,
-10015.3,3488.06,128.852,um,Surface,Position,1,2,
-10004.3,3487.4,129.796,um,Surface,Position,1,3,
-10011.2,3493.88,130.721,um,Surface,Position,1,4,
-10017,3498.56,132.176,um,Surface,Position,1,5,
-10035,3502.49,129.111,um,Surface,Position,1,6,
-10024.1,3498.15,128.181,um,Surface,Position,1,7,
-10033.4,3509.45,131.402,um,Surface,Position,1,8,
-10039.9,3500.62,131.47,um,Surface,Position,1,9,
-10041.4,3508.92,132.813,um,Surface,Position,1,10,
-10022.5,3500.53,133.996,um,Surface,Position,1,11,
-10020.5,3492.82,135.295,um,Surface,Position,1,12,
-10025.2,3504.97,135.737,um,Surface,Position,1,13,
-10038,3505.57,140.719,um,Surface,Position,1,14,
-10043.8,3507.99,141.265,um,Surface,Position,1,15,
-10022.1,3498.81,142.057,um,Surface,Position,1,16,
-10002.4,3476.58,132.272,um,Surface,Position,1,17,
-9997.39,3480.1,134.016,um,Surface,Position,1,18,
-10047.8,3484.19,129.244,um,Surface,Position,1,19,
-10057,3482.85,135.794,um,Surface,Position,1,20,
-10041,3479.32,130.497,um,Surface,Position,1,21,
-10027.4,3471.02,136.376,um,Surface,Position,1,23,
-10000.5,3458.61,127.374,um,Surface,Position,1,24,
-10012.4,3441.43,137.166,um,Surface,Position,1,25,
-10047.5,3500.41,122.315,um,Surface,Position,1,26,
-10047.8,3495.94,123.735,um,Surface,Position,1,27,
-10040.1,3498.01,124.15,um,Surface,Position,1,28,
-10020.8,3492.92,124.961,um,Surface,Position,1,29,
-10036.7,3503.7,123.995,um,Surface,Position,1,30,
-10029.4,3493.42,125.043,um,Surface,Position,1,31,
-10030.5,3501.96,124.61,um,Surface,Position,1,32,
-10034.4,3492.38,125.823,um,Surface,Position,1,33,
-10040.1,3508.89,125.646,um,Surface,Position,1,34,
-10036.7,3488.76,127.366,um,Surface,Position,1,35,
-10044.7,3502.62,126.848,um,Surface,Position,1,36,
-10014.5,3491.92,121.632,um,Surface,Position,1,37,
-10037.9,3483.92,125.564,um,Surface,Position,1,38,
-10042.4,3484.24,126.126,um,Surface,Position,1,39,
-10002.8,3480.32,125.823,um,Surface,Position,1,40,
-10090.8,3498.28,123.779,um,Surface,Position,1,41,
-10045.6,3486.72,125.616,um,Surface,Position,1,42,
-10031.6,3472.82,133.457,um,Surface,Position,1,43,
-10032,3476.2,131.682,um,Surface,Position,1,44,
