
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
21,,Surface,2,Image 1,1,0,
30,,Surface,2,Image 1,1,1,
27,,Surface,2,Image 1,1,2,
30,,Surface,2,Image 1,1,3,
20,,Surface,2,Image 1,1,4,
19,,Surface,2,Image 1,1,6,
27,,Surface,2,Image 1,1,7,
33,,Surface,2,Image 1,1,8,
24,,Surface,2,Image 1,1,9,
39,,Surface,2,Image 1,1,10,
60,,Surface,2,Image 1,1,11,
51,,Surface,2,Image 1,1,12,
23,,Surface,2,Image 1,1,13,
21,,Surface,2,Image 1,1,14,
19,,Surface,2,Image 1,1,15,
28,,Surface,2,Image 1,1,16,
35,,Surface,2,Image 1,1,17,
24,,Surface,2,Image 1,1,18,
19,,Surface,2,Image 1,1,19,
21,,Surface,2,Image 1,1,20,
25,,Surface,2,Image 1,1,21,
28,,Surface,2,Image 1,1,22,
26,,Surface,2,Image 1,1,23,
38,,Surface,2,Image 1,1,24,
25,,Surface,2,Image 1,1,25,
30,,Surface,2,Image 1,1,26,
33,,Surface,2,Image 1,1,27,
38,,Surface,2,Image 1,1,28,
41,,Surface,2,Image 1,1,29,
37,,Surface,2,Image 1,1,30,
39,,Surface,2,Image 1,1,31,
61,,Surface,2,Image 1,1,32,
72,,Surface,2,Image 1,1,33,
21,,Surface,2,Image 1,1,34,
20,,Surface,2,Image 1,1,35,
19,,Surface,2,Image 1,1,36,
27,,Surface,2,Image 1,1,37,
25,,Surface,2,Image 1,1,38,
19,,Surface,2,Image 1,1,39,
26,,Surface,2,Image 1,1,40,
24,,Surface,2,Image 1,1,41,
32,,Surface,2,Image 1,1,42,
19,,Surface,2,Image 1,1,43,
20,,Surface,2,Image 1,1,44,
30,,Surface,2,Image 1,1,45,
35,,Surface,2,Image 1,1,46,
29,,Surface,2,Image 1,1,47,
28,,Surface,2,Image 1,1,48,
20,,Surface,2,Image 1,1,49,
30,,Surface,2,Image 1,1,50,
19,,Surface,2,Image 1,1,51,
21,,Surface,2,Image 1,1,52,
19,,Surface,2,Image 1,1,53,
24,,Surface,2,Image 1,1,54,
20,,Surface,2,Image 1,1,56,
21,,Surface,2,Image 1,1,57,
21,,Surface,2,Image 1,1,58,
22,,Surface,2,Image 1,1,59,
32,,Surface,2,Image 1,1,60,
23,,Surface,2,Image 1,1,61,
22,,Surface,2,Image 1,1,62,
28,,Surface,2,Image 1,1,63,
22,,Surface,2,Image 1,1,64,
20,,Surface,2,Image 1,1,65,
22,,Surface,2,Image 1,1,66,
20,,Surface,2,Image 1,1,67,
21,,Surface,2,Image 1,1,68,
19,,Surface,2,Image 1,1,69,
19,,Surface,2,Image 1,1,70,
21,,Surface,2,Image 1,1,71,
22,,Surface,2,Image 1,1,72,
38,,Surface,2,Image 1,1,73,
21,,Surface,2,Image 1,1,74,
21,,Surface,2,Image 1,1,75,
24,,Surface,2,Image 1,1,76,
30,,Surface,2,Image 1,1,77,
25,,Surface,2,Image 1,1,78,
22,,Surface,2,Image 1,1,79,
20,,Surface,2,Image 1,1,80,
20,,Surface,2,Image 1,1,81,
20,,Surface,2,Image 1,1,82,
20,,Surface,2,Image 1,1,83,
20,,Surface,2,Image 1,1,84,
19,,Surface,2,Image 1,1,85,
19,,Surface,2,Image 1,1,86,
19,,Surface,2,Image 1,1,87,
20,,Surface,2,Image 1,1,88,
1,,Surface,2,Image 1,1,89,
31,,Surface,2,Image 1,1,90,
1,,Surface,2,Image 1,1,91,
22,,Surface,2,Image 1,1,92,
31,,Surface,2,Image 1,1,93,
14,,Surface,2,Image 1,1,94,
