
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
29,,Surface,2,Image 1,1,0,
41,,Surface,2,Image 1,1,1,
27,,Surface,2,Image 1,1,2,
27,,Surface,2,Image 1,1,3,
28,,Surface,2,Image 1,1,4,
28,,Surface,2,Image 1,1,5,
28,,Surface,2,Image 1,1,6,
34,,Surface,2,Image 1,1,7,
27,,Surface,2,Image 1,1,8,
32,,Surface,2,Image 1,1,9,
41,,Surface,2,Image 1,1,10,
35,,Surface,2,Image 1,1,11,
29,,Surface,2,Image 1,1,12,
32,,Surface,2,Image 1,1,13,
28,,Surface,2,Image 1,1,14,
36,,Surface,2,Image 1,1,15,
32,,Surface,2,Image 1,1,16,
28,,Surface,2,Image 1,1,17,
29,,Surface,2,Image 1,1,18,
29,,Surface,2,Image 1,1,19,
30,,Surface,2,Image 1,1,20,
38,,Surface,2,Image 1,1,21,
28,,Surface,2,Image 1,1,22,
31,,Surface,2,Image 1,1,23,
36,,Surface,2,Image 1,1,24,
28,,Surface,2,Image 1,1,25,
48,,Surface,2,Image 1,1,26,
33,,Surface,2,Image 1,1,27,
39,,Surface,2,Image 1,1,28,
27,,Surface,2,Image 1,1,29,
28,,Surface,2,Image 1,1,30,
29,,Surface,2,Image 1,1,31,
27,,Surface,2,Image 1,1,32,
28,,Surface,2,Image 1,1,33,
29,,Surface,2,Image 1,1,34,
30,,Surface,2,Image 1,1,35,
30,,Surface,2,Image 1,1,36,
27,,Surface,2,Image 1,1,37,
27,,Surface,2,Image 1,1,38,
39,,Surface,2,Image 1,1,39,
