
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
2.34668,,Surface,3,Image 1,1,0,
2.33713,,Surface,3,Image 1,1,1,
2.31067,,Surface,3,Image 1,1,2,
2.43971,,Surface,3,Image 1,1,3,
3.54736,,Surface,3,Image 1,1,4,
2.48137,,Surface,3,Image 1,1,5,
3.2816,,Surface,3,Image 1,1,6,
3.28593,,Surface,3,Image 1,1,7,
2.96988,,Surface,3,Image 1,1,8,
3.18379,,Surface,3,Image 1,1,9,
2.48307,,Surface,3,Image 1,1,10,
2.70511,,Surface,3,Image 1,1,11,
2.22313,,Surface,3,Image 1,1,12,
2.79827,,Surface,3,Image 1,1,13,
2.17277,,Surface,3,Image 1,1,14,
2.1387,,Surface,3,Image 1,1,15,
4.23228,,Surface,3,Image 1,1,16,
3.71494,,Surface,3,Image 1,1,17,
2.35473,,Surface,3,Image 1,1,18,
2.58286,,Surface,3,Image 1,1,19,
4.44407,,Surface,3,Image 1,1,20,
2.85356,,Surface,3,Image 1,1,21,
3.11881,,Surface,3,Image 1,1,22,
2.91054,,Surface,3,Image 1,1,23,
2.63578,,Surface,3,Image 1,1,24,
3.1347,,Surface,3,Image 1,1,25,
3.67529,,Surface,3,Image 1,1,26,
4.43544,,Surface,3,Image 1,1,27,
3.78537,,Surface,3,Image 1,1,28,
2.53027,,Surface,3,Image 1,1,29,
2.12781,,Surface,3,Image 1,1,30,
3.75779,,Surface,3,Image 1,1,31,
2.1204,,Surface,3,Image 1,1,32,
2.22755,,Surface,3,Image 1,1,33,
2.375,,Surface,3,Image 1,1,34,
2.65508,,Surface,3,Image 1,1,35,
2.17262,,Surface,3,Image 1,1,36,
2.10094,,Surface,3,Image 1,1,37,
2.16195,,Surface,3,Image 1,1,38,
2.15091,,Surface,3,Image 1,1,39,
