
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
-7299.31,7255.06,3330.37,um,Surface,Position,1,0,
-7305.06,7251.53,3330.03,um,Surface,Position,1,1,
-7313.22,7259.94,3330.84,um,Surface,Position,1,2,
-7320.66,7274.01,3328.22,um,Surface,Position,1,3,
-7266.72,7226.22,3326.49,um,Surface,Position,1,4,
-7268.55,7222.23,3329.1,um,Surface,Position,1,5,
-7262.8,7223.18,3331.24,um,Surface,Position,1,6,
-7273.01,7226.33,3330.46,um,Surface,Position,1,7,
-7297.16,7232.84,3327.59,um,Surface,Position,1,8,
-7301.55,7234.62,3331.37,um,Surface,Position,1,9,
-7295.12,7234.36,3335.15,um,Surface,Position,1,10,
-7274.84,7231.98,3327.76,um,Surface,Position,1,11,
-7275.72,7237.17,3329.24,um,Surface,Position,1,12,
-7280.21,7233.51,3332.11,um,Surface,Position,1,13,
-7267.38,7233.26,3326.97,um,Surface,Position,1,14,
-7269.98,7231.56,3331.44,um,Surface,Position,1,15,
-7308.51,7248.33,3327.43,um,Surface,Position,1,17,
-7300.4,7244.49,3327.39,um,Surface,Position,1,18,
-7296.86,7245.77,3328.82,um,Surface,Position,1,19,
-7301.5,7248.61,3330.17,um,Surface,Position,1,20,
-7287.68,7247.76,3325.77,um,Surface,Position,1,21,
-7292.99,7245.5,3331.32,um,Surface,Position,1,22,
-7277.72,7243.21,3325.63,um,Surface,Position,1,23,
-7285.3,7244.49,3328.51,um,Surface,Position,1,24,
-7263.77,7207.57,3332.21,um,Surface,Position,1,25,
-7255.86,7207.43,3325.33,um,Surface,Position,1,26,
-7264.31,7217.03,3332.12,um,Surface,Position,1,27,
-7258.84,7214.11,3331.36,um,Surface,Position,1,28,
-7307.49,7267.57,3318.63,um,Surface,Position,1,29,
-7303.85,7262.31,3322.38,um,Surface,Position,1,30,
-7305.43,7266.83,3324.15,um,Surface,Position,1,31,
-7311.99,7270.38,3319.63,um,Surface,Position,1,32,
-7322.09,7278.63,3323.61,um,Surface,Position,1,33,
-7298.54,7237.84,3324.77,um,Surface,Position,1,35,
-7276.26,7237.16,3314.19,um,Surface,Position,1,36,
-7274.91,7233.12,3322.51,um,Surface,Position,1,37,
-7264.94,7231.19,3317.38,um,Surface,Position,1,38,
-7269.59,7236.8,3317.93,um,Surface,Position,1,39,
-7266.32,7235.78,3324.28,um,Surface,Position,1,40,
-7271.94,7239.5,3322.95,um,Surface,Position,1,41,
-7301.48,7247.34,3319.97,um,Surface,Position,1,42,
-7293.3,7246.15,3314.17,um,Surface,Position,1,43,
-7288.41,7243.39,3316.84,um,Surface,Position,1,44,
-7285.52,7241.64,3320.77,um,Surface,Position,1,45,
-7295.17,7243.45,3321.47,um,Surface,Position,1,46,
-7277.6,7241.17,3313.8,um,Surface,Position,1,47,
-7285.46,7249.36,3313.21,um,Surface,Position,1,48,
-7277.03,7244.41,3316.26,um,Surface,Position,1,49,
-7280.9,7247.66,3319.68,um,Surface,Position,1,50,
-7299.14,7258.78,3319.76,um,Surface,Position,1,51,
-7303.56,7252.9,3322.69,um,Surface,Position,1,52,
-7298.74,7254.96,3324.3,um,Surface,Position,1,53,
-7293.54,7251.26,3317.35,um,Surface,Position,1,54,
-7293.55,7251.48,3324.54,um,Surface,Position,1,55,
-7287.02,7252.96,3322.39,um,Surface,Position,1,56,
-7255.08,7210.6,3318.56,um,Surface,Position,1,57,
-7268.12,7213.99,3324.68,um,Surface,Position,1,58,
-7260.86,7217.3,3317.12,um,Surface,Position,1,59,
-7256.1,7216.86,3322.81,um,Surface,Position,1,60,
-7262.59,7213.36,3323.36,um,Surface,Position,1,61,
-7261.4,7221.14,3324.99,um,Surface,Position,1,62,
-7271.52,7229.01,3315.78,um,Surface,Position,1,64,
-7271.67,7228.42,3321.6,um,Surface,Position,1,65,
-7258.32,7223.42,3322.04,um,Surface,Position,1,66,
-7261.47,7228.5,3323.49,um,Surface,Position,1,67,
-7253.05,7202.43,3319.9,um,Surface,Position,1,68,
-7256.32,7196.95,3322.05,um,Surface,Position,1,69,
-7265.97,7184.32,3312.55,um,Surface,Position,1,70,
-7265.9,7182.04,3318.56,um,Surface,Position,1,71,
-7275.7,7173.99,3308.48,um,Surface,Position,1,72,
-7312.72,7252.01,3332.72,um,Surface,Position,1,73,
-7268.77,7216.83,3336.61,um,Surface,Position,1,74,
-7306.66,7258.07,3330.17,um,Surface,Position,1,75,
