
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
-6075.19,1597.36,3284.75,um,Surface,Position,1,0,
-6085.68,1609.9,3285.44,um,Surface,Position,1,1,
-6089.77,1605.74,3284.09,um,Surface,Position,1,2,
-6095.35,1611.94,3286.03,um,Surface,Position,1,3,
-6079.83,1603.9,3284.35,um,Surface,Position,1,4,
-6084.64,1600.86,3286.4,um,Surface,Position,1,5,
-6101.62,1623.41,3283.9,um,Surface,Position,1,6,
-6093.85,1615.83,3277.72,um,Surface,Position,1,7,
-6099.27,1615.94,3279.67,um,Surface,Position,1,8,
-6084.08,1606.05,3277.26,um,Surface,Position,1,9,
-6072.38,1595.45,3277.52,um,Surface,Position,1,10,
-6113.19,1584.46,3275,um,Surface,Position,1,11,
-6079.59,1585.17,3270.68,um,Surface,Position,1,12,
-6072.14,1581.63,3272.78,um,Surface,Position,1,13,
-6068.71,1587.68,3278.85,um,Surface,Position,1,14,
-6076.93,1598.11,3275.99,um,Surface,Position,1,15,
-6086.56,1601.87,3274.33,um,Surface,Position,1,16,
-6094.33,1611.83,3273.72,um,Surface,Position,1,17,
-6095.42,1606.39,3272.1,um,Surface,Position,1,18,
-6089.54,1610.68,3272.15,um,Surface,Position,1,19,
-6094.87,1600.43,3273.86,um,Surface,Position,1,20,
-6100.37,1608.88,3277.58,um,Surface,Position,1,21,
-6089.55,1608.37,3276.29,um,Surface,Position,1,22,
-6083.69,1602.37,3271.03,um,Surface,Position,1,23,
-6109.3,1625.5,3271.34,um,Surface,Position,1,24,
-6102.95,1620.84,3273.3,um,Surface,Position,1,25,
-6120.78,1622.96,3265.52,um,Surface,Position,1,26,
-6108.48,1621.31,3268.92,um,Surface,Position,1,27,
-6119.14,1626.17,3269.42,um,Surface,Position,1,28,
-6089,1522.77,3276.38,um,Surface,Position,1,29,
-6070.2,1536.77,3271.61,um,Surface,Position,1,30,
-6065.32,1542.37,3272.17,um,Surface,Position,1,31,
-6065.36,1547.87,3271.34,um,Surface,Position,1,32,
-6064.81,1557.08,3273,um,Surface,Position,1,33,
-6113.04,1576.08,3273.89,um,Surface,Position,1,34,
-6066.73,1563.66,3275.85,um,Surface,Position,1,35,
-6070.09,1543.6,3264.73,um,Surface,Position,1,36,
-6065.92,1550.54,3265.74,um,Surface,Position,1,37,
-6076.06,1542.67,3265.73,um,Surface,Position,1,38,
-6062.76,1552.73,3269.37,um,Surface,Position,1,39,
-6087.08,1578.25,3266.79,um,Surface,Position,1,40,
-6074.71,1572.45,3267.1,um,Surface,Position,1,41,
-6064.93,1578.84,3271.2,um,Surface,Position,1,42,
-6066.54,1563.11,3268.51,um,Surface,Position,1,43,
-6061.69,1570.45,3269.05,um,Surface,Position,1,44,
-6089.9,1591.24,3263.77,um,Surface,Position,1,45,
-6086.12,1596.62,3264.34,um,Surface,Position,1,46,
-6099.74,1598.87,3268.62,um,Surface,Position,1,47,
-6081.88,1595.68,3268.34,um,Surface,Position,1,48,
-6074.08,1591.52,3269.75,um,Surface,Position,1,49,
-6109.57,1613.63,3265.4,um,Surface,Position,1,50,
-6105.54,1615.79,3269.6,um,Surface,Position,1,51,
-6103.06,1610.42,3265.06,um,Surface,Position,1,52,
-6096.25,1600.3,3265.99,um,Surface,Position,1,53,
-6098.12,1606.76,3266.69,um,Surface,Position,1,54,
-6092.71,1608.44,3268.49,um,Surface,Position,1,55,
-6099.09,1613.08,3269.61,um,Surface,Position,1,56,
-6093.52,1598.01,3262.35,um,Surface,Position,1,57,
-6097.27,1592.11,3262.85,um,Surface,Position,1,58,
-6102.13,1595.01,3264.95,um,Surface,Position,1,59,
-6079.38,1590.5,3263.61,um,Surface,Position,1,60,
-6097,1525.99,3269.45,um,Surface,Position,1,61,
-6076.21,1537.05,3264.19,um,Surface,Position,1,62,
-6165.35,1635.86,3267.66,um,Surface,Position,1,63,
-6136.54,1636.73,3271.98,um,Surface,Position,1,64,
-6136.89,1637.62,3266.42,um,Surface,Position,1,65,
