
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
140.56,,Surface,4,Image 1,1,0,
123.244,,Surface,4,Image 1,1,1,
109.099,,Surface,4,Image 1,1,2,
156.677,,Surface,4,Image 1,1,3,
92.6339,,Surface,4,Image 1,1,4,
85.2731,,Surface,4,Image 1,1,5,
124.908,,Surface,4,Image 1,1,6,
153.839,,Surface,4,Image 1,1,7,
142.628,,Surface,4,Image 1,1,8,
101.751,,Surface,4,Image 1,1,9,
110.413,,Surface,4,Image 1,1,10,
126.642,,Surface,4,Image 1,1,11,
110.751,,Surface,4,Image 1,1,12,
86.3713,,Surface,4,Image 1,1,13,
97.6031,,Surface,4,Image 1,1,14,
93.2101,,Surface,4,Image 1,1,15,
87.9087,,Surface,4,Image 1,1,16,
154.164,,Surface,4,Image 1,1,17,
128.673,,Surface,4,Image 1,1,18,
128.572,,Surface,4,Image 1,1,19,
91.2986,,Surface,4,Image 1,1,20,
133.632,,Surface,4,Image 1,1,21,
120.251,,Surface,4,Image 1,1,22,
97.4818,,Surface,4,Image 1,1,23,
153.477,,Surface,4,Image 1,1,24,
130.715,,Surface,4,Image 1,1,25,
125.354,,Surface,4,Image 1,1,26,
149.992,,Surface,4,Image 1,1,27,
171.661,,Surface,4,Image 1,1,28,
84.5171,,Surface,4,Image 1,1,29,
97.8558,,Surface,4,Image 1,1,30,
85.879,,Surface,4,Image 1,1,31,
98.679,,Surface,4,Image 1,1,32,
85.4894,,Surface,4,Image 1,1,33,
95.5871,,Surface,4,Image 1,1,34,
99.0684,,Surface,4,Image 1,1,35,
86.9158,,Surface,4,Image 1,1,36,
107.937,,Surface,4,Image 1,1,37,
85.5428,,Surface,4,Image 1,1,38,
106.942,,Surface,4,Image 1,1,39,
100.796,,Surface,4,Image 1,1,40,
85.973,,Surface,4,Image 1,1,41,
108.773,,Surface,4,Image 1,1,42,
102.005,,Surface,4,Image 1,1,43,
96.1565,,Surface,4,Image 1,1,44,
102.347,,Surface,4,Image 1,1,45,
110.157,,Surface,4,Image 1,1,46,
97.9225,,Surface,4,Image 1,1,47,
106.628,,Surface,4,Image 1,1,48,
152.045,,Surface,4,Image 1,1,49,
120.317,,Surface,4,Image 1,1,50,
132.05,,Surface,4,Image 1,1,51,
124.373,,Surface,4,Image 1,1,52,
143.687,,Surface,4,Image 1,1,53,
187.036,,Surface,4,Image 1,1,54,
130.933,,Surface,4,Image 1,1,55,
158.778,,Surface,4,Image 1,1,56,
130.031,,Surface,4,Image 1,1,57,
111.376,,Surface,4,Image 1,1,58,
88.4376,,Surface,4,Image 1,1,59,
87.5886,,Surface,4,Image 1,1,60,
97.4851,,Surface,4,Image 1,1,61,
89.523,,Surface,4,Image 1,1,62,
239.615,,Surface,4,Image 1,1,63,
195.971,,Surface,4,Image 1,1,64,
209.702,,Surface,4,Image 1,1,65,
