
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
1.97861,,Surface,3,Image 1,1,0,
2.77404,,Surface,3,Image 1,1,1,
2.09481,,Surface,3,Image 1,1,2,
2.74602,,Surface,3,Image 1,1,3,
2.34971,,Surface,3,Image 1,1,4,
2.47082,,Surface,3,Image 1,1,5,
2.80042,,Surface,3,Image 1,1,6,
2.83647,,Surface,3,Image 1,1,7,
1.97459,,Surface,3,Image 1,1,8,
2.19271,,Surface,3,Image 1,1,9,
2.40571,,Surface,3,Image 1,1,10,
2.08622,,Surface,3,Image 1,1,11,
2.65068,,Surface,3,Image 1,1,12,
2.59308,,Surface,3,Image 1,1,13,
2.09122,,Surface,3,Image 1,1,14,
4.3131,,Surface,3,Image 1,1,15,
2.66389,,Surface,3,Image 1,1,16,
3.76084,,Surface,3,Image 1,1,17,
2.67558,,Surface,3,Image 1,1,18,
2.98536,,Surface,3,Image 1,1,19,
2.82153,,Surface,3,Image 1,1,20,
2.69025,,Surface,3,Image 1,1,21,
3.0133,,Surface,3,Image 1,1,22,
2.14325,,Surface,3,Image 1,1,23,
2.82107,,Surface,3,Image 1,1,24,
2.07329,,Surface,3,Image 1,1,25,
2.14322,,Surface,3,Image 1,1,26,
2.67879,,Surface,3,Image 1,1,27,
3.60765,,Surface,3,Image 1,1,28,
5.35062,,Surface,3,Image 1,1,29,
2.45553,,Surface,3,Image 1,1,30,
3.11669,,Surface,3,Image 1,1,31,
2.2952,,Surface,3,Image 1,1,32,
1.99014,,Surface,3,Image 1,1,33,
2.30962,,Surface,3,Image 1,1,34,
2.44954,,Surface,3,Image 1,1,35,
5.84731,,Surface,3,Image 1,1,36,
2.65888,,Surface,3,Image 1,1,37,
3.30688,,Surface,3,Image 1,1,38,
3.08358,,Surface,3,Image 1,1,39,
3.74143,,Surface,3,Image 1,1,40,
1.9819,,Surface,3,Image 1,1,41,
3.22074,,Surface,3,Image 1,1,42,
4.26118,,Surface,3,Image 1,1,43,
2.84775,,Surface,3,Image 1,1,44,
2.75281,,Surface,3,Image 1,1,45,
3.76912,,Surface,3,Image 1,1,46,
2.43559,,Surface,3,Image 1,1,47,
2.18359,,Surface,3,Image 1,1,48,
2.43397,,Surface,3,Image 1,1,49,
2.60949,,Surface,3,Image 1,1,50,
2.35689,,Surface,3,Image 1,1,51,
3.62884,,Surface,3,Image 1,1,52,
2.23524,,Surface,3,Image 1,1,53,
2.41685,,Surface,3,Image 1,1,54,
2.02076,,Surface,3,Image 1,1,55,
2.12137,,Surface,3,Image 1,1,56,
3.12877,,Surface,3,Image 1,1,57,
2.82393,,Surface,3,Image 1,1,58,
4.96198,,Surface,3,Image 1,1,59,
2.43366,,Surface,3,Image 1,1,60,
4.48255,,Surface,3,Image 1,1,61,
2.57973,,Surface,3,Image 1,1,62,
5.06254,,Surface,3,Image 1,1,63,
3.02034,,Surface,3,Image 1,1,64,
3.04151,,Surface,3,Image 1,1,65,
4.40894,,Surface,3,Image 1,1,66,
6.5031,,Surface,3,Image 1,1,67,
6.8006,,Surface,3,Image 1,1,68,
3.93487,,Surface,3,Image 1,1,69,
3.62987,,Surface,3,Image 1,1,70,
