
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
13,,Surface,2,Image 1,1,0,
37,,Surface,2,Image 1,1,1,
48,,Surface,2,Image 1,1,2,
20,,Surface,2,Image 1,1,3,
30,,Surface,2,Image 1,1,4,
15,,Surface,2,Image 1,1,5,
19,,Surface,2,Image 1,1,6,
20,,Surface,2,Image 1,1,7,
18,,Surface,2,Image 1,1,8,
13,,Surface,2,Image 1,1,9,
13,,Surface,2,Image 1,1,10,
38,,Surface,2,Image 1,1,11,
13,,Surface,2,Image 1,1,12,
18,,Surface,2,Image 1,1,13,
28,,Surface,2,Image 1,1,14,
15,,Surface,2,Image 1,1,15,
22,,Surface,2,Image 1,1,16,
15,,Surface,2,Image 1,1,17,
25,,Surface,2,Image 1,1,18,
20,,Surface,2,Image 1,1,19,
13,,Surface,2,Image 1,1,20,
13,,Surface,2,Image 1,1,21,
19,,Surface,2,Image 1,1,22,
13,,Surface,2,Image 1,1,23,
13,,Surface,2,Image 1,1,24,
28,,Surface,2,Image 1,1,25,
17,,Surface,2,Image 1,1,26,
20,,Surface,2,Image 1,1,27,
21,,Surface,2,Image 1,1,28,
17,,Surface,2,Image 1,1,29,
14,,Surface,2,Image 1,1,30,
22,,Surface,2,Image 1,1,31,
14,,Surface,2,Image 1,1,32,
20,,Surface,2,Image 1,1,33,
13,,Surface,2,Image 1,1,34,
22,,Surface,2,Image 1,1,35,
15,,Surface,2,Image 1,1,36,
16,,Surface,2,Image 1,1,37,
18,,Surface,2,Image 1,1,38,
13,,Surface,2,Image 1,1,39,
20,,Surface,2,Image 1,1,40,
17,,Surface,2,Image 1,1,41,
16,,Surface,2,Image 1,1,42,
13,,Surface,2,Image 1,1,43,
14,,Surface,2,Image 1,1,44,
14,,Surface,2,Image 1,1,45,
13,,Surface,2,Image 1,1,46,
19,,Surface,2,Image 1,1,47,
18,,Surface,2,Image 1,1,48,
25,,Surface,2,Image 1,1,49,
14,,Surface,2,Image 1,1,50,
17,,Surface,2,Image 1,1,51,
19,,Surface,2,Image 1,1,52,
16,,Surface,2,Image 1,1,53,
16,,Surface,2,Image 1,1,54,
13,,Surface,2,Image 1,1,55,
16,,Surface,2,Image 1,1,56,
17,,Surface,2,Image 1,1,57,
32,,Surface,2,Image 1,1,58,
20,,Surface,2,Image 1,1,59,
13,,Surface,2,Image 1,1,60,
20,,Surface,2,Image 1,1,61,
19,,Surface,2,Image 1,1,62,
18,,Surface,2,Image 1,1,63,
14,,Surface,2,Image 1,1,64,
21,,Surface,2,Image 1,1,65,
14,,Surface,2,Image 1,1,66,
13,,Surface,2,Image 1,1,67,
17,,Surface,2,Image 1,1,68,
18,,Surface,2,Image 1,1,69,
16,,Surface,2,Image 1,1,70,
20,,Surface,2,Image 1,1,71,
13,,Surface,2,Image 1,1,72,
24,,Surface,2,Image 1,1,73,
19,,Surface,2,Image 1,1,74,
17,,Surface,2,Image 1,1,75,
20,,Surface,2,Image 1,1,76,
18,,Surface,2,Image 1,1,77,
13,,Surface,2,Image 1,1,78,
21,,Surface,2,Image 1,1,79,
19,,Surface,2,Image 1,1,80,
36,,Surface,2,Image 1,1,81,
13,,Surface,2,Image 1,1,82,
26,,Surface,2,Image 1,1,83,
16,,Surface,2,Image 1,1,84,
18,,Surface,2,Image 1,1,85,
