
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
2.99156,,Surface,3,Image 1,1,0,
2.30387,,Surface,3,Image 1,1,1,
4.07875,,Surface,3,Image 1,1,2,
1.64593,,Surface,3,Image 1,1,3,
4.21173,,Surface,3,Image 1,1,4,
1.86489,,Surface,3,Image 1,1,5,
2.25059,,Surface,3,Image 1,1,6,
2.03107,,Surface,3,Image 1,1,7,
2.17883,,Surface,3,Image 1,1,8,
2.44557,,Surface,3,Image 1,1,9,
2.5066,,Surface,3,Image 1,1,10,
2.17247,,Surface,3,Image 1,1,11,
3.31615,,Surface,3,Image 1,1,12,
2.27255,,Surface,3,Image 1,1,13,
4.05133,,Surface,3,Image 1,1,14,
3.62736,,Surface,3,Image 1,1,15,
4.30087,,Surface,3,Image 1,1,16,
4.15277,,Surface,3,Image 1,1,17,
3.61926,,Surface,3,Image 1,1,18,
3.65475,,Surface,3,Image 1,1,19,
3.32743,,Surface,3,Image 1,1,20,
2.56129,,Surface,3,Image 1,1,21,
1.76306,,Surface,3,Image 1,1,22,
2.26746,,Surface,3,Image 1,1,23,
2.50666,,Surface,3,Image 1,1,24,
1.98689,,Surface,3,Image 1,1,25,
2.80472,,Surface,3,Image 1,1,26,
2.90323,,Surface,3,Image 1,1,27,
2.48773,,Surface,3,Image 1,1,28,
3.42367,,Surface,3,Image 1,1,29,
2.54982,,Surface,3,Image 1,1,30,
2.29165,,Surface,3,Image 1,1,32,
1.41726,,Surface,3,Image 1,1,33,
2.13986,,Surface,3,Image 1,1,34,
0,,Surface,3,Image 1,1,35,
2,,Surface,3,Image 1,1,36,
