
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
1.97173,,Surface,3,Image 1,1,0,
2.13821,,Surface,3,Image 1,1,1,
4.45873,,Surface,3,Image 1,1,2,
2.65612,,Surface,3,Image 1,1,3,
2.15775,,Surface,3,Image 1,1,4,
2.09988,,Surface,3,Image 1,1,5,
2.84633,,Surface,3,Image 1,1,6,
4.46875,,Surface,3,Image 1,1,7,
2.56648,,Surface,3,Image 1,1,8,
1.62311,,Surface,3,Image 1,1,9,
1.94694,,Surface,3,Image 1,1,10,
2.81997,,Surface,3,Image 1,1,11,
2.09333,,Surface,3,Image 1,1,12,
2.37444,,Surface,3,Image 1,1,13,
2.04783,,Surface,3,Image 1,1,14,
2.12266,,Surface,3,Image 1,1,15,
2.90661,,Surface,3,Image 1,1,16,
3.1096,,Surface,3,Image 1,1,17,
2.24565,,Surface,3,Image 1,1,18,
1.53938,,Surface,3,Image 1,1,19,
2.01004,,Surface,3,Image 1,1,20,
2.48231,,Surface,3,Image 1,1,22,
2.26773,,Surface,3,Image 1,1,23,
4.46561,,Surface,3,Image 1,1,24,
1.82961,,Surface,3,Image 1,1,25,
1.99953,,Surface,3,Image 1,1,26,
2.66586,,Surface,3,Image 1,1,27,
3.06578,,Surface,3,Image 1,1,28,
4.72827,,Surface,3,Image 1,1,29,
1.6062,,Surface,3,Image 1,1,30,
2.67932,,Surface,3,Image 1,1,31,
1.85426,,Surface,3,Image 1,1,32,
2.48051,,Surface,3,Image 1,1,33,
2.05068,,Surface,3,Image 1,1,34,
1.65869,,Surface,3,Image 1,1,35,
1.83333,,Surface,3,Image 1,1,36,
4.86364,,Surface,3,Image 1,1,37,
4.42882,,Surface,3,Image 1,1,38,
2.5257,,Surface,3,Image 1,1,39,
2.06717,,Surface,3,Image 1,1,40,
2.75027,,Surface,3,Image 1,1,41,
2.05028,,Surface,3,Image 1,1,42,
1.67592,,Surface,3,Image 1,1,43,
2.02923,,Surface,3,Image 1,1,45,
2.81415,,Surface,3,Image 1,1,46,
1.49063,,Surface,3,Image 1,1,47,
1,,Surface,3,Image 1,1,48,
