
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
1.59041,,Surface,3,Image 1,1,0,
1.79887,,Surface,3,Image 1,1,1,
1.60807,,Surface,3,Image 1,1,2,
1.75682,,Surface,3,Image 1,1,3,
2.30216,,Surface,3,Image 1,1,4,
3.80919,,Surface,3,Image 1,1,5,
2.60368,,Surface,3,Image 1,1,6,
2.23612,,Surface,3,Image 1,1,7,
2.13266,,Surface,3,Image 1,1,8,
3.58373,,Surface,3,Image 1,1,9,
2.02804,,Surface,3,Image 1,1,10,
1.81774,,Surface,3,Image 1,1,11,
1.66505,,Surface,3,Image 1,1,12,
1.64177,,Surface,3,Image 1,1,13,
1.98524,,Surface,3,Image 1,1,14,
4.29704,,Surface,3,Image 1,1,15,
1.83645,,Surface,3,Image 1,1,16,
4.61713,,Surface,3,Image 1,1,17,
5.58505,,Surface,3,Image 1,1,18,
2.93515,,Surface,3,Image 1,1,19,
4.92921,,Surface,3,Image 1,1,20,
5.5967,,Surface,3,Image 1,1,21,
6.03629,,Surface,3,Image 1,1,22,
5.61419,,Surface,3,Image 1,1,23,
1.84088,,Surface,3,Image 1,1,24,
3.36986,,Surface,3,Image 1,1,25,
1.94254,,Surface,3,Image 1,1,26,
1.81919,,Surface,3,Image 1,1,27,
2.5471,,Surface,3,Image 1,1,28,
1.62926,,Surface,3,Image 1,1,29,
2.00731,,Surface,3,Image 1,1,30,
2.58712,,Surface,3,Image 1,1,31,
2.27871,,Surface,3,Image 1,1,32,
5.81857,,Surface,3,Image 1,1,33,
5.21077,,Surface,3,Image 1,1,34,
2.21609,,Surface,3,Image 1,1,35,
2.5119,,Surface,3,Image 1,1,36,
5.4066,,Surface,3,Image 1,1,37,
2.73368,,Surface,3,Image 1,1,38,
2.41363,,Surface,3,Image 1,1,39,
2.09573,,Surface,3,Image 1,1,40,
5.14387,,Surface,3,Image 1,1,41,
2.76438,,Surface,3,Image 1,1,42,
1.94181,,Surface,3,Image 1,1,43,
2.48796,,Surface,3,Image 1,1,44,
4.65523,,Surface,3,Image 1,1,45,
1.91507,,Surface,3,Image 1,1,46,
2.09592,,Surface,3,Image 1,1,47,
2.36034,,Surface,3,Image 1,1,48,
3.87368,,Surface,3,Image 1,1,49,
2.45269,,Surface,3,Image 1,1,50,
2.20844,,Surface,3,Image 1,1,51,
5.09156,,Surface,3,Image 1,1,52,
1.64371,,Surface,3,Image 1,1,53,
3.419,,Surface,3,Image 1,1,54,
2.29297,,Surface,3,Image 1,1,55,
3.76301,,Surface,3,Image 1,1,56,
2.91714,,Surface,3,Image 1,1,57,
2.36925,,Surface,3,Image 1,1,59,
3.79797,,Surface,3,Image 1,1,60,
4.36811,,Surface,3,Image 1,1,61,
3.18531,,Surface,3,Image 1,1,62,
4.48426,,Surface,3,Image 1,1,63,
2.49626,,Surface,3,Image 1,1,64,
