
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
-30271.2,-680.535,47.9997,um,Surface,Position,1,3,
-30305.7,-709.9,59.7345,um,Surface,Position,1,4,
-30286.9,-672.468,46.156,um,Surface,Position,1,5,
-30262.2,-680.278,67.7775,um,Surface,Position,1,6,
-30261.9,-676.782,72.1822,um,Surface,Position,1,7,
-30266.6,-677.33,63.2378,um,Surface,Position,1,8,
-30282.5,-678.822,51.3208,um,Surface,Position,1,9,
-30282.5,-677.147,46.5418,um,Surface,Position,1,10,
-30282.5,-683.736,47.341,um,Surface,Position,1,11,
-30257.9,-683.99,63.4358,um,Surface,Position,1,12,
-30256.8,-682.764,72.6811,um,Surface,Position,1,13,
