
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
14,,Surface,2,Image 1,1,0,
19,,Surface,2,Image 1,1,1,
22,,Surface,2,Image 1,1,2,
19,,Surface,2,Image 1,1,3,
37,,Surface,2,Image 1,1,4,
17,,Surface,2,Image 1,1,5,
20,,Surface,2,Image 1,1,6,
16,,Surface,2,Image 1,1,7,
18,,Surface,2,Image 1,1,8,
19,,Surface,2,Image 1,1,9,
16,,Surface,2,Image 1,1,10,
13,,Surface,2,Image 1,1,11,
13,,Surface,2,Image 1,1,12,
28,,Surface,2,Image 1,1,13,
12,,Surface,2,Image 1,1,14,
25,,Surface,2,Image 1,1,15,
13,,Surface,2,Image 1,1,16,
24,,Surface,2,Image 1,1,17,
21,,Surface,2,Image 1,1,18,
12,,Surface,2,Image 1,1,19,
13,,Surface,2,Image 1,1,20,
17,,Surface,2,Image 1,1,21,
13,,Surface,2,Image 1,1,22,
15,,Surface,2,Image 1,1,23,
19,,Surface,2,Image 1,1,24,
16,,Surface,2,Image 1,1,25,
25,,Surface,2,Image 1,1,26,
18,,Surface,2,Image 1,1,27,
19,,Surface,2,Image 1,1,28,
13,,Surface,2,Image 1,1,29,
12,,Surface,2,Image 1,1,30,
26,,Surface,2,Image 1,1,31,
13,,Surface,2,Image 1,1,32,
13,,Surface,2,Image 1,1,33,
12,,Surface,2,Image 1,1,34,
14,,Surface,2,Image 1,1,35,
14,,Surface,2,Image 1,1,36,
21,,Surface,2,Image 1,1,37,
19,,Surface,2,Image 1,1,38,
12,,Surface,2,Image 1,1,39,
18,,Surface,2,Image 1,1,40,
16,,Surface,2,Image 1,1,41,
18,,Surface,2,Image 1,1,42,
14,,Surface,2,Image 1,1,43,
22,,Surface,2,Image 1,1,44,
28,,Surface,2,Image 1,1,45,
11,,Surface,2,Image 1,1,46,
16,,Surface,2,Image 1,1,47,
21,,Surface,2,Image 1,1,48,
26,,Surface,2,Image 1,1,49,
14,,Surface,2,Image 1,1,50,
22,,Surface,2,Image 1,1,51,
14,,Surface,2,Image 1,1,52,
12,,Surface,2,Image 1,1,53,
22,,Surface,2,Image 1,1,54,
13,,Surface,2,Image 1,1,55,
12,,Surface,2,Image 1,1,56,
18,,Surface,2,Image 1,1,57,
24,,Surface,2,Image 1,1,58,
13,,Surface,2,Image 1,1,59,
13,,Surface,2,Image 1,1,60,
23,,Surface,2,Image 1,1,61,
15,,Surface,2,Image 1,1,62,
14,,Surface,2,Image 1,1,63,
13,,Surface,2,Image 1,1,64,
18,,Surface,2,Image 1,1,65,
16,,Surface,2,Image 1,1,66,
15,,Surface,2,Image 1,1,67,
15,,Surface,2,Image 1,1,68,
50,,Surface,2,Image 1,1,69,
17,,Surface,2,Image 1,1,70,
24,,Surface,2,Image 1,1,71,
27,,Surface,2,Image 1,1,72,
12,,Surface,2,Image 1,1,73,
16,,Surface,2,Image 1,1,74,
23,,Surface,2,Image 1,1,75,
12,,Surface,2,Image 1,1,76,
13,,Surface,2,Image 1,1,77,
14,,Surface,2,Image 1,1,78,
23,,Surface,2,Image 1,1,79,
24,,Surface,2,Image 1,1,80,
17,,Surface,2,Image 1,1,81,
15,,Surface,2,Image 1,1,82,
18,,Surface,2,Image 1,1,83,
12,,Surface,2,Image 1,1,84,
22,,Surface,2,Image 1,1,85,
19,,Surface,2,Image 1,1,86,
22,,Surface,2,Image 1,1,87,
13,,Surface,2,Image 1,1,88,
17,,Surface,2,Image 1,1,89,
13,,Surface,2,Image 1,1,90,
18,,Surface,2,Image 1,1,91,
13,,Surface,2,Image 1,1,92,
19,,Surface,2,Image 1,1,93,
15,,Surface,2,Image 1,1,94,
17,,Surface,2,Image 1,1,95,
20,,Surface,2,Image 1,1,96,
20,,Surface,2,Image 1,1,97,
25,,Surface,2,Image 1,1,98,
12,,Surface,2,Image 1,1,99,
24,,Surface,2,Image 1,1,100,
24,,Surface,2,Image 1,1,101,
21,,Surface,2,Image 1,1,103,
5,,Surface,2,Image 1,1,104,
2,,Surface,2,Image 1,1,105,
3,,Surface,2,Image 1,1,106,
12,,Surface,2,Image 1,1,107,
