
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
-18564,-2296.54,-13.5126,um,Surface,Position,1,0,
-18549,-2301.64,-19.9249,um,Surface,Position,1,1,
-18591.4,-2298.88,-23.2035,um,Surface,Position,1,2,
-18587.6,-2301.56,-16.1406,um,Surface,Position,1,3,
-18574.2,-2302.59,-22.1407,um,Surface,Position,1,4,
-18556.6,-2303.01,-18.2685,um,Surface,Position,1,5,
-18679.8,-2300.01,-13.1366,um,Surface,Position,1,6,
-18598.8,-2303.77,-13.6699,um,Surface,Position,1,7,
-18555.8,-2311.81,-25.1778,um,Surface,Position,1,8,
-18555.8,-2308.46,-16.1257,um,Surface,Position,1,9,
-18607,-2303.32,-15.4007,um,Surface,Position,1,10,
-18580.6,-2306.48,-21.9017,um,Surface,Position,1,11,
-18587.2,-2305.28,-18.9526,um,Surface,Position,1,12,
-18578.3,-2302.63,-15.1387,um,Surface,Position,1,13,
