
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
52.2898,96.5942,12.987,um,Surface,Position,1,0,
103.313,136.022,4.13318,um,Surface,Position,1,1,
25.2233,89.0326,-3.28902,um,Surface,Position,1,2,
44.2021,88.4297,7.16399,um,Surface,Position,1,3,
47.0229,69.7514,5.68415,um,Surface,Position,1,4,
33.991,107.919,-9.30401,um,Surface,Position,1,5,
67.1099,101.594,-4.80233,um,Surface,Position,1,6,
36.8029,112.636,-8.56197,um,Surface,Position,1,7,
24.1,60.401,-11.4109,um,Surface,Position,1,8,
42.0704,61.2768,-12.3413,um,Surface,Position,1,9,
20.5568,73.5317,-13.1938,um,Surface,Position,1,10,
15.6548,74.0811,-21.079,um,Surface,Position,1,11,
17.858,78.5064,-14.9036,um,Surface,Position,1,12,
16.8831,82.9924,-22.2334,um,Surface,Position,1,13,
21.5854,85.1817,-18.3024,um,Surface,Position,1,14,
34.8669,85.6465,-19.4998,um,Surface,Position,1,15,
20.279,90.8734,-27.7054,um,Surface,Position,1,16,
25.8386,96.9013,-27.7458,um,Surface,Position,1,17,
24.1013,90.9,-19.9455,um,Surface,Position,1,18,
22.1223,93.3034,-15.1444,um,Surface,Position,1,19,
28.938,105.3,-18.0229,um,Surface,Position,1,20,
28.3758,44.5122,-21.6612,um,Surface,Position,1,21,
39.1455,44.8363,-16.218,um,Surface,Position,1,22,
39.9276,46.5883,-23.1791,um,Surface,Position,1,23,
54.6956,45.8652,-26.1056,um,Surface,Position,1,24,
54.8409,40.7636,-20.5623,um,Surface,Position,1,25,
28.509,50.804,-26.2525,um,Surface,Position,1,26,
20.1329,53.7687,-23.1729,um,Surface,Position,1,27,
24.6635,50.9113,-18.9594,um,Surface,Position,1,28,
29.5146,55.8151,-22.8056,um,Surface,Position,1,29,
40.8364,54.2409,-24.4568,um,Surface,Position,1,30,
34.3422,50.2903,-17.4081,um,Surface,Position,1,31,
16.1058,66.9325,-16.9395,um,Surface,Position,1,32,
26.6394,68.1879,-22.7581,um,Surface,Position,1,33,
20.5485,61.7188,-15.2224,um,Surface,Position,1,34,
36.5002,59.9323,-14.6096,um,Surface,Position,1,35,
34.5897,66.4369,-15.4809,um,Surface,Position,1,36,
42.1752,61.3724,-22.8821,um,Surface,Position,1,37,
20.5793,69.3549,-26.8251,um,Surface,Position,1,38,
29.3178,65.8667,-32.7542,um,Surface,Position,1,39,
33.7424,60.3456,-28.2825,um,Surface,Position,1,40,
31.0877,77.7138,-31.039,um,Surface,Position,1,41,
44.8685,36.1298,-23.9429,um,Surface,Position,1,42,
37.1912,36.8209,-36.4159,um,Surface,Position,1,43,
40.9606,33.0235,-29.8559,um,Surface,Position,1,44,
48.5261,33.1487,-27.5971,um,Surface,Position,1,45,
51.8238,38.6179,-38.1341,um,Surface,Position,1,46,
52.6969,34.3736,-34.9583,um,Surface,Position,1,47,
27.9866,46.0934,-38.3245,um,Surface,Position,1,48,
25.5729,46.3483,-31.6241,um,Surface,Position,1,49,
31.8446,40.451,-37.1162,um,Surface,Position,1,50,
29.637,41.1435,-29.6045,um,Surface,Position,1,51,
41.778,40.1577,-28.9284,um,Surface,Position,1,52,
22.0842,52.4345,-31.6271,um,Surface,Position,1,53,
33.5705,50.7822,-35.3866,um,Surface,Position,1,54,
33.5221,58.4482,-31.9292,um,Surface,Position,1,55,
33.4952,64.8418,-38.9042,um,Surface,Position,1,56,
