
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
13.8629,,Surface,5,Image 1,1,0,
9.14958,,Surface,5,Image 1,1,1,
11.1263,,Surface,5,Image 1,1,2,
16.3306,,Surface,5,Image 1,1,3,
12.76,,Surface,5,Image 1,1,4,
15.5348,,Surface,5,Image 1,1,5,
9.68351,,Surface,5,Image 1,1,6,
9.09636,,Surface,5,Image 1,1,7,
11.1489,,Surface,5,Image 1,1,8,
13.7254,,Surface,5,Image 1,1,9,
16.022,,Surface,5,Image 1,1,10,
17.7985,,Surface,5,Image 1,1,11,
18.372,,Surface,5,Image 1,1,12,
15.996,,Surface,5,Image 1,1,13,
17.8682,,Surface,5,Image 1,1,14,
11.3328,,Surface,5,Image 1,1,15,
11.199,,Surface,5,Image 1,1,16,
9.7559,,Surface,5,Image 1,1,17,
19.7268,,Surface,5,Image 1,1,18,
14.1831,,Surface,5,Image 1,1,19,
10.1335,,Surface,5,Image 1,1,20,
9.58924,,Surface,5,Image 1,1,21,
8.90025,,Surface,5,Image 1,1,22,
8.6743,,Surface,5,Image 1,1,23,
11.6239,,Surface,5,Image 1,1,24,
14.0825,,Surface,5,Image 1,1,25,
16.736,,Surface,5,Image 1,1,26,
15.0722,,Surface,5,Image 1,1,27,
15.7449,,Surface,5,Image 1,1,28,
23.2796,,Surface,5,Image 1,1,29,
11.9539,,Surface,5,Image 1,1,30,
12.3483,,Surface,5,Image 1,1,31,
11.6983,,Surface,5,Image 1,1,32,
17.4163,,Surface,5,Image 1,1,33,
14.3605,,Surface,5,Image 1,1,34,
15.4956,,Surface,5,Image 1,1,35,
18.5067,,Surface,5,Image 1,1,36,
8.68333,,Surface,5,Image 1,1,37,
13.6807,,Surface,5,Image 1,1,38,
11.3489,,Surface,5,Image 1,1,39,
13.8885,,Surface,5,Image 1,1,40,
10.5647,,Surface,5,Image 1,1,41,
12.6618,,Surface,5,Image 1,1,42,
10.0473,,Surface,5,Image 1,1,43,
11.8078,,Surface,5,Image 1,1,44,
12.3634,,Surface,5,Image 1,1,45,
9.44658,,Surface,5,Image 1,1,46,
13.647,,Surface,5,Image 1,1,47,
11.2986,,Surface,5,Image 1,1,48,
12.887,,Surface,5,Image 1,1,49,
13.285,,Surface,5,Image 1,1,50,
13.3628,,Surface,5,Image 1,1,51,
12.2065,,Surface,5,Image 1,1,52,
14.5665,,Surface,5,Image 1,1,53,
11.9939,,Surface,5,Image 1,1,54,
14.2528,,Surface,5,Image 1,1,55,
9.97329,,Surface,5,Image 1,1,56,
