
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
39.2125,69.4853,48.1369,um,Surface,Position,1,0,
36.6797,52.3755,48.4697,um,Surface,Position,1,1,
32.9911,56.7298,42.8225,um,Surface,Position,1,2,
40.9884,53.0311,43.1127,um,Surface,Position,1,3,
44.9412,64.8623,44.8184,um,Surface,Position,1,4,
50.6176,56.9208,45.7091,um,Surface,Position,1,5,
27.4707,71.8168,44.1603,um,Surface,Position,1,6,
32.3451,74.598,41.5064,um,Surface,Position,1,7,
35.8326,71.8317,45.5551,um,Surface,Position,1,8,
46.4695,40.3357,40.9933,um,Surface,Position,1,9,
36.5574,48.5939,41.4715,um,Surface,Position,1,10,
27.5435,62.5797,37.5217,um,Surface,Position,1,11,
21.0075,66.923,39.7627,um,Surface,Position,1,12,
33.4408,62.0531,40.3397,um,Surface,Position,1,13,
41.4162,68.813,39.8363,um,Surface,Position,1,14,
51.8301,62.7564,39.63,um,Surface,Position,1,15,
25.2439,71.1704,38.7242,um,Surface,Position,1,16,
37.5848,72.8883,39.8444,um,Surface,Position,1,17,
21.511,67.5558,33.9086,um,Surface,Position,1,18,
41.9837,53.1642,34.0718,um,Surface,Position,1,19,
46.5676,58.4263,34.5863,um,Surface,Position,1,20,
59.3858,55.4793,32.5065,um,Surface,Position,1,21,
64.1256,60.1327,36.2945,um,Surface,Position,1,22,
69.5852,53.2674,34.4554,um,Surface,Position,1,23,
29.9576,76.8162,33.8068,um,Surface,Position,1,24,
35.5428,76.487,33.5203,um,Surface,Position,1,25,
34.7545,71.1665,32.9676,um,Surface,Position,1,26,
47.894,82.8674,36.1939,um,Surface,Position,1,27,
59.6728,97.43,34.38,um,Surface,Position,1,28,
31.8634,87.6181,28.7977,um,Surface,Position,1,29,
28.8141,95.4563,33.0494,um,Surface,Position,1,30,
48.4733,87.9646,27.8929,um,Surface,Position,1,31,
44.5116,90.2949,27.8924,um,Surface,Position,1,32,
37.5899,94.34,30.7643,um,Surface,Position,1,33,
58.8179,93.0961,27.5127,um,Surface,Position,1,34,
32.0736,49.454,32.4337,um,Surface,Position,1,35,
24.834,50.9515,33.1205,um,Surface,Position,1,36,
31.4811,38.3771,33.5908,um,Surface,Position,1,37,
27.6181,46.9093,33.7666,um,Surface,Position,1,38,
38.433,39.5462,33.1931,um,Surface,Position,1,39,
36.6937,46.5204,33.7396,um,Surface,Position,1,40,
37.4888,35.6946,35.1507,um,Surface,Position,1,41,
44.3969,40.5395,35.1139,um,Surface,Position,1,42,
34.7862,43.3973,36.5841,um,Surface,Position,1,43,
59.145,40.5141,35.0231,um,Surface,Position,1,44,
19.3155,61.1689,33.4199,um,Surface,Position,1,45,
29.5913,55.2141,34.0555,um,Surface,Position,1,46,
32.9611,45.0299,27.7737,um,Surface,Position,1,47,
28.547,42.2358,29.9623,um,Surface,Position,1,48,
26.2616,35.5578,30.0765,um,Surface,Position,1,49,
21.3932,45.8202,30.5038,um,Surface,Position,1,50,
36.95,33.7519,28.6998,um,Surface,Position,1,51,
33.9646,39.857,28.6173,um,Surface,Position,1,52,
44.0678,45.7062,29.3729,um,Surface,Position,1,53,
45.9839,41.8067,28.8307,um,Surface,Position,1,54,
40.9874,43.3071,29.8938,um,Surface,Position,1,55,
43.8236,36.0782,29.7273,um,Surface,Position,1,56,
55.4554,46.8287,28.0782,um,Surface,Position,1,57,
50.3069,38.4689,32.0335,um,Surface,Position,1,58,
14.1424,67.3357,29.0132,um,Surface,Position,1,59,
28.9253,60.436,29.2872,um,Surface,Position,1,60,
15.0599,61.0382,27.8723,um,Surface,Position,1,61,
25.154,65.0433,30.0731,um,Surface,Position,1,62,
22.5108,58.1936,31.9231,um,Surface,Position,1,63,
46.6262,60.0345,30.0978,um,Surface,Position,1,64,
35.1135,64.3781,31.6906,um,Surface,Position,1,65,
53.9451,59.9236,30.0726,um,Surface,Position,1,66,
59.5298,61.3353,29.7686,um,Surface,Position,1,67,
65.318,52.6721,31.4327,um,Surface,Position,1,68,
74.1644,61.1601,31.6479,um,Surface,Position,1,69,
70.7606,55.5493,28.1948,um,Surface,Position,1,70,
22.34,69.9482,28.1281,um,Surface,Position,1,71,
16.2172,73.0348,28.7875,um,Surface,Position,1,72,
26.9682,83.649,30.9984,um,Surface,Position,1,73,
41.0672,72.8065,28.4687,um,Surface,Position,1,74,
46.6148,79.8158,27.7753,um,Surface,Position,1,75,
38.4735,85.7547,30.6981,um,Surface,Position,1,76,
51.5177,77.141,30.4321,um,Surface,Position,1,77,
17.6165,87.8391,26.8812,um,Surface,Position,1,78,
28.6987,102.24,27.1779,um,Surface,Position,1,79,
25.9119,94.1331,25.7318,um,Surface,Position,1,80,
32.9,100.252,22.4834,um,Surface,Position,1,81,
35.6613,95.7292,24.6308,um,Surface,Position,1,82,
49.8743,93.1862,26.4482,um,Surface,Position,1,83,
54.0367,30.6881,30.4558,um,Surface,Position,1,84,
47.5427,32.822,25.8331,um,Surface,Position,1,85,
63.9209,31.529,26.4787,um,Surface,Position,1,86,
15.2479,50.8155,26.4336,um,Surface,Position,1,87,
28.2753,48.1903,23.6554,um,Surface,Position,1,88,
30.6681,41.6684,23.5387,um,Surface,Position,1,89,
19.5505,45.3827,23.9423,um,Surface,Position,1,90,
31.5851,34.4128,25.091,um,Surface,Position,1,91,
23.5285,39.8573,24.7682,um,Surface,Position,1,92,
38.8995,46.1426,25.4698,um,Surface,Position,1,93,
40.0021,39.1592,26.5356,um,Surface,Position,1,94,
53.6173,38.4352,27.6694,um,Surface,Position,1,95,
10.9473,67.6442,23.6437,um,Surface,Position,1,96,
21.2381,59.1318,23.3141,um,Surface,Position,1,97,
27.5965,61.9116,23.2047,um,Surface,Position,1,98,
22.0846,51.3938,26.5068,um,Surface,Position,1,99,
29.992,54.0963,26.4766,um,Surface,Position,1,100,
48.6442,62.3041,26.7275,um,Surface,Position,1,101,
33.6648,58.5713,26.9189,um,Surface,Position,1,102,
67.7698,67.2954,26.7694,um,Surface,Position,1,103,
59.0349,51.8543,25.567,um,Surface,Position,1,104,
62.8868,63.4441,28.5524,um,Surface,Position,1,105,
87.5526,55.5035,23.3365,um,Surface,Position,1,106,
75.2286,51.9459,25.2447,um,Surface,Position,1,107,
82.6494,67.867,24.3976,um,Surface,Position,1,108,
85.3322,60.8785,25.154,um,Surface,Position,1,109,
74.4831,59.1267,25.5749,um,Surface,Position,1,110,
74.3687,65.2423,24.8201,um,Surface,Position,1,111,
78.0608,65.2433,26.7616,um,Surface,Position,1,112,
79.8074,53.6389,27.5419,um,Surface,Position,1,113,
13.2953,81.8139,25.7251,um,Surface,Position,1,114,
10.8405,73.8716,26.7086,um,Surface,Position,1,115,
29.1588,83.3544,23.1641,um,Surface,Position,1,116,
23.4154,86.7854,25.5747,um,Surface,Position,1,117,
29.6569,73.3407,27.282,um,Surface,Position,1,118,
21.1332,75.8206,27.4504,um,Surface,Position,1,119,
36.0539,74.5376,22.9051,um,Surface,Position,1,120,
50.1548,81.437,25.0655,um,Surface,Position,1,121,
45.4782,85.2356,23.2372,um,Surface,Position,1,122,
35.8263,81.0213,25.3847,um,Surface,Position,1,123,
48.8238,70.3698,26.023,um,Surface,Position,1,124,
41.9028,79.1967,27.021,um,Surface,Position,1,125,
86.0784,72.7112,26.6937,um,Surface,Position,1,126,
78.0525,69.7575,26.8853,um,Surface,Position,1,127,
50.1676,73.0946,19.7879,um,Surface,Position,1,128,
40.6316,85.3132,20.2575,um,Surface,Position,1,129,
43.5699,76.3566,22.3779,um,Surface,Position,1,130,
44.5377,70.1378,22.6378,um,Surface,Position,1,131,
88.4003,77.3649,21.131,um,Surface,Position,1,132,
95.0424,75.0055,22.7837,um,Surface,Position,1,133,
31.3949,90.7122,18.614,um,Surface,Position,1,134,
18.0573,87.8632,20.3672,um,Surface,Position,1,135,
25.0818,98.471,22.0656,um,Surface,Position,1,136,
46.5285,90.5695,19.5293,um,Surface,Position,1,137,
63.9833,101.524,18.8306,um,Surface,Position,1,138,
53.3972,97.4056,19.5085,um,Surface,Position,1,139,
68.1074,99.0352,21.4902,um,Surface,Position,1,140,
54.9605,95.0005,22.2919,um,Surface,Position,1,141,
75.9895,99.707,20.1906,um,Surface,Position,1,142,
41.1435,30.3994,21.3807,um,Surface,Position,1,143,
12.669,50.18,20.0919,um,Surface,Position,1,144,
21.4617,42.2396,18.4221,um,Surface,Position,1,145,
30.0664,34.2016,18.5245,um,Surface,Position,1,146,
50.8406,40.4725,18.5489,um,Surface,Position,1,147,
36.95,32.9524,19.5099,um,Surface,Position,1,148,
40.641,41.7271,20.5292,um,Surface,Position,1,149,
35.2454,46.8963,18.9517,um,Surface,Position,1,150,
45.3559,38.7191,22.809,um,Surface,Position,1,151,
38.069,36.0576,22.8328,um,Surface,Position,1,152,
63.3808,40.1569,19.2342,um,Surface,Position,1,153,
63.7417,34.3103,20.8809,um,Surface,Position,1,154,
51.1578,34.613,21.3197,um,Surface,Position,1,155,
60.2104,46.554,21.7167,um,Surface,Position,1,156,
54.8826,42.8443,22.3218,um,Surface,Position,1,157,
78.9007,40.0913,19.1124,um,Surface,Position,1,158,
85.0846,47.0479,18.0809,um,Surface,Position,1,159,
75.7724,46.6817,21.0882,um,Surface,Position,1,160,
82.1692,48.8101,23.2774,um,Surface,Position,1,161,
89.793,50.703,19.1982,um,Surface,Position,1,162,
13.0543,63.9934,19.8273,um,Surface,Position,1,163,
10.8619,54.8252,21.3055,um,Surface,Position,1,164,
28.0672,54.5707,18.9079,um,Surface,Position,1,165,
17.4455,57.3221,18.4058,um,Surface,Position,1,166,
21.8108,52.8457,20.3456,um,Surface,Position,1,167,
19.4014,65.3977,21.4319,um,Surface,Position,1,168,
44.4101,65.8269,21.3665,um,Surface,Position,1,169,
62.671,62.145,19.4729,um,Surface,Position,1,170,
50.9689,57.5984,21.8981,um,Surface,Position,1,171,
59.1274,57.3636,21.9162,um,Surface,Position,1,172,
84.3348,57.9974,19.2396,um,Surface,Position,1,173,
69.7322,59.6963,20.119,um,Surface,Position,1,174,
79.325,57.8285,22.2754,um,Surface,Position,1,175,
81.3151,62.028,22.5667,um,Surface,Position,1,176,
98.457,67.8388,22.1178,um,Surface,Position,1,177,
93.6461,64.1335,22.2564,um,Surface,Position,1,178,
9.25529,73.1879,18.1856,um,Surface,Position,1,179,
10.4034,76.9877,20.8212,um,Surface,Position,1,180,
18.991,71.3835,18.1983,um,Surface,Position,1,181,
26.6339,75.8742,20.0359,um,Surface,Position,1,182,
25.2547,70.2852,20.868,um,Surface,Position,1,183,
30.3656,71.2868,21.0362,um,Surface,Position,1,184,
20.1986,72.3258,23.1573,um,Surface,Position,1,185,
43.7019,80.6432,18.5276,um,Surface,Position,1,186,
81.8871,71.5919,16.2356,um,Surface,Position,1,187,
88.6614,72.7951,13.8708,um,Surface,Position,1,188,
32.4819,95.0512,13.394,um,Surface,Position,1,189,
25.636,90.6275,14.5805,um,Surface,Position,1,190,
17.9391,87.8851,15.0272,um,Surface,Position,1,191,
26.7705,97.279,16.182,um,Surface,Position,1,192,
22.2579,93.4703,18.0328,um,Surface,Position,1,193,
49.971,92.0718,14.4709,um,Surface,Position,1,194,
43.2455,89.4854,15.6121,um,Surface,Position,1,195,
64.7029,95.47,14.4685,um,Surface,Position,1,196,
59.3909,99.204,18.1429,um,Surface,Position,1,197,
81.7088,140.993,14.2962,um,Surface,Position,1,198,
43.6763,31.5764,13.7826,um,Surface,Position,1,199,
17.0082,48.4661,13.7459,um,Surface,Position,1,200,
24.7559,47.4768,15.8437,um,Surface,Position,1,201,
24.7644,38.0323,16.5101,um,Surface,Position,1,202,
19.5893,45.1788,17.0005,um,Surface,Position,1,203,
28.4303,43.6258,18.1768,um,Surface,Position,1,204,
41.6815,42.9146,13.6318,um,Surface,Position,1,205,
33.5258,38.2502,15.6255,um,Surface,Position,1,206,
39.1308,39.587,15.03,um,Surface,Position,1,207,
49.6477,49.5417,14.7601,um,Surface,Position,1,208,
46.3061,36.2439,15.7712,um,Surface,Position,1,209,
68.9815,46.4678,13.8934,um,Surface,Position,1,210,
59.2472,38.8922,14.08,um,Surface,Position,1,211,
68.1548,37.2581,17.0344,um,Surface,Position,1,212,
13.2836,53.9178,13.9786,um,Surface,Position,1,213,
13.8372,62.6704,15.1206,um,Surface,Position,1,214,
9.2861,68.724,15.5555,um,Surface,Position,1,215,
10.2216,58.4505,17.3342,um,Surface,Position,1,216,
30.5873,58.6103,13.7612,um,Surface,Position,1,217,
29.0544,51.1712,14.6706,um,Surface,Position,1,218,
25.8537,65.9536,16.8806,um,Surface,Position,1,219,
23.7911,60.4169,17.5685,um,Surface,Position,1,220,
31.832,62.6307,17.928,um,Surface,Position,1,221,
45.7903,52.5861,16.4923,um,Surface,Position,1,222,
48.6172,65.5698,19.4987,um,Surface,Position,1,223,
50.7848,68.1337,17.6334,um,Surface,Position,1,224,
63.0662,56.1324,16.6579,um,Surface,Position,1,225,
66.61,50.6955,18.6489,um,Surface,Position,1,226,
56.463,53.2381,18.58,um,Surface,Position,1,227,
86.8915,57.5584,13.9729,um,Surface,Position,1,228,
83.489,65.945,13.9712,um,Surface,Position,1,229,
75.5625,64.5733,14.277,um,Surface,Position,1,230,
